unifs;var0;var1;formula
5;_;true;Var (S (O))
3;true;_;Var (O)
7;_;false;Neg (Var (S (O)))
5;false;_;Neg (Var (O))
10;_;true;Neg (Neg (Var (S (O))))
8;true;_;Neg (Neg (Var (O)))
12;false;_;Neg (Conj (Var (O), Var (O)))
12;_;true;Disj (Var (S (O)), Var (S (O)))
10;true;true;Disj (Var (S (O)), Var (O))
10;true;false;Disj (Var (S (O)), Var (O))
10;false;true;Disj (Var (S (O)), Var (O))
14;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
14;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
12;true;true;Disj (Var (S (O)), Neg (Var (O)))
12;false;true;Disj (Var (S (O)), Neg (Var (O)))
12;false;false;Disj (Var (S (O)), Neg (Var (O)))
15;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
15;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
15;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
19;true;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
19;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
19;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
17;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
17;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
17;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
21;_;false;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (S (O)))))
19;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
19;false;false;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
22;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Neg (Var (O)))))
24;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
24;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Disj (Var (O), Neg (Var (O)))))
17;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
17;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
17;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
15;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
15;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
19;true;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
19;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
19;false;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
17;true;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
17;true;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
17;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
17;false;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
20;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Neg (Var (O)))))
24;true;false;Disj (Var (S (O)), Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
20;false;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
24;false;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
22;false;false;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Neg (Var (O)))))
25;false;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (O)))))
22;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
26;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Neg (Var (S (O))))))
27;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O)))))
22;true;false;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
20;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
22;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
22;true;false;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
22;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
27;true;false;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
23;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Neg (Var (O)), Var (O))))
20;false;true;Disj (Var (S (O)), Disj (Neg (Var (S (O))), Var (O)))
20;true;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
20;false;false;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
18;true;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
18;true;false;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
