unifs;var0;var1;formula
6;_;true;Var (S (O))
4;true;_;Var (O)
9;_;false;Neg (Var (S (O)))
7;false;_;Neg (Var (O))
12;_;true;Neg (Neg (Var (S (O))))
10;true;_;Neg (Neg (Var (O)))
16;_;true;Disj (Var (S (O)), Var (S (O)))
14;true;true;Disj (Var (S (O)), Var (O))
14;true;false;Disj (Var (S (O)), Var (O))
14;false;true;Disj (Var (S (O)), Var (O))
19;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
19;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
17;true;true;Disj (Var (S (O)), Neg (Var (O)))
17;false;true;Disj (Var (S (O)), Neg (Var (O)))
17;false;false;Disj (Var (S (O)), Neg (Var (O)))
22;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
20;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
26;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
24;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
29;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (S (O)))))
29;_;false;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (S (O)))))
27;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
27;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
27;false;false;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
32;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Disj (Var (O), Var (O))))
32;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Disj (Var (O), Var (O))))
32;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
32;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
24;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
24;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
22;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
27;true;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
27;true;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
27;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
27;false;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
25;true;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
25;true;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
25;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
25;false;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
28;true;true;Disj (Var (S (O)), Disj (Var (O), Neg (Neg (Var (O)))))
28;true;false;Disj (Var (S (O)), Disj (Var (O), Neg (Neg (Var (O)))))
32;true;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (S (O)), Var (O))))
32;true;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (S (O)))))
32;true;false;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (S (O)))))
32;false;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (S (O)))))
30;true;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
30;true;false;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
30;false;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
32;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
32;true;false;Disj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
32;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
32;true;false;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
32;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
30;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
30;true;false;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
30;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
27;true;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
27;false;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
25;true;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
25;true;false;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
25;false;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
25;false;false;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
28;true;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Neg (Var (O))))
26;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
24;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
24;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
29;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (S (O)))))
27;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
27;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
32;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
32;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
24;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
22;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
27;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
27;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
27;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
25;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
25;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
28;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
28;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
32;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
32;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
32;true;false;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
