unifs_propNormOriginal;unifs_propNorm;var0;var1;formula
6;5;_;true;Var (S (O))
4;3;true;_;Var (O)
9;7;_;false;Neg (Var (S (O)))
7;5;false;_;Neg (Var (O))
12;10;_;true;Neg (Neg (Var (S (O))))
10;8;true;_;Neg (Neg (Var (O)))
16;12;_;true;Disj (Var (S (O)), Var (S (O)))
14;10;true;true;Disj (Var (S (O)), Var (O))
14;10;true;false;Disj (Var (S (O)), Var (O))
14;10;false;true;Disj (Var (S (O)), Var (O))
19;14;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
19;14;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
17;12;true;true;Disj (Var (S (O)), Neg (Var (O)))
17;12;false;true;Disj (Var (S (O)), Neg (Var (O)))
17;12;false;false;Disj (Var (S (O)), Neg (Var (O)))
20;15;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;15;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;15;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
26;19;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
24;17;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;17;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;17;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
29;21;_;false;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (S (O)))))
27;19;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
27;19;false;false;Disj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
24;17;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
24;17;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
24;17;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
22;15;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;15;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;15;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
27;19;true;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
27;19;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
27;19;false;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
