unifs_propNorm;unifs_prop;var0;var1;formula
5;5;_;true;Var (S (O))
3;3;true;_;Var (O)
7;6;_;false;Neg (Var (S (O)))
5;4;false;_;Neg (Var (O))
10;7;_;true;Neg (Neg (Var (S (O))))
8;5;true;_;Neg (Neg (Var (O)))
12;8;false;_;Neg (Conj (Var (O), Var (O)))
12;11;_;true;Disj (Var (S (O)), Var (S (O)))
10;9;true;true;Disj (Var (S (O)), Var (O))
10;9;true;false;Disj (Var (S (O)), Var (O))
10;9;false;true;Disj (Var (S (O)), Var (O))
14;12;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
14;12;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
12;10;true;true;Disj (Var (S (O)), Neg (Var (O)))
12;10;false;true;Disj (Var (S (O)), Neg (Var (O)))
12;10;false;false;Disj (Var (S (O)), Neg (Var (O)))
15;11;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
15;11;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
15;11;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
19;14;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
15;13;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
19;16;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
19;17;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
17;15;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
17;15;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
17;15;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
17;15;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
15;13;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
15;13;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
15;13;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
19;16;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
10;9;true;true;Disj (Var (O), Var (S (O)))
10;9;true;false;Disj (Var (O), Var (S (O)))
10;9;false;true;Disj (Var (O), Var (S (O)))
8;7;true;_;Disj (Var (O), Var (O))
