unifs_propNorm;unifs_propOriginal;var0;var1;formula
5;6;_;true;Var (S (O))
3;4;true;_;Var (O)
7;9;_;false;Neg (Var (S (O)))
5;7;false;_;Neg (Var (O))
10;12;_;true;Neg (Neg (Var (S (O))))
8;10;true;_;Neg (Neg (Var (O)))
12;15;false;_;Neg (Conj (Var (O), Var (O)))
12;16;_;true;Disj (Var (S (O)), Var (S (O)))
10;14;true;true;Disj (Var (S (O)), Var (O))
10;14;true;false;Disj (Var (S (O)), Var (O))
10;14;false;true;Disj (Var (S (O)), Var (O))
14;19;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
14;19;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
12;17;true;true;Disj (Var (S (O)), Neg (Var (O)))
12;17;false;true;Disj (Var (S (O)), Neg (Var (O)))
12;17;false;false;Disj (Var (S (O)), Neg (Var (O)))
15;20;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
15;20;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
15;20;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
19;25;true;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
19;25;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
19;26;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
17;24;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
17;24;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
17;24;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
17;24;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
17;24;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
17;24;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;22;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
15;22;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
15;22;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
17;25;true;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
17;25;true;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
17;25;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
17;25;false;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
