unifs_consPD;unifs_ecce;var0;var1;formula
5;13;_;true;Var (S (O))
3;9;true;_;Var (O)
6;15;_;false;Neg (Var (S (O)))
4;11;false;_;Neg (Var (O))
7;17;_;true;Neg (Neg (Var (S (O))))
5;13;true;_;Neg (Neg (Var (O)))
8;19;_;false;Neg (Neg (Neg (Var (S (O)))))
6;15;false;_;Neg (Neg (Neg (Var (O))))
9;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
7;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
8;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
12;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
10;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
11;32;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;32;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;32;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
9;28;true;_;Neg (Neg (Disj (Var (O), Var (O))))
13;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
11;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
12;27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
17;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
15;33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
11;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
9;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
12;27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
11;25;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
17;37;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
15;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
15;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
13;29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
12;27;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
13;29;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
12;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
10;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
11;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
12;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
16;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
14;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
10;23;false;false;Neg (Disj (Var (O), Var (S (O))))
8;19;false;_;Neg (Disj (Var (O), Var (O)))
11;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
12;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
10;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
17;37;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
16;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
14;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
12;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
14;38;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;38;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
12;34;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
11;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
11;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
12;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
10;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
12;34;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
10;30;true;false;Neg (Conj (Var (S (O)), Var (O)))
10;30;false;true;Neg (Conj (Var (S (O)), Var (O)))
10;30;false;false;Neg (Conj (Var (S (O)), Var (O)))
13;40;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
13;40;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
11;36;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;36;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;36;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
14;45;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
10;30;true;false;Neg (Conj (Var (O), Var (S (O))))
10;30;false;true;Neg (Conj (Var (O), Var (S (O))))
10;30;false;false;Neg (Conj (Var (O), Var (S (O))))
8;26;false;_;Neg (Conj (Var (O), Var (O)))
11;36;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;36;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;36;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
9;32;true;_;Neg (Conj (Var (O), Neg (Var (O))))
9;32;false;_;Neg (Conj (Var (O), Neg (Var (O))))
14;45;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
12;41;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
13;38;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
11;34;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
11;34;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;34;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;34;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
9;30;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
