unifs_consPD;unifs_geoff;var0;var1;formula
5;6;_;true;Var (S (O))
3;4;true;_;Var (O)
6;8;_;false;Neg (Var (S (O)))
4;6;false;_;Neg (Var (O))
7;10;_;true;Neg (Neg (Var (S (O))))
5;8;true;_;Neg (Neg (Var (O)))
9;14;true;_;Neg (Neg (Conj (Var (O), Var (O))))
10;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
10;14;false;false;Neg (Disj (Var (O), Var (S (O))))
8;12;false;_;Neg (Disj (Var (O), Var (O)))
12;16;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
10;14;true;false;Neg (Conj (Var (S (O)), Var (O)))
10;14;false;true;Neg (Conj (Var (S (O)), Var (O)))
10;14;false;false;Neg (Conj (Var (S (O)), Var (O)))
14;20;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
10;14;true;false;Neg (Conj (Var (O), Var (S (O))))
10;14;false;true;Neg (Conj (Var (O), Var (S (O))))
10;14;false;false;Neg (Conj (Var (O), Var (S (O))))
8;12;false;_;Neg (Conj (Var (O), Var (O)))
11;16;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
9;14;true;_;Neg (Conj (Var (O), Neg (Var (O))))
16;22;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;20;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;20;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;20;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
11;14;_;true;Disj (Var (S (O)), Var (S (O)))
9;12;true;true;Disj (Var (S (O)), Var (O))
9;12;true;false;Disj (Var (S (O)), Var (O))
9;12;false;true;Disj (Var (S (O)), Var (O))
12;16;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
12;16;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
10;14;true;true;Disj (Var (S (O)), Neg (Var (O)))
10;14;false;true;Disj (Var (S (O)), Neg (Var (O)))
10;14;false;false;Disj (Var (S (O)), Neg (Var (O)))
15;20;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;20;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;18;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
