unifs_consPD;unifs_original;var0;var1;formula
5;9;_;true;Var (S (O))
3;6;true;_;Var (O)
6;14;_;false;Neg (Var (S (O)))
4;11;false;_;Neg (Var (O))
7;19;_;true;Neg (Neg (Var (S (O))))
5;16;true;_;Neg (Neg (Var (O)))
8;24;_;false;Neg (Neg (Neg (Var (S (O)))))
6;21;false;_;Neg (Neg (Neg (Var (O))))
9;29;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
7;26;true;_;Neg (Neg (Neg (Neg (Var (O)))))
10;33;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
12;36;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;36;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
10;33;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
13;34;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
11;31;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;31;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;31;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;31;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;31;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;31;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
9;28;true;_;Neg (Neg (Disj (Var (O), Var (O))))
13;40;true;_;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
13;34;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
11;31;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
12;36;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
15;43;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
11;31;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
9;28;true;_;Neg (Neg (Conj (Var (O), Var (O))))
12;36;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
13;40;true;_;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
15;43;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
15;43;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
13;40;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
12;29;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
10;26;false;false;Neg (Disj (Var (S (O)), Var (O)))
11;31;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
14;38;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
14;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
10;26;false;false;Neg (Disj (Var (O), Var (S (O))))
8;23;false;_;Neg (Disj (Var (O), Var (O)))
11;31;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
10;33;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
14;38;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
12;35;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
14;38;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;38;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;38;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
14;38;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
12;35;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
13;40;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
11;31;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
12;29;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
10;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
10;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
10;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
13;34;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
13;34;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
11;31;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;31;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;31;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
12;36;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
14;38;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;38;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;38;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
10;26;true;false;Neg (Conj (Var (O), Var (S (O))))
10;26;false;true;Neg (Conj (Var (O), Var (S (O))))
10;26;false;false;Neg (Conj (Var (O), Var (S (O))))
8;23;false;_;Neg (Conj (Var (O), Var (O)))
11;31;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;31;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;31;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
9;28;true;_;Neg (Conj (Var (O), Neg (Var (O))))
9;28;false;_;Neg (Conj (Var (O), Neg (Var (O))))
12;36;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
10;33;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
13;40;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
16;41;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
16;41;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;38;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
14;38;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
14;38;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
12;35;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
16;41;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;38;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;38;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
15;43;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
14;38;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
12;35;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
11;31;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;31;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;31;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
9;28;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
9;28;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
12;36;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
10;33;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
15;43;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
13;40;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
14;38;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
11;24;_;true;Disj (Var (S (O)), Var (S (O)))
9;21;true;true;Disj (Var (S (O)), Var (O))
9;21;true;false;Disj (Var (S (O)), Var (O))
9;21;false;true;Disj (Var (S (O)), Var (O))
12;29;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
12;29;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
10;26;true;true;Disj (Var (S (O)), Neg (Var (O)))
10;26;false;true;Disj (Var (S (O)), Neg (Var (O)))
10;26;false;false;Disj (Var (S (O)), Neg (Var (O)))
13;34;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
11;31;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
11;31;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
11;31;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
14;38;false;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
14;38;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
15;36;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;36;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;33;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;33;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;33;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
17;39;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;36;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
16;41;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
15;36;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
15;36;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;33;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;33;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;33;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
19;48;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;45;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
17;45;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
9;21;true;true;Disj (Var (O), Var (S (O)))
9;21;true;false;Disj (Var (O), Var (S (O)))
9;21;false;true;Disj (Var (O), Var (S (O)))
7;18;true;_;Disj (Var (O), Var (O))
10;26;true;true;Disj (Var (O), Neg (Var (S (O))))
