unifs_consPD;unifs_perfect;var0;var1;formula
5;6;_;true;Var (S (O))
3;4;true;_;Var (O)
6;8;_;false;Neg (Var (S (O)))
4;6;false;_;Neg (Var (O))
7;10;_;true;Neg (Neg (Var (S (O))))
5;8;true;_;Neg (Neg (Var (O)))
6;10;false;_;Neg (Neg (Neg (Var (O))))
11;16;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
9;14;true;_;Neg (Neg (Conj (Var (O), Var (O))))
12;16;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
10;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
10;14;false;false;Neg (Disj (Var (O), Var (S (O))))
8;12;false;_;Neg (Disj (Var (O), Var (O)))
11;14;_;true;Conj (Var (S (O)), Var (S (O)))
9;12;true;true;Conj (Var (S (O)), Var (O))
10;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
11;16;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
17;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
16;22;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
21;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
19;26;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
15;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
21;28;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
19;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
19;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;24;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
17;24;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
9;12;true;true;Conj (Var (O), Var (S (O)))
7;10;true;_;Conj (Var (O), Var (O))
10;14;true;false;Conj (Var (O), Neg (Var (S (O))))
11;16;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
9;14;true;_;Conj (Var (O), Neg (Neg (Var (O))))
15;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
21;28;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
19;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
19;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;24;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
13;18;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
11;16;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
14;20;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
19;26;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
17;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
15;22;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
21;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
19;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
17;24;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
15;22;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
15;20;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
13;18;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
13;18;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
11;16;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
14;20;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
19;26;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
17;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
17;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
15;22;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
