unifs;var0;var1;formula
7;_;true;Var (S (O))
5;true;_;Var (O)
10;_;false;Neg (Var (S (O)))
8;false;_;Neg (Var (O))
13;_;true;Neg (Neg (Var (S (O))))
11;true;_;Neg (Neg (Var (O)))
20;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
18;false;false;Neg (Disj (Var (S (O)), Var (O)))
18;false;false;Neg (Disj (Var (O), Var (S (O))))
16;false;_;Neg (Disj (Var (O), Var (O)))
20;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
18;true;false;Neg (Conj (Var (S (O)), Var (O)))
18;false;true;Neg (Conj (Var (S (O)), Var (O)))
18;false;false;Neg (Conj (Var (S (O)), Var (O)))
18;true;false;Neg (Conj (Var (O), Var (S (O))))
18;false;true;Neg (Conj (Var (O), Var (S (O))))
18;false;false;Neg (Conj (Var (O), Var (S (O))))
16;false;_;Neg (Conj (Var (O), Var (O)))
17;_;true;Disj (Var (S (O)), Var (S (O)))
15;true;true;Disj (Var (S (O)), Var (O))
15;true;false;Disj (Var (S (O)), Var (O))
15;false;true;Disj (Var (S (O)), Var (O))
20;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
20;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
18;true;true;Disj (Var (S (O)), Neg (Var (O)))
18;false;true;Disj (Var (S (O)), Neg (Var (O)))
18;false;false;Disj (Var (S (O)), Neg (Var (O)))
27;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
25;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
23;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
27;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
25;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
25;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
15;true;true;Disj (Var (O), Var (S (O)))
15;true;false;Disj (Var (O), Var (S (O)))
15;false;true;Disj (Var (O), Var (S (O)))
13;true;_;Disj (Var (O), Var (O))
18;true;true;Disj (Var (O), Neg (Var (S (O))))
18;true;false;Disj (Var (O), Neg (Var (S (O))))
18;false;false;Disj (Var (O), Neg (Var (S (O))))
16;true;_;Disj (Var (O), Neg (Var (O)))
16;false;_;Disj (Var (O), Neg (Var (O)))
25;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
25;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
25;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
23;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
23;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
23;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
21;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
25;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
23;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
21;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
20;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
18;true;true;Disj (Neg (Var (S (O))), Var (O))
18;true;false;Disj (Neg (Var (S (O))), Var (O))
18;false;false;Disj (Neg (Var (S (O))), Var (O))
23;_;false;Disj (Neg (Var (S (O))), Neg (Var (S (O))))
21;true;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
21;false;true;Disj (Neg (Var (S (O))), Neg (Var (O)))
21;false;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
30;_;true;Disj (Neg (Var (S (O))), Disj (Var (S (O)), Var (S (O))))
28;true;true;Disj (Neg (Var (S (O))), Disj (Var (S (O)), Var (O)))
28;true;false;Disj (Neg (Var (S (O))), Disj (Var (S (O)), Var (O)))
28;false;true;Disj (Neg (Var (S (O))), Disj (Var (S (O)), Var (O)))
28;true;true;Disj (Neg (Var (S (O))), Disj (Var (O), Var (S (O))))
28;true;false;Disj (Neg (Var (S (O))), Disj (Var (O), Var (S (O))))
28;false;true;Disj (Neg (Var (S (O))), Disj (Var (O), Var (S (O))))
26;true;true;Disj (Neg (Var (S (O))), Disj (Var (O), Var (O)))
26;true;false;Disj (Neg (Var (S (O))), Disj (Var (O), Var (O)))
30;_;true;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (S (O))))
30;_;false;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (S (O))))
28;true;true;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (O)))
28;true;false;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (O)))
28;false;false;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (O)))
28;true;true;Disj (Neg (Var (S (O))), Conj (Var (O), Var (S (O))))
28;true;false;Disj (Neg (Var (S (O))), Conj (Var (O), Var (S (O))))
28;false;false;Disj (Neg (Var (S (O))), Conj (Var (O), Var (S (O))))
26;true;true;Disj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
26;true;false;Disj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
26;false;false;Disj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
18;true;true;Disj (Neg (Var (O)), Var (S (O)))
18;false;true;Disj (Neg (Var (O)), Var (S (O)))
18;false;false;Disj (Neg (Var (O)), Var (S (O)))
16;true;_;Disj (Neg (Var (O)), Var (O))
16;false;_;Disj (Neg (Var (O)), Var (O))
21;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
21;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
21;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
19;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
28;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
28;false;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
28;false;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
26;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
26;true;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
26;false;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
26;false;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
26;true;true;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
26;true;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
26;false;true;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
26;false;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
24;true;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
24;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
28;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
28;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
28;false;false;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
26;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
26;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
26;false;false;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
26;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
26;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
26;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
24;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
24;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
27;_;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (S (O)))
25;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
25;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
30;_;true;Disj (Disj (Var (S (O)), Var (S (O))), Neg (Var (S (O))))
28;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Neg (Var (O)))
28;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Neg (Var (O)))
37;_;true;Disj (Disj (Var (S (O)), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
35;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Disj (Var (S (O)), Var (O)))
35;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Disj (Var (S (O)), Var (O)))
35;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (S (O))))
35;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (S (O))))
33;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (O)))
33;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (O)))
37;_;true;Disj (Disj (Var (S (O)), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
35;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Conj (Var (S (O)), Var (O)))
35;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Conj (Var (S (O)), Var (O)))
35;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Conj (Var (O), Var (S (O))))
35;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Conj (Var (O), Var (S (O))))
33;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Conj (Var (O), Var (O)))
33;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Conj (Var (O), Var (O)))
25;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (S (O)))
25;false;true;Disj (Disj (Var (S (O)), Var (O)), Var (S (O)))
23;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
23;true;false;Disj (Disj (Var (S (O)), Var (O)), Var (O))
23;false;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
28;true;true;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (S (O))))
28;true;false;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (S (O))))
28;false;true;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (S (O))))
26;true;true;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (O)))
26;false;true;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (O)))
35;true;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (S (O))))
35;false;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (S (O))))
33;true;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (O)))
33;true;false;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (O)))
33;false;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (O)))
33;true;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (S (O))))
33;true;false;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (S (O))))
33;false;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (S (O))))
31;true;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
31;true;false;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
31;false;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
35;true;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (S (O))))
35;true;false;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (S (O))))
35;false;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (S (O))))
33;true;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (O)))
33;false;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (O)))
33;true;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
33;false;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
31;true;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
31;true;false;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
31;false;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
25;true;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
25;true;false;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
25;false;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
23;true;true;Disj (Disj (Var (O), Var (S (O))), Var (O))
23;true;false;Disj (Disj (Var (O), Var (S (O))), Var (O))
28;true;true;Disj (Disj (Var (O), Var (S (O))), Neg (Var (S (O))))
28;true;false;Disj (Disj (Var (O), Var (S (O))), Neg (Var (S (O))))
26;true;true;Disj (Disj (Var (O), Var (S (O))), Neg (Var (O)))
26;true;false;Disj (Disj (Var (O), Var (S (O))), Neg (Var (O)))
26;false;true;Disj (Disj (Var (O), Var (S (O))), Neg (Var (O)))
35;true;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
35;true;false;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
35;false;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
33;true;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
33;true;false;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
33;false;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
33;true;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
33;true;false;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
33;false;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
31;true;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
31;true;false;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
35;true;true;Disj (Disj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
35;true;false;Disj (Disj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
35;false;true;Disj (Disj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
33;true;true;Disj (Disj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
