unifs_etalonLimited;unifs_consPD;var0;var1;formula
7;5;_;true;Var (S (O))
5;3;true;_;Var (O)
10;6;_;false;Neg (Var (S (O)))
8;4;false;_;Neg (Var (O))
13;7;_;true;Neg (Neg (Var (S (O))))
11;5;true;_;Neg (Neg (Var (O)))
20;12;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
18;10;false;false;Neg (Disj (Var (S (O)), Var (O)))
18;10;false;false;Neg (Disj (Var (O), Var (S (O))))
16;8;false;_;Neg (Disj (Var (O), Var (O)))
20;12;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
18;10;true;false;Neg (Conj (Var (S (O)), Var (O)))
18;10;false;true;Neg (Conj (Var (S (O)), Var (O)))
18;10;false;false;Neg (Conj (Var (S (O)), Var (O)))
18;10;true;false;Neg (Conj (Var (O), Var (S (O))))
18;10;false;true;Neg (Conj (Var (O), Var (S (O))))
18;10;false;false;Neg (Conj (Var (O), Var (S (O))))
16;8;false;_;Neg (Conj (Var (O), Var (O)))
17;11;_;true;Disj (Var (S (O)), Var (S (O)))
15;9;true;true;Disj (Var (S (O)), Var (O))
15;9;true;false;Disj (Var (S (O)), Var (O))
15;9;false;true;Disj (Var (S (O)), Var (O))
20;12;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
20;12;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
18;10;true;true;Disj (Var (S (O)), Neg (Var (O)))
18;10;false;true;Disj (Var (S (O)), Neg (Var (O)))
18;10;false;false;Disj (Var (S (O)), Neg (Var (O)))
25;15;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;15;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
23;13;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;13;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;13;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
27;17;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
25;15;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;15;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
25;15;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;13;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;13;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;13;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
15;9;true;true;Disj (Var (O), Var (S (O)))
15;9;true;false;Disj (Var (O), Var (S (O)))
15;9;false;true;Disj (Var (O), Var (S (O)))
13;7;true;_;Disj (Var (O), Var (O))
18;10;true;true;Disj (Var (O), Neg (Var (S (O))))
18;10;true;false;Disj (Var (O), Neg (Var (S (O))))
18;10;false;false;Disj (Var (O), Neg (Var (S (O))))
16;8;true;_;Disj (Var (O), Neg (Var (O)))
16;8;false;_;Disj (Var (O), Neg (Var (O)))
25;15;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
25;15;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
25;15;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
23;13;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;13;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;13;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;13;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
23;13;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
21;11;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
25;15;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;15;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;15;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;13;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;13;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;13;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
23;13;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
21;11;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;12;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
18;10;true;true;Disj (Neg (Var (S (O))), Var (O))
18;10;true;false;Disj (Neg (Var (S (O))), Var (O))
18;10;false;false;Disj (Neg (Var (S (O))), Var (O))
21;11;false;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
18;10;true;true;Disj (Neg (Var (O)), Var (S (O)))
18;10;false;true;Disj (Neg (Var (O)), Var (S (O)))
18;10;false;false;Disj (Neg (Var (O)), Var (S (O)))
16;8;true;_;Disj (Neg (Var (O)), Var (O))
16;8;false;_;Disj (Neg (Var (O)), Var (O))
21;11;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
21;11;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
21;11;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
19;9;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
24;12;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
