unifs_etalonLimited;unifs_ecce;var0;var1;formula
7;13;_;true;Var (S (O))
5;9;true;_;Var (O)
10;15;_;false;Neg (Var (S (O)))
8;11;false;_;Neg (Var (O))
13;17;_;true;Neg (Neg (Var (S (O))))
11;13;true;_;Neg (Neg (Var (O)))
20;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
18;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
18;23;false;false;Neg (Disj (Var (O), Var (S (O))))
16;19;false;_;Neg (Disj (Var (O), Var (O)))
20;34;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
18;30;true;false;Neg (Conj (Var (S (O)), Var (O)))
18;30;false;true;Neg (Conj (Var (S (O)), Var (O)))
18;30;false;false;Neg (Conj (Var (S (O)), Var (O)))
18;30;true;false;Neg (Conj (Var (O), Var (S (O))))
18;30;false;true;Neg (Conj (Var (O), Var (S (O))))
18;30;false;false;Neg (Conj (Var (O), Var (S (O))))
16;26;false;_;Neg (Conj (Var (O), Var (O)))
17;32;_;true;Disj (Var (S (O)), Var (S (O)))
15;28;true;true;Disj (Var (S (O)), Var (O))
15;28;true;false;Disj (Var (S (O)), Var (O))
15;28;false;true;Disj (Var (S (O)), Var (O))
20;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
20;38;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
18;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
18;34;false;true;Disj (Var (S (O)), Neg (Var (O)))
18;34;false;false;Disj (Var (S (O)), Neg (Var (O)))
25;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;47;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;47;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
23;43;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;43;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;43;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
27;51;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
25;47;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
