unifs_etalonLimited;unifs_geoff;var0;var1;formula
7;6;_;true;Var (S (O))
5;4;true;_;Var (O)
10;8;_;false;Neg (Var (S (O)))
8;6;false;_;Neg (Var (O))
13;10;_;true;Neg (Neg (Var (S (O))))
11;8;true;_;Neg (Neg (Var (O)))
18;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
18;14;false;false;Neg (Disj (Var (O), Var (S (O))))
16;12;false;_;Neg (Disj (Var (O), Var (O)))
20;16;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
18;14;true;false;Neg (Conj (Var (S (O)), Var (O)))
18;14;false;true;Neg (Conj (Var (S (O)), Var (O)))
18;14;false;false;Neg (Conj (Var (S (O)), Var (O)))
18;14;true;false;Neg (Conj (Var (O), Var (S (O))))
18;14;false;true;Neg (Conj (Var (O), Var (S (O))))
18;14;false;false;Neg (Conj (Var (O), Var (S (O))))
16;12;false;_;Neg (Conj (Var (O), Var (O)))
17;14;_;true;Disj (Var (S (O)), Var (S (O)))
15;12;true;true;Disj (Var (S (O)), Var (O))
15;12;true;false;Disj (Var (S (O)), Var (O))
15;12;false;true;Disj (Var (S (O)), Var (O))
20;16;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
20;16;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
18;14;true;true;Disj (Var (S (O)), Neg (Var (O)))
18;14;false;true;Disj (Var (S (O)), Neg (Var (O)))
18;14;false;false;Disj (Var (S (O)), Neg (Var (O)))
27;22;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
25;20;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;20;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;20;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;20;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;20;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
23;18;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;18;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;18;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
27;22;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
25;20;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;20;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;20;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
25;20;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;18;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;18;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;18;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
15;12;true;true;Disj (Var (O), Var (S (O)))
15;12;true;false;Disj (Var (O), Var (S (O)))
15;12;false;true;Disj (Var (O), Var (S (O)))
13;10;true;_;Disj (Var (O), Var (O))
18;14;true;true;Disj (Var (O), Neg (Var (S (O))))
18;14;true;false;Disj (Var (O), Neg (Var (S (O))))
18;14;false;false;Disj (Var (O), Neg (Var (S (O))))
16;12;true;_;Disj (Var (O), Neg (Var (O)))
16;12;false;_;Disj (Var (O), Neg (Var (O)))
25;20;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
25;20;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
25;20;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
