unifs_etalonLimited;unifs_original;var0;var1;formula
7;9;_;true;Var (S (O))
5;6;true;_;Var (O)
10;14;_;false;Neg (Var (S (O)))
8;11;false;_;Neg (Var (O))
13;19;_;true;Neg (Neg (Var (S (O))))
11;16;true;_;Neg (Neg (Var (O)))
20;29;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
18;26;false;false;Neg (Disj (Var (S (O)), Var (O)))
18;26;false;false;Neg (Disj (Var (O), Var (S (O))))
16;23;false;_;Neg (Disj (Var (O), Var (O)))
20;29;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
18;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
18;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
18;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
18;26;true;false;Neg (Conj (Var (O), Var (S (O))))
18;26;false;true;Neg (Conj (Var (O), Var (S (O))))
18;26;false;false;Neg (Conj (Var (O), Var (S (O))))
16;23;false;_;Neg (Conj (Var (O), Var (O)))
17;24;_;true;Disj (Var (S (O)), Var (S (O)))
15;21;true;true;Disj (Var (S (O)), Var (O))
15;21;true;false;Disj (Var (S (O)), Var (O))
15;21;false;true;Disj (Var (S (O)), Var (O))
20;29;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
20;29;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
18;26;true;true;Disj (Var (S (O)), Neg (Var (O)))
18;26;false;true;Disj (Var (S (O)), Neg (Var (O)))
18;26;false;false;Disj (Var (S (O)), Neg (Var (O)))
27;39;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
25;36;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;36;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;36;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;36;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;36;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;36;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
23;33;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;33;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
23;33;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
27;39;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
25;36;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;36;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;36;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
25;36;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;33;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;33;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;33;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
15;21;true;true;Disj (Var (O), Var (S (O)))
15;21;true;false;Disj (Var (O), Var (S (O)))
15;21;false;true;Disj (Var (O), Var (S (O)))
13;18;true;_;Disj (Var (O), Var (O))
18;26;true;true;Disj (Var (O), Neg (Var (S (O))))
18;26;true;false;Disj (Var (O), Neg (Var (S (O))))
18;26;false;false;Disj (Var (O), Neg (Var (S (O))))
16;23;true;_;Disj (Var (O), Neg (Var (O)))
16;23;false;_;Disj (Var (O), Neg (Var (O)))
25;36;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
25;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
25;36;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
23;33;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;33;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;33;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;33;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
23;33;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
23;33;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
21;30;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
25;36;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;36;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;36;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;33;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;33;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;33;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
23;33;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
21;30;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
18;26;true;true;Disj (Neg (Var (O)), Var (S (O)))
18;26;false;true;Disj (Neg (Var (O)), Var (S (O)))
18;26;false;false;Disj (Neg (Var (O)), Var (S (O)))
16;23;true;_;Disj (Neg (Var (O)), Var (O))
16;23;false;_;Disj (Neg (Var (O)), Var (O))
21;31;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
21;31;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
21;31;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
19;28;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
26;38;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
26;38;true;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
26;38;true;true;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
26;38;true;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
24;35;true;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
24;35;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
28;41;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
26;38;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
26;38;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
26;38;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
26;38;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
24;35;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
24;35;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
23;33;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
23;33;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
23;33;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
21;30;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
24;35;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
29;42;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
17;24;_;true;Conj (Var (S (O)), Var (S (O)))
15;21;true;true;Conj (Var (S (O)), Var (O))
18;26;false;true;Conj (Var (S (O)), Neg (Var (O)))
27;39;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
25;36;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;36;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;36;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
23;33;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
27;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
