unifs_etalonLimited;unifs_perfect;var0;var1;formula
7;6;_;true;Var (S (O))
5;4;true;_;Var (O)
10;8;_;false;Neg (Var (S (O)))
8;6;false;_;Neg (Var (O))
13;10;_;true;Neg (Neg (Var (S (O))))
11;8;true;_;Neg (Neg (Var (O)))
20;16;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
18;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
18;14;false;false;Neg (Disj (Var (O), Var (S (O))))
16;12;false;_;Neg (Disj (Var (O), Var (O)))
17;14;_;true;Conj (Var (S (O)), Var (S (O)))
15;12;true;true;Conj (Var (S (O)), Var (O))
18;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
27;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
25;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
15;12;true;true;Conj (Var (O), Var (S (O)))
13;10;true;_;Conj (Var (O), Var (O))
18;14;true;false;Conj (Var (O), Neg (Var (S (O))))
25;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
23;18;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
21;16;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
25;20;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
23;18;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
23;18;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
21;16;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
26;20;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;26;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
31;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;22;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
