unifs_etalon;unifs_geoff;var0;var1;formula
6;6;_;true;Var (S (O))
4;4;true;_;Var (O)
8;8;_;false;Neg (Var (S (O)))
6;6;false;_;Neg (Var (O))
10;10;_;true;Neg (Neg (Var (S (O))))
8;8;true;_;Neg (Neg (Var (O)))
14;14;true;_;Neg (Neg (Conj (Var (O), Var (O))))
14;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;14;false;false;Neg (Disj (Var (O), Var (S (O))))
12;12;false;_;Neg (Disj (Var (O), Var (O)))
16;16;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
14;14;true;false;Neg (Conj (Var (S (O)), Var (O)))
14;14;false;true;Neg (Conj (Var (S (O)), Var (O)))
14;14;false;false;Neg (Conj (Var (S (O)), Var (O)))
14;14;true;false;Neg (Conj (Var (O), Var (S (O))))
14;14;false;true;Neg (Conj (Var (O), Var (S (O))))
14;14;false;false;Neg (Conj (Var (O), Var (S (O))))
12;12;false;_;Neg (Conj (Var (O), Var (O)))
20;20;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;20;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
14;14;_;true;Disj (Var (S (O)), Var (S (O)))
12;12;true;true;Disj (Var (S (O)), Var (O))
12;12;true;false;Disj (Var (S (O)), Var (O))
12;12;false;true;Disj (Var (S (O)), Var (O))
16;16;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
16;16;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
14;14;true;true;Disj (Var (S (O)), Neg (Var (O)))
14;14;false;true;Disj (Var (S (O)), Neg (Var (O)))
14;14;false;false;Disj (Var (S (O)), Neg (Var (O)))
22;22;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;20;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;20;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
26;26;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
20;20;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;20;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;20;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;18;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;18;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;18;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
24;24;true;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
26;26;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
26;26;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;24;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
24;24;true;true;Disj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
22;22;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;20;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
20;20;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
26;26;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
28;28;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;28;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;26;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;20;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
20;20;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;18;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;18;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;18;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
26;26;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;26;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;24;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
28;28;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;26;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;26;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;24;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;24;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
30;30;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
26;26;true;true;Disj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
26;26;true;true;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;24;true;true;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
24;24;true;false;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
12;12;true;true;Disj (Var (O), Var (S (O)))
12;12;true;false;Disj (Var (O), Var (S (O)))
12;12;false;true;Disj (Var (O), Var (S (O)))
10;10;true;_;Disj (Var (O), Var (O))
14;14;true;true;Disj (Var (O), Neg (Var (S (O))))
14;14;true;false;Disj (Var (O), Neg (Var (S (O))))
14;14;false;false;Disj (Var (O), Neg (Var (S (O))))
12;12;true;_;Disj (Var (O), Neg (Var (O)))
12;12;false;_;Disj (Var (O), Neg (Var (O)))
20;20;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
18;18;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
20;20;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;20;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;20;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;18;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;18;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;18;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
24;24;true;true;Disj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
26;26;true;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;26;true;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;24;true;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;24;true;false;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
18;18;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;18;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;18;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
16;16;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
20;20;true;false;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
24;24;true;true;Disj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (O))))
24;24;true;true;Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
24;24;true;false;Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
22;22;true;_;Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
26;26;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;24;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;24;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;22;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
28;28;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
24;24;true;true;Disj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (O)))
24;24;true;true;Disj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
24;24;true;false;Disj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
22;22;true;_;Disj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
20;20;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;20;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;20;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;18;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;18;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
26;26;true;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;26;true;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;24;true;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
28;28;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;28;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;26;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;26;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;24;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;24;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;30;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
18;18;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
18;18;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
16;16;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;20;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
26;26;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
24;24;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;24;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;24;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;24;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
22;22;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
28;28;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
26;26;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;24;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
30;30;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
24;24;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;22;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
28;28;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
30;30;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
30;30;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;28;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
28;28;true;_;Disj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
22;22;true;_;Disj (Var (O), Conj (Disj (Var (O), Var (O)), Var (O)))
28;28;false;true;Disj (Var (O), Conj (Conj (Var (S (O)), Var (S (O))), Var (S (O))))
26;26;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
24;24;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
24;24;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;24;true;false;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;22;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
28;28;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O))))
30;30;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
30;30;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
