unifs;var0;var1;formula
10;_;true;Var (S (O))
7;true;_;Var (O)
16;_;false;Neg (Var (S (O)))
13;false;_;Neg (Var (O))
22;_;true;Neg (Neg (Var (S (O))))
19;true;_;Neg (Neg (Var (O)))
33;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
30;false;false;Neg (Disj (Var (S (O)), Var (O)))
30;false;false;Neg (Disj (Var (O), Var (S (O))))
27;false;_;Neg (Disj (Var (O), Var (O)))
33;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;false;false;Neg (Conj (Var (S (O)), Var (O)))
30;true;false;Neg (Conj (Var (O), Var (S (O))))
30;false;true;Neg (Conj (Var (O), Var (S (O))))
30;false;false;Neg (Conj (Var (O), Var (S (O))))
27;false;_;Neg (Conj (Var (O), Var (O)))
27;_;true;Disj (Var (S (O)), Var (S (O)))
24;true;true;Disj (Var (S (O)), Var (O))
24;true;false;Disj (Var (S (O)), Var (O))
24;false;true;Disj (Var (S (O)), Var (O))
33;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
33;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
30;true;true;Disj (Var (S (O)), Neg (Var (O)))
30;false;true;Disj (Var (S (O)), Neg (Var (O)))
30;false;false;Disj (Var (S (O)), Neg (Var (O)))
44;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
44;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
