unifs_originalLimited;unifs_consPD;var0;var1;formula
10;5;_;true;Var (S (O))
7;3;true;_;Var (O)
16;6;_;false;Neg (Var (S (O)))
13;4;false;_;Neg (Var (O))
22;7;_;true;Neg (Neg (Var (S (O))))
19;5;true;_;Neg (Neg (Var (O)))
33;12;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
30;10;false;false;Neg (Disj (Var (S (O)), Var (O)))
30;10;false;false;Neg (Disj (Var (O), Var (S (O))))
27;8;false;_;Neg (Disj (Var (O), Var (O)))
33;12;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;10;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;10;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;10;false;false;Neg (Conj (Var (S (O)), Var (O)))
30;10;true;false;Neg (Conj (Var (O), Var (S (O))))
30;10;false;true;Neg (Conj (Var (O), Var (S (O))))
30;10;false;false;Neg (Conj (Var (O), Var (S (O))))
27;8;false;_;Neg (Conj (Var (O), Var (O)))
27;11;_;true;Disj (Var (S (O)), Var (S (O)))
24;9;true;true;Disj (Var (S (O)), Var (O))
24;9;true;false;Disj (Var (S (O)), Var (O))
24;9;false;true;Disj (Var (S (O)), Var (O))
33;12;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
33;12;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
30;10;true;true;Disj (Var (S (O)), Neg (Var (O)))
30;10;false;true;Disj (Var (S (O)), Neg (Var (O)))
30;10;false;false;Disj (Var (S (O)), Neg (Var (O)))
41;15;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;15;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;13;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;13;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;13;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
44;17;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;15;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;15;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
41;15;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;13;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;13;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;13;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
24;9;true;true;Disj (Var (O), Var (S (O)))
24;9;true;false;Disj (Var (O), Var (S (O)))
24;9;false;true;Disj (Var (O), Var (S (O)))
21;7;true;_;Disj (Var (O), Var (O))
30;10;true;true;Disj (Var (O), Neg (Var (S (O))))
30;10;true;false;Disj (Var (O), Neg (Var (S (O))))
30;10;false;false;Disj (Var (O), Neg (Var (S (O))))
27;8;true;_;Disj (Var (O), Neg (Var (O)))
27;8;false;_;Disj (Var (O), Neg (Var (O)))
41;15;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
41;15;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
41;15;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
38;13;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;13;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;13;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;13;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
38;13;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
35;11;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
41;15;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;15;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;15;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;13;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;13;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;13;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
38;13;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
35;11;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
33;12;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
30;10;true;true;Disj (Neg (Var (S (O))), Var (O))
30;10;true;false;Disj (Neg (Var (S (O))), Var (O))
30;10;false;false;Disj (Neg (Var (S (O))), Var (O))
36;11;false;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
30;10;true;true;Disj (Neg (Var (O)), Var (S (O)))
30;10;false;true;Disj (Neg (Var (O)), Var (S (O)))
30;10;false;false;Disj (Neg (Var (O)), Var (S (O)))
27;8;true;_;Disj (Neg (Var (O)), Var (O))
27;8;false;_;Disj (Neg (Var (O)), Var (O))
36;11;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
36;11;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
36;11;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
33;9;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
41;12;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
47;16;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
44;14;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
44;14;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
41;12;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
41;15;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
38;13;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
38;13;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
38;13;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
35;11;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
44;14;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
41;12;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
52;17;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;17;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;15;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
27;11;_;true;Conj (Var (S (O)), Var (S (O)))
24;9;true;true;Conj (Var (S (O)), Var (O))
30;10;false;true;Conj (Var (S (O)), Neg (Var (O)))
44;17;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;15;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;15;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;15;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;15;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;13;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
44;17;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;15;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;15;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;13;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
24;9;true;true;Conj (Var (O), Var (S (O)))
21;7;true;_;Conj (Var (O), Var (O))
30;10;true;false;Conj (Var (O), Neg (Var (S (O))))
41;15;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
38;13;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
38;13;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
38;13;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
38;13;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
35;11;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
41;15;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;13;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
38;13;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
35;11;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
30;10;true;false;Conj (Neg (Var (S (O))), Var (O))
39;13;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
36;11;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
44;14;true;false;Conj (Neg (Var (S (O))), Disj (Var (O), Var (O)))
44;14;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
30;10;false;true;Conj (Neg (Var (O)), Var (S (O)))
36;11;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
33;9;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
47;16;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
44;14;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
44;14;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
47;16;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
41;15;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
38;13;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
41;15;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
38;13;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
55;19;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
55;19;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
52;17;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
38;13;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
35;11;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
44;14;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
52;17;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;17;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;17;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
49;15;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
55;19;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
52;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;15;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
