unifs_originalLimited;unifs_ecce;var0;var1;formula
10;13;_;true;Var (S (O))
7;9;true;_;Var (O)
16;15;_;false;Neg (Var (S (O)))
13;11;false;_;Neg (Var (O))
22;17;_;true;Neg (Neg (Var (S (O))))
19;13;true;_;Neg (Neg (Var (O)))
33;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
30;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
30;23;false;false;Neg (Disj (Var (O), Var (S (O))))
27;19;false;_;Neg (Disj (Var (O), Var (O)))
33;34;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;30;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;30;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;30;false;false;Neg (Conj (Var (S (O)), Var (O)))
30;30;true;false;Neg (Conj (Var (O), Var (S (O))))
30;30;false;true;Neg (Conj (Var (O), Var (S (O))))
30;30;false;false;Neg (Conj (Var (O), Var (S (O))))
27;26;false;_;Neg (Conj (Var (O), Var (O)))
27;32;_;true;Disj (Var (S (O)), Var (S (O)))
24;28;true;true;Disj (Var (S (O)), Var (O))
24;28;true;false;Disj (Var (S (O)), Var (O))
24;28;false;true;Disj (Var (S (O)), Var (O))
33;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
33;38;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
30;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
30;34;false;true;Disj (Var (S (O)), Neg (Var (O)))
30;34;false;false;Disj (Var (S (O)), Neg (Var (O)))
41;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;47;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;47;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;43;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;43;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;43;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
44;51;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;47;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;47;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;47;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
41;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;43;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;43;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
24;28;true;true;Disj (Var (O), Var (S (O)))
24;28;true;false;Disj (Var (O), Var (S (O)))
24;28;false;true;Disj (Var (O), Var (S (O)))
21;24;true;_;Disj (Var (O), Var (O))
30;34;true;true;Disj (Var (O), Neg (Var (S (O))))
30;34;true;false;Disj (Var (O), Neg (Var (S (O))))
30;34;false;false;Disj (Var (O), Neg (Var (S (O))))
27;30;true;_;Disj (Var (O), Neg (Var (O)))
27;30;false;_;Disj (Var (O), Neg (Var (O)))
38;43;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
38;43;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
38;43;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
35;39;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
41;47;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;47;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;43;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;43;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
