unifs_originalLimited;unifs_etalonLimited;var0;var1;formula
10;7;_;true;Var (S (O))
7;5;true;_;Var (O)
16;10;_;false;Neg (Var (S (O)))
13;8;false;_;Neg (Var (O))
22;13;_;true;Neg (Neg (Var (S (O))))
19;11;true;_;Neg (Neg (Var (O)))
33;20;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
30;18;false;false;Neg (Disj (Var (S (O)), Var (O)))
30;18;false;false;Neg (Disj (Var (O), Var (S (O))))
27;16;false;_;Neg (Disj (Var (O), Var (O)))
33;20;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;18;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;18;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;18;false;false;Neg (Conj (Var (S (O)), Var (O)))
30;18;true;false;Neg (Conj (Var (O), Var (S (O))))
30;18;false;true;Neg (Conj (Var (O), Var (S (O))))
30;18;false;false;Neg (Conj (Var (O), Var (S (O))))
27;16;false;_;Neg (Conj (Var (O), Var (O)))
27;17;_;true;Disj (Var (S (O)), Var (S (O)))
24;15;true;true;Disj (Var (S (O)), Var (O))
24;15;true;false;Disj (Var (S (O)), Var (O))
24;15;false;true;Disj (Var (S (O)), Var (O))
33;20;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
33;20;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
30;18;true;true;Disj (Var (S (O)), Neg (Var (O)))
30;18;false;true;Disj (Var (S (O)), Neg (Var (O)))
30;18;false;false;Disj (Var (S (O)), Neg (Var (O)))
44;27;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;25;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;25;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;25;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;25;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;25;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;25;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;23;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;23;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;23;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
44;27;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;25;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;25;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;25;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
41;25;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;23;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;23;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;23;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
24;15;true;true;Disj (Var (O), Var (S (O)))
24;15;true;false;Disj (Var (O), Var (S (O)))
24;15;false;true;Disj (Var (O), Var (S (O)))
21;13;true;_;Disj (Var (O), Var (O))
30;18;true;true;Disj (Var (O), Neg (Var (S (O))))
30;18;true;false;Disj (Var (O), Neg (Var (S (O))))
30;18;false;false;Disj (Var (O), Neg (Var (S (O))))
27;16;true;_;Disj (Var (O), Neg (Var (O)))
27;16;false;_;Disj (Var (O), Neg (Var (O)))
41;25;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
41;25;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
41;25;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
38;23;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;23;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;23;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;23;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
38;23;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
38;23;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
35;21;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
41;25;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;25;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;25;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;23;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;23;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;23;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
38;23;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
