unifs_originalLimited;unifs_geoff;var0;var1;formula
10;6;_;true;Var (S (O))
7;4;true;_;Var (O)
16;8;_;false;Neg (Var (S (O)))
13;6;false;_;Neg (Var (O))
22;10;_;true;Neg (Neg (Var (S (O))))
19;8;true;_;Neg (Neg (Var (O)))
30;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
30;14;false;false;Neg (Disj (Var (O), Var (S (O))))
27;12;false;_;Neg (Disj (Var (O), Var (O)))
33;16;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;14;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;14;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;14;false;false;Neg (Conj (Var (S (O)), Var (O)))
30;14;true;false;Neg (Conj (Var (O), Var (S (O))))
30;14;false;true;Neg (Conj (Var (O), Var (S (O))))
30;14;false;false;Neg (Conj (Var (O), Var (S (O))))
27;12;false;_;Neg (Conj (Var (O), Var (O)))
27;14;_;true;Disj (Var (S (O)), Var (S (O)))
24;12;true;true;Disj (Var (S (O)), Var (O))
24;12;true;false;Disj (Var (S (O)), Var (O))
24;12;false;true;Disj (Var (S (O)), Var (O))
33;16;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
33;16;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
30;14;true;true;Disj (Var (S (O)), Neg (Var (O)))
30;14;false;true;Disj (Var (S (O)), Neg (Var (O)))
30;14;false;false;Disj (Var (S (O)), Neg (Var (O)))
44;22;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;20;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;20;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;20;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;20;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;20;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;18;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;18;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;18;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
44;22;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;20;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;20;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;20;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
41;20;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;18;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;18;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;18;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
24;12;true;true;Disj (Var (O), Var (S (O)))
24;12;true;false;Disj (Var (O), Var (S (O)))
24;12;false;true;Disj (Var (O), Var (S (O)))
21;10;true;_;Disj (Var (O), Var (O))
30;14;true;true;Disj (Var (O), Neg (Var (S (O))))
30;14;true;false;Disj (Var (O), Neg (Var (S (O))))
30;14;false;false;Disj (Var (O), Neg (Var (S (O))))
27;12;true;_;Disj (Var (O), Neg (Var (O)))
27;12;false;_;Disj (Var (O), Neg (Var (O)))
41;20;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
41;20;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
41;20;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
38;18;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;18;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;18;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;18;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
38;18;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
38;18;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
35;16;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
41;20;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;20;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;20;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;18;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;18;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;18;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
38;18;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
35;16;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
38;18;true;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
38;18;true;false;Disj (Disj (Var (O), Var (O)), Var (S (O)))
35;16;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
49;22;true;_;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (O)))
52;24;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;24;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;22;true;_;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
41;20;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
41;20;false;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
38;18;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
52;24;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
41;20;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
38;18;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
38;18;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
55;26;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
55;26;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
52;24;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
52;24;true;false;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
58;28;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
55;26;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
55;26;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
52;24;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
52;24;true;false;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
38;18;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
38;18;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
35;16;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
44;20;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
44;20;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
41;18;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
55;26;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
52;24;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;24;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;24;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
52;24;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
49;22;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
55;26;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
52;24;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
