unifs_originalLimited;unifs_original;var0;var1;formula
10;9;_;true;Var (S (O))
7;6;true;_;Var (O)
16;14;_;false;Neg (Var (S (O)))
13;11;false;_;Neg (Var (O))
22;19;_;true;Neg (Neg (Var (S (O))))
19;16;true;_;Neg (Neg (Var (O)))
33;29;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
30;26;false;false;Neg (Disj (Var (S (O)), Var (O)))
30;26;false;false;Neg (Disj (Var (O), Var (S (O))))
27;23;false;_;Neg (Disj (Var (O), Var (O)))
33;29;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
30;26;true;false;Neg (Conj (Var (O), Var (S (O))))
30;26;false;true;Neg (Conj (Var (O), Var (S (O))))
30;26;false;false;Neg (Conj (Var (O), Var (S (O))))
27;23;false;_;Neg (Conj (Var (O), Var (O)))
27;24;_;true;Disj (Var (S (O)), Var (S (O)))
24;21;true;true;Disj (Var (S (O)), Var (O))
24;21;true;false;Disj (Var (S (O)), Var (O))
24;21;false;true;Disj (Var (S (O)), Var (O))
33;29;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
33;29;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
30;26;true;true;Disj (Var (S (O)), Neg (Var (O)))
30;26;false;true;Disj (Var (S (O)), Neg (Var (O)))
30;26;false;false;Disj (Var (S (O)), Neg (Var (O)))
44;39;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;36;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;36;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;36;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;36;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;36;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;36;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;33;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;33;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
38;33;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
44;39;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;36;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;36;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;36;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
41;36;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;33;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;33;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;33;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
24;21;true;true;Disj (Var (O), Var (S (O)))
24;21;true;false;Disj (Var (O), Var (S (O)))
24;21;false;true;Disj (Var (O), Var (S (O)))
21;18;true;_;Disj (Var (O), Var (O))
30;26;true;true;Disj (Var (O), Neg (Var (S (O))))
30;26;true;false;Disj (Var (O), Neg (Var (S (O))))
30;26;false;false;Disj (Var (O), Neg (Var (S (O))))
27;23;true;_;Disj (Var (O), Neg (Var (O)))
27;23;false;_;Disj (Var (O), Neg (Var (O)))
41;36;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
41;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
41;36;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
38;33;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;33;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;33;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;33;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
38;33;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
38;33;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
35;30;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
41;36;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;36;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
41;36;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;33;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;33;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;33;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
38;33;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
35;30;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
30;26;true;true;Disj (Neg (Var (O)), Var (S (O)))
30;26;false;true;Disj (Neg (Var (O)), Var (S (O)))
30;26;false;false;Disj (Neg (Var (O)), Var (S (O)))
27;23;true;_;Disj (Neg (Var (O)), Var (O))
27;23;false;_;Disj (Neg (Var (O)), Var (O))
36;31;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
36;31;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
36;31;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
33;28;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
44;38;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
44;38;true;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
44;38;true;true;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
44;38;true;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
41;35;true;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
41;35;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
47;41;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
44;38;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
44;38;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
44;38;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
44;38;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
41;35;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
41;35;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
38;33;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
38;33;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
38;33;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
35;30;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
41;35;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
49;42;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
27;24;_;true;Conj (Var (S (O)), Var (S (O)))
24;21;true;true;Conj (Var (S (O)), Var (O))
30;26;false;true;Conj (Var (S (O)), Neg (Var (O)))
44;39;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;36;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;36;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;36;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;33;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
44;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;36;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;36;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
24;21;true;true;Conj (Var (O), Var (S (O)))
21;18;true;_;Conj (Var (O), Var (O))
30;26;true;false;Conj (Var (O), Neg (Var (S (O))))
41;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
38;33;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
38;33;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
38;33;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
38;33;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
35;30;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
41;36;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
38;33;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
35;30;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
30;26;true;false;Conj (Neg (Var (S (O))), Var (O))
30;26;false;true;Conj (Neg (Var (O)), Var (S (O)))
36;31;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
33;28;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
44;38;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
44;38;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
