unifs_originalLimited;unifs_perfect;var0;var1;formula
10;6;_;true;Var (S (O))
7;4;true;_;Var (O)
16;8;_;false;Neg (Var (S (O)))
13;6;false;_;Neg (Var (O))
22;10;_;true;Neg (Neg (Var (S (O))))
19;8;true;_;Neg (Neg (Var (O)))
33;16;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
30;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
30;14;false;false;Neg (Disj (Var (O), Var (S (O))))
27;12;false;_;Neg (Disj (Var (O), Var (O)))
27;14;_;true;Conj (Var (S (O)), Var (S (O)))
24;12;true;true;Conj (Var (S (O)), Var (O))
30;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
44;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
24;12;true;true;Conj (Var (O), Var (S (O)))
21;10;true;_;Conj (Var (O), Var (O))
30;14;true;false;Conj (Var (O), Neg (Var (S (O))))
41;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
38;18;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
35;16;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
41;20;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
38;18;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
38;18;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
35;16;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
44;20;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
55;26;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
52;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;22;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
