unifs_original;unifs_ecce;var0;var1;formula
9;13;_;true;Var (S (O))
6;9;true;_;Var (O)
14;15;_;false;Neg (Var (S (O)))
11;11;false;_;Neg (Var (O))
19;17;_;true;Neg (Neg (Var (S (O))))
16;13;true;_;Neg (Neg (Var (O)))
24;19;_;false;Neg (Neg (Neg (Var (S (O)))))
21;15;false;_;Neg (Neg (Neg (Var (O))))
29;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
26;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
33;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
31;32;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;32;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;32;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;28;true;_;Neg (Neg (Disj (Var (O), Var (O))))
34;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
31;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
36;27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
43;33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
31;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
28;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
36;27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
43;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
43;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
40;29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
29;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
26;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
31;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
38;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
26;23;false;false;Neg (Disj (Var (O), Var (S (O))))
23;19;false;_;Neg (Disj (Var (O), Var (O)))
31;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
33;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
38;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
35;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
38;38;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;38;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
35;34;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
31;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
29;34;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
26;30;true;false;Neg (Conj (Var (S (O)), Var (O)))
26;30;false;true;Neg (Conj (Var (S (O)), Var (O)))
26;30;false;false;Neg (Conj (Var (S (O)), Var (O)))
34;40;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
34;40;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
31;36;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;36;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;36;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
41;49;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;49;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;49;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
38;45;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;45;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;45;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;30;true;false;Neg (Conj (Var (O), Var (S (O))))
26;30;false;true;Neg (Conj (Var (O), Var (S (O))))
26;30;false;false;Neg (Conj (Var (O), Var (S (O))))
23;26;false;_;Neg (Conj (Var (O), Var (O)))
31;36;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;36;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
