unifs;var0;var1;formula
5;_;true;Var (S (O))
3;true;_;Var (O)
6;_;false;Neg (Var (S (O)))
4;false;_;Neg (Var (O))
7;_;true;Neg (Neg (Var (S (O))))
5;true;_;Neg (Neg (Var (O)))
8;_;false;Neg (Neg (Neg (Var (S (O)))))
6;false;_;Neg (Neg (Neg (Var (O))))
9;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
7;true;_;Neg (Neg (Neg (Neg (Var (O)))))
8;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
11;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
12;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
12;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
10;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
12;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
10;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
11;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
9;true;_;Neg (Neg (Disj (Var (O), Var (O))))
10;false;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
13;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
11;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
12;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
17;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
17;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
15;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
11;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
9;true;_;Neg (Neg (Conj (Var (O), Var (O))))
12;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
11;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
15;true;false;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
17;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
15;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
15;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
13;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
17;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
12;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
11;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
15;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
13;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
12;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
10;false;false;Neg (Disj (Var (S (O)), Var (O)))
11;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
12;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
15;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
16;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
16;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
14;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
16;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
14;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
10;false;false;Neg (Disj (Var (O), Var (S (O))))
8;false;_;Neg (Disj (Var (O), Var (O)))
11;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
12;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
10;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
17;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
16;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
14;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
12;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
16;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
