unifs_consPDLN;unifs_ecceFN;var0;var1;formula
5;13;_;true;Var (S (O))
3;9;true;_;Var (O)
6;15;_;false;Neg (Var (S (O)))
4;11;false;_;Neg (Var (O))
7;17;_;true;Neg (Neg (Var (S (O))))
5;13;true;_;Neg (Neg (Var (O)))
8;19;_;false;Neg (Neg (Neg (Var (S (O)))))
6;15;false;_;Neg (Neg (Neg (Var (O))))
9;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
7;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
10;23;_;false;Neg (Neg (Neg (Neg (Neg (Var (S (O)))))))
8;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
13;30;true;true;Neg (Neg (Neg (Neg (Conj (Var (S (O)), Var (O))))))
13;30;true;true;Neg (Neg (Neg (Neg (Conj (Var (O), Var (S (O)))))))
11;26;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
14;31;_;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (S (O))))))
12;27;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
12;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
10;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
13;29;false;true;Neg (Neg (Neg (Disj (Var (O), Neg (Var (S (O)))))))
14;34;_;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
12;30;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;30;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;30;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;30;true;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
12;30;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
12;30;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
10;26;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
13;32;false;true;Neg (Neg (Neg (Conj (Var (O), Neg (Var (S (O)))))))
11;35;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;35;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;34;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;35;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
9;31;true;_;Neg (Neg (Disj (Var (O), Var (O))))
13;30;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
11;26;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
12;28;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
13;30;true;true;Neg (Neg (Conj (Var (S (O)), Neg (Neg (Var (O))))))
19;43;_;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
17;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
17;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
15;35;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
19;44;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))))
11;26;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
9;22;true;_;Neg (Neg (Conj (Var (O), Var (O))))
12;28;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
13;30;true;true;Neg (Neg (Conj (Var (O), Neg (Neg (Var (S (O)))))))
11;26;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
15;44;true;false;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
17;39;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
15;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
19;44;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))))
15;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
13;31;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
16;37;true;false;Neg (Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))))
19;44;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))))
19;44;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))))
17;40;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
19;48;true;true;Neg (Neg (Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))))
17;44;true;_;Neg (Neg (Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))))
12;31;true;false;Neg (Neg (Conj (Neg (Var (S (O))), Var (O))))
12;31;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
13;33;false;false;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (S (O))))))
11;29;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
18;44;false;true;Neg (Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
15;39;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
13;35;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
17;44;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))))
12;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
10;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
11;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
14;31;_;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (S (O))))))
12;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
