unifs_consPDLP;unifs_ecceFP;var0;var1;formula
5;13;_;true;Var (S (O))
3;9;true;_;Var (O)
6;15;_;false;Neg (Var (S (O)))
4;11;false;_;Neg (Var (O))
7;17;_;true;Neg (Neg (Var (S (O))))
5;13;true;_;Neg (Neg (Var (O)))
8;19;_;false;Neg (Neg (Neg (Var (S (O)))))
6;15;false;_;Neg (Neg (Neg (Var (O))))
9;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
7;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
8;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
11;25;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
12;27;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
12;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
10;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
12;30;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;30;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
10;26;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
13;32;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
11;28;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;28;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;28;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;28;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;28;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;28;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
9;24;true;_;Neg (Neg (Disj (Var (O), Var (O))))
13;32;true;_;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
13;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
11;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
12;27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
17;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
17;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
15;33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
11;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
9;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
12;27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
11;25;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
13;32;true;_;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
17;37;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
15;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
15;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
13;29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
17;37;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
12;27;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
11;25;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
15;33;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
13;29;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
12;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
10;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
11;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
12;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
15;33;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
16;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
16;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
14;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
16;38;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
14;34;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
10;23;false;false;Neg (Disj (Var (O), Var (S (O))))
8;19;false;_;Neg (Disj (Var (O), Var (O)))
11;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
12;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
10;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
17;37;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
16;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
14;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
12;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
14;34;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;34;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;34;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
14;34;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
12;30;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
13;32;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
11;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
11;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
12;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
10;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
12;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
