unifs_consPDLP;unifs_originalFP;var0;var1;formula
5;6;_;true;Var (S (O))
3;4;true;_;Var (O)
6;9;_;false;Neg (Var (S (O)))
4;7;false;_;Neg (Var (O))
7;12;_;true;Neg (Neg (Var (S (O))))
5;10;true;_;Neg (Neg (Var (O)))
8;15;_;false;Neg (Neg (Neg (Var (S (O)))))
6;13;false;_;Neg (Neg (Neg (Var (O))))
9;18;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
7;16;true;_;Neg (Neg (Neg (Neg (Var (O)))))
10;21;_;false;Neg (Neg (Neg (Neg (Neg (Var (S (O)))))))
8;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
13;26;true;true;Neg (Neg (Neg (Neg (Conj (Var (S (O)), Var (O))))))
13;26;true;true;Neg (Neg (Neg (Neg (Conj (Var (O), Var (S (O)))))))
11;24;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
14;25;_;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (S (O))))))
12;23;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
12;23;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
10;21;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
12;23;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;23;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;23;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;23;true;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
12;23;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
12;23;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
10;21;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
11;24;false;_;Neg (Neg (Neg (Conj (Var (O), Neg (Var (O))))))
13;22;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
11;20;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;20;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;20;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
12;23;false;true;Neg (Neg (Disj (Var (S (O)), Neg (Var (O)))))
