unifs_ecceFP;unifs_ecceFN;var0;var1;formula
13;13;_;true;Var (S (O))
9;9;true;_;Var (O)
15;15;_;false;Neg (Var (S (O)))
11;11;false;_;Neg (Var (O))
17;17;_;true;Neg (Neg (Var (S (O))))
13;13;true;_;Neg (Neg (Var (O)))
19;19;_;false;Neg (Neg (Neg (Var (S (O)))))
15;15;false;_;Neg (Neg (Neg (Var (O))))
21;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
23;23;_;false;Neg (Neg (Neg (Neg (Neg (Var (S (O)))))))
19;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
29;30;true;true;Neg (Neg (Neg (Neg (Conj (Var (S (O)), Var (O))))))
29;30;true;true;Neg (Neg (Neg (Neg (Conj (Var (O), Var (S (O)))))))
25;26;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
31;31;_;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (S (O))))))
27;27;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
27;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
23;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
29;29;false;true;Neg (Neg (Neg (Disj (Var (O), Neg (Var (S (O)))))))
30;30;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
30;30;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
30;30;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
30;30;true;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
30;30;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
30;30;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
26;26;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
28;35;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;35;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;34;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;35;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
24;31;true;_;Neg (Neg (Disj (Var (O), Var (O))))
29;30;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;26;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;28;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
29;30;true;true;Neg (Neg (Conj (Var (S (O)), Neg (Neg (Var (O))))))
41;43;_;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
37;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
37;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
33;35;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
41;44;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))))
25;26;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;22;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;28;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
29;30;true;true;Neg (Neg (Conj (Var (O), Neg (Neg (Var (S (O)))))))
25;26;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
36;44;true;false;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
37;39;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
33;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
41;44;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))))
33;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
29;31;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
35;37;true;false;Neg (Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))))
41;44;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))))
41;44;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))))
37;40;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
37;44;true;_;Neg (Neg (Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))))
27;31;true;false;Neg (Neg (Conj (Neg (Var (S (O))), Var (O))))
27;31;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
29;33;false;false;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (S (O))))))
25;29;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
39;44;false;true;Neg (Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
33;39;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
29;35;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
37;44;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))))
27;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
31;31;_;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (S (O))))))
27;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
33;34;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
39;39;_;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
35;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
35;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
38;38;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
38;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
38;38;true;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
38;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
34;34;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
23;23;false;false;Neg (Disj (Var (O), Var (S (O))))
19;19;false;_;Neg (Disj (Var (O), Var (O)))
25;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
27;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
23;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
29;29;false;true;Neg (Disj (Var (O), Neg (Neg (Neg (Var (S (O)))))))
37;38;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
35;36;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O))))))
35;39;false;true;Neg (Disj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O))))))
35;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
33;33;false;true;Neg (Disj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
35;35;false;_;Neg (Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (O)))))
38;38;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
34;34;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
34;34;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
34;34;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
34;34;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
30;30;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
36;36;false;true;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
36;36;false;false;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
32;32;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
46;47;false;true;Neg (Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
36;36;false;false;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
32;32;false;_;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (O))))
25;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
31;31;_;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (S (O)))))
27;27;true;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (O))))
33;33;false;true;Neg (Disj (Neg (Var (S (O))), Disj (Var (O), Var (O))))
25;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
27;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
23;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
31;32;true;_;Neg (Disj (Neg (Var (O)), Neg (Conj (Var (O), Var (O)))))
37;37;true;false;Neg (Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O)))))
36;36;true;false;Neg (Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
31;31;false;false;Neg (Disj (Disj (Var (O), Var (O)), Var (S (O))))
27;27;false;_;Neg (Disj (Disj (Var (O), Var (O)), Var (O)))
30;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
26;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
26;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
26;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
32;32;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
32;32;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
28;28;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
28;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
28;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
30;30;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
30;30;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
30;30;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
36;37;true;true;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
36;37;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
38;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
38;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
34;34;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
34;34;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
41;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;41;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
34;35;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
37;37;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
37;37;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
40;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (S (O))))))
42;44;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
26;26;true;false;Neg (Conj (Var (O), Var (S (O))))
26;26;false;true;Neg (Conj (Var (O), Var (S (O))))
26;26;false;false;Neg (Conj (Var (O), Var (S (O))))
22;22;false;_;Neg (Conj (Var (O), Var (O)))
28;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
24;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
24;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
30;30;true;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
30;30;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
30;30;false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
26;26;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
36;36;false;false;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (S (O))))))
32;32;false;_;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (O)))))
40;41;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
36;37;true;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
36;37;true;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
32;33;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
35;35;false;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
38;38;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
38;38;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
34;34;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
36;36;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Neg (Var (O)))))
34;34;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
30;30;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
36;36;false;true;Neg (Conj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
36;36;true;false;Neg (Conj (Var (O), Disj (Neg (Var (O)), Var (S (O)))))
41;41;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;39;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
37;37;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
37;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
37;37;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
36;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
50;52;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
37;37;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;37;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
33;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
35;35;false;_;Neg (Conj (Var (O), Conj (Var (O), Neg (Var (O)))))
36;40;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
38;42;false;false;Neg (Conj (Var (O), Conj (Neg (Var (O)), Neg (Var (S (O))))))
34;38;false;_;Neg (Conj (Var (O), Conj (Neg (Var (O)), Neg (Var (O)))))
32;32;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
32;32;_;false;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
28;28;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
28;28;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
28;28;false;false;Neg (Conj (Neg (Var (S (O))), Var (O)))
30;30;true;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
30;30;false;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
36;37;true;true;Neg (Conj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
28;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
24;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
24;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
30;30;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
30;30;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
30;30;false;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
26;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
32;32;false;_;Neg (Conj (Neg (Var (O)), Disj (Var (O), Var (O))))
36;37;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
36;37;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
32;33;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
34;34;false;true;Neg (Conj (Disj (Var (O), Var (O)), Var (S (O))))
34;35;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
32;33;true;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
28;35;_;true;Disj (Var (S (O)), Var (S (O)))
24;31;true;true;Disj (Var (S (O)), Var (O))
24;31;true;false;Disj (Var (S (O)), Var (O))
24;30;false;true;Disj (Var (S (O)), Var (O))
30;42;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
30;43;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
26;38;true;true;Disj (Var (S (O)), Neg (Var (O)))
26;39;false;true;Disj (Var (S (O)), Neg (Var (O)))
26;39;false;false;Disj (Var (S (O)), Neg (Var (O)))
28;47;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
32;49;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
40;56;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;52;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
36;52;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
32;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
32;48;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
35;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;60;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
40;65;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;31;true;true;Disj (Var (O), Var (S (O)))
24;30;true;false;Disj (Var (O), Var (S (O)))
24;31;false;true;Disj (Var (O), Var (S (O)))
20;27;true;_;Disj (Var (O), Var (O))
26;38;true;true;Disj (Var (O), Neg (Var (S (O))))
26;39;true;false;Disj (Var (O), Neg (Var (S (O))))
26;39;false;false;Disj (Var (O), Neg (Var (S (O))))
22;34;true;_;Disj (Var (O), Neg (Var (O)))
22;35;false;_;Disj (Var (O), Neg (Var (O)))
28;47;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
36;53;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
35;49;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
36;52;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
39;51;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;52;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
32;48;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
34;56;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
32;48;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
28;44;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
34;56;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
30;45;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
30;44;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
26;41;true;true;Disj (Neg (Var (S (O))), Var (O))
26;41;true;false;Disj (Neg (Var (S (O))), Var (O))
26;40;false;false;Disj (Neg (Var (S (O))), Var (O))
26;41;true;true;Disj (Neg (Var (O)), Var (S (O)))
26;41;false;true;Disj (Neg (Var (O)), Var (S (O)))
26;40;false;false;Disj (Neg (Var (O)), Var (S (O)))
22;37;true;_;Disj (Neg (Var (O)), Var (O))
22;36;false;_;Disj (Neg (Var (O)), Var (O))
32;50;false;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
32;43;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
36;47;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
32;43;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
40;56;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
32;43;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
32;42;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
28;39;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
34;47;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
34;48;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
30;43;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
32;46;true;_;Disj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
44;60;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
40;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
40;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
36;52;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
44;61;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
25;26;_;true;Conj (Var (S (O)), Var (S (O)))
21;22;true;true;Conj (Var (S (O)), Var (O))
23;24;false;true;Conj (Var (S (O)), Neg (Var (O)))
29;30;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;26;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
27;28;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
29;30;true;true;Conj (Var (S (O)), Neg (Neg (Neg (Neg (Var (O))))))
41;43;_;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
37;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (O)))))
37;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
33;35;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
41;44;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O))))))
31;32;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
37;38;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Neg (Var (S (O))))))
39;40;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Disj (Var (O), Var (O)))))
37;38;false;true;Conj (Var (S (O)), Neg (Disj (Neg (Var (S (O))), Var (O))))
35;36;true;true;Conj (Var (S (O)), Neg (Disj (Neg (Var (O)), Neg (Var (O)))))
38;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
38;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
34;35;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
40;41;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (S (O))))))
36;37;true;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
36;37;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
50;52;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
40;41;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (O)), Var (S (O)))))
36;37;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (O)), Var (O))))
40;48;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
36;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;43;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;44;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;44;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
32;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
34;48;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
48;65;false;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
44;56;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
40;52;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
37;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;35;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
35;37;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
41;43;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
37;39;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
43;45;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Disj (Var (O), Var (O)))))
49;52;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
45;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
47;50;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O)))))
53;57;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
45;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
53;57;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
53;57;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
49;53;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
47;53;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O)))))
33;35;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
29;31;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
37;39;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
33;35;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O))))))
45;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
53;57;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
53;57;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
49;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
