unifs_ecceFP;unifs_ecceLN;var0;var1;formula
13;13;_;true;Var (S (O))
9;9;true;_;Var (O)
15;15;_;false;Neg (Var (S (O)))
11;11;false;_;Neg (Var (O))
17;17;_;true;Neg (Neg (Var (S (O))))
13;13;true;_;Neg (Neg (Var (O)))
19;19;_;false;Neg (Neg (Neg (Var (S (O)))))
15;15;false;_;Neg (Neg (Neg (Var (O))))
21;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
23;23;_;false;Neg (Neg (Neg (Neg (Neg (Var (S (O)))))))
19;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
29;29;true;true;Neg (Neg (Neg (Neg (Conj (Var (O), Var (S (O)))))))
25;25;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
31;31;_;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (S (O))))))
27;27;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
27;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
23;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
30;35;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
30;35;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
30;35;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
26;31;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
32;37;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
28;33;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;33;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;32;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;33;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;32;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;33;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
24;29;true;_;Neg (Neg (Disj (Var (O), Var (O))))
29;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
29;29;true;true;Neg (Neg (Conj (Var (S (O)), Neg (Neg (Var (O))))))
41;41;_;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
37;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
37;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
33;33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
29;29;true;true;Neg (Neg (Conj (Var (O), Neg (Neg (Var (S (O)))))))
25;25;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
37;37;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
33;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
33;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
29;29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
35;35;true;false;Neg (Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))))
41;41;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))))
37;37;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
27;27;true;false;Neg (Neg (Conj (Neg (Var (S (O))), Var (O))))
27;27;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
29;29;false;false;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (S (O))))))
25;25;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
39;39;false;true;Neg (Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
33;33;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
29;29;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
27;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
31;31;_;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (S (O))))))
27;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
33;33;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
39;39;_;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
35;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
35;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
38;43;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
38;43;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;39;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
23;23;false;false;Neg (Disj (Var (O), Var (S (O))))
19;19;false;_;Neg (Disj (Var (O), Var (O)))
25;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
27;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
23;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
37;37;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
35;35;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O))))))
35;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
33;33;false;true;Neg (Disj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
38;43;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
34;39;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
34;39;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
34;39;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
34;39;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
30;35;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
36;43;false;false;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
32;39;false;_;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (O))))
25;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
31;31;_;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (S (O)))))
27;27;true;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (O))))
25;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
27;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
23;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
37;37;true;false;Neg (Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O)))))
31;31;false;false;Neg (Disj (Disj (Var (O), Var (O)), Var (S (O))))
27;27;false;_;Neg (Disj (Disj (Var (O), Var (O)), Var (O)))
30;35;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
26;31;true;false;Neg (Conj (Var (S (O)), Var (O)))
26;31;false;true;Neg (Conj (Var (S (O)), Var (O)))
26;31;false;false;Neg (Conj (Var (S (O)), Var (O)))
32;41;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
32;41;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
28;37;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
28;37;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
28;37;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
30;43;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
30;43;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
37;49;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
34;50;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
34;50;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
41;50;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;50;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
34;46;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
37;46;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
37;46;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;31;true;false;Neg (Conj (Var (O), Var (S (O))))
26;31;false;true;Neg (Conj (Var (O), Var (S (O))))
26;31;false;false;Neg (Conj (Var (O), Var (S (O))))
22;27;false;_;Neg (Conj (Var (O), Var (O)))
28;37;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;37;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;37;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
24;33;true;_;Neg (Conj (Var (O), Neg (Var (O))))
24;33;false;_;Neg (Conj (Var (O), Neg (Var (O))))
26;39;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
30;46;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
41;50;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;50;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
37;46;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
37;46;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
37;46;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
37;46;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;46;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;46;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
33;42;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
32;39;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
32;39;_;false;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
28;35;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
28;35;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
28;35;false;false;Neg (Conj (Neg (Var (S (O))), Var (O)))
30;40;true;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
30;40;false;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
28;35;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;35;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;35;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
24;31;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
24;31;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
30;40;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
30;40;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
30;40;false;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
26;36;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
36;48;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
32;44;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
34;47;false;true;Neg (Conj (Disj (Var (O), Var (O)), Var (S (O))))
34;43;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
32;44;true;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
28;33;_;true;Disj (Var (S (O)), Var (S (O)))
24;29;true;true;Disj (Var (S (O)), Var (O))
24;29;true;false;Disj (Var (S (O)), Var (O))
24;28;false;true;Disj (Var (S (O)), Var (O))
30;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
30;39;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
26;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
26;35;false;true;Disj (Var (S (O)), Neg (Var (O)))
26;35;false;false;Disj (Var (S (O)), Neg (Var (O)))
32;45;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
28;41;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
28;41;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
28;40;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
38;53;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
41;54;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
34;49;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
37;50;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
39;51;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
39;52;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
39;51;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
39;51;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
35;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
35;47;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
32;47;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
40;52;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
39;47;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
36;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
39;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
32;44;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
32;44;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
35;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
38;54;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
37;49;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
40;59;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
40;59;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;29;true;true;Disj (Var (O), Var (S (O)))
24;28;true;false;Disj (Var (O), Var (S (O)))
24;29;false;true;Disj (Var (O), Var (S (O)))
20;25;true;_;Disj (Var (O), Var (O))
26;34;true;true;Disj (Var (O), Neg (Var (S (O))))
26;35;true;false;Disj (Var (O), Neg (Var (S (O))))
26;35;false;false;Disj (Var (O), Neg (Var (S (O))))
22;30;true;_;Disj (Var (O), Neg (Var (O)))
22;31;false;_;Disj (Var (O), Neg (Var (O)))
28;41;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
28;40;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
28;41;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
24;37;true;_;Disj (Var (O), Neg (Neg (Var (O))))
34;49;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
37;50;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
37;50;false;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
30;45;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
33;46;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
35;47;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
35;47;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
35;48;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
35;47;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
35;48;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
35;47;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
31;43;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
36;48;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
39;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;48;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
32;44;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
35;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
32;44;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
35;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
28;40;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
34;50;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
33;45;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
36;55;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;37;true;true;Disj (Neg (Var (S (O))), Var (O))
26;37;true;false;Disj (Neg (Var (S (O))), Var (O))
26;37;false;false;Disj (Neg (Var (S (O))), Var (O))
26;37;true;true;Disj (Neg (Var (O)), Var (S (O)))
26;37;false;true;Disj (Neg (Var (O)), Var (S (O)))
26;37;false;false;Disj (Neg (Var (O)), Var (S (O)))
22;33;true;_;Disj (Neg (Var (O)), Var (O))
22;33;false;_;Disj (Neg (Var (O)), Var (O))
24;39;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
32;45;false;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
32;41;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
36;45;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
32;41;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
32;41;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
32;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
28;37;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
34;45;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
34;46;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
30;41;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
32;47;true;_;Disj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
39;53;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
44;58;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
40;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
40;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
36;50;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
44;63;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
25;25;_;true;Conj (Var (S (O)), Var (S (O)))
21;21;true;true;Conj (Var (S (O)), Var (O))
23;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
29;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
27;27;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
29;29;true;true;Conj (Var (S (O)), Neg (Neg (Neg (Neg (Var (O))))))
41;41;_;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
37;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (O)))))
37;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
33;33;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
31;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
37;37;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Neg (Var (S (O))))))
38;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
38;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
34;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
36;43;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (O)), Var (O))))
40;45;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
36;41;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;40;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
38;46;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
38;47;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
36;41;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;41;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
32;37;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
34;42;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
34;43;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
44;53;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
40;49;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
37;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
35;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
41;41;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
37;37;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
49;49;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
47;47;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O)))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
53;53;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
49;49;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
33;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
29;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
37;37;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
33;33;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
44;49;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
40;45;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
53;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
49;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O))))))
53;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
49;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
49;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
49;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
35;35;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
33;33;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
47;47;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
45;45;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
41;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
41;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
37;37;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
49;49;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
45;45;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
21;21;true;true;Conj (Var (O), Var (S (O)))
17;17;true;_;Conj (Var (O), Var (O))
23;23;true;false;Conj (Var (O), Neg (Var (S (O))))
25;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
21;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
27;27;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
29;29;true;true;Conj (Var (O), Neg (Neg (Neg (Neg (Var (S (O)))))))
25;25;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
37;37;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
33;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
33;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
29;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;35;true;false;Conj (Var (O), Neg (Neg (Conj (Var (O), Neg (Var (S (O)))))))
41;41;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))))
37;37;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O))))))
35;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
33;33;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
47;47;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))))
33;33;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
35;35;true;true;Conj (Var (O), Neg (Disj (Neg (Var (O)), Neg (Var (S (O))))))
