unifs;var0;var1;formula
13;_;true;Var (S (O))
9;true;_;Var (O)
15;_;false;Neg (Var (S (O)))
11;false;_;Neg (Var (O))
17;_;true;Neg (Neg (Var (S (O))))
13;true;_;Neg (Neg (Var (O)))
19;_;false;Neg (Neg (Neg (Var (S (O)))))
15;false;_;Neg (Neg (Neg (Var (O))))
21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
23;_;false;Neg (Neg (Neg (Neg (Neg (Var (S (O)))))))
19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
29;true;true;Neg (Neg (Neg (Neg (Conj (Var (O), Var (S (O)))))))
25;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
31;_;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (S (O))))))
27;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
35;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
35;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
35;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
31;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
43;false;_;Neg (Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O)))))
37;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
33;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
33;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
32;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
33;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
32;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
33;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
29;true;_;Neg (Neg (Disj (Var (O), Var (O))))
45;true;true;Neg (Neg (Disj (Conj (Var (O), Var (O)), Var (S (O)))))
44;true;false;Neg (Neg (Disj (Conj (Var (O), Var (O)), Var (S (O)))))
45;false;true;Neg (Neg (Disj (Conj (Var (O), Var (O)), Var (S (O)))))
41;true;_;Neg (Neg (Disj (Conj (Var (O), Var (O)), Var (O))))
29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
29;true;true;Neg (Neg (Conj (Var (S (O)), Neg (Neg (Var (O))))))
41;_;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
29;true;true;Neg (Neg (Conj (Var (O), Neg (Neg (Var (S (O)))))))
25;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
37;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
35;true;false;Neg (Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))))
41;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))))
37;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
27;true;false;Neg (Neg (Conj (Neg (Var (S (O))), Var (O))))
27;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
29;false;false;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (S (O))))))
25;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
39;false;true;Neg (Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
33;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
29;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
31;_;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (S (O))))))
27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
33;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
39;_;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
35;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
43;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
43;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
39;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
51;false;false;Neg (Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
23;false;false;Neg (Disj (Var (O), Var (S (O))))
19;false;_;Neg (Disj (Var (O), Var (O)))
25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
37;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
35;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O))))))
35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
33;false;true;Neg (Disj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
43;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
39;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
39;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
39;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
39;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
35;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
43;false;false;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
39;false;_;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (O))))
55;false;true;Neg (Disj (Var (O), Conj (Disj (Var (O), Var (O)), Var (S (O)))))
55;false;false;Neg (Disj (Var (O), Conj (Disj (Var (O), Var (O)), Var (S (O)))))
51;false;_;Neg (Disj (Var (O), Conj (Disj (Var (O), Var (O)), Var (O))))
51;false;true;Neg (Disj (Var (O), Conj (Conj (Var (S (O)), Var (O)), Var (O))))
51;false;false;Neg (Disj (Var (O), Conj (Conj (Var (S (O)), Var (O)), Var (O))))
51;false;true;Neg (Disj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O))))
51;false;false;Neg (Disj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O))))
51;false;true;Neg (Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
51;false;false;Neg (Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
47;false;_;Neg (Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
31;_;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (S (O)))))
27;true;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (O))))
25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
37;true;false;Neg (Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O)))))
31;false;false;Neg (Disj (Disj (Var (O), Var (O)), Var (S (O))))
27;false;_;Neg (Disj (Disj (Var (O), Var (O)), Var (O)))
35;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
31;true;false;Neg (Conj (Var (S (O)), Var (O)))
31;false;true;Neg (Conj (Var (S (O)), Var (O)))
31;false;false;Neg (Conj (Var (S (O)), Var (O)))
41;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
41;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
37;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
