unifs_ecceLN;unifs_originalFN;var0;var1;formula
13;6;_;true;Var (S (O))
9;4;true;_;Var (O)
15;10;_;false;Neg (Var (S (O)))
11;8;false;_;Neg (Var (O))
17;14;_;true;Neg (Neg (Var (S (O))))
13;12;true;_;Neg (Neg (Var (O)))
19;18;_;false;Neg (Neg (Neg (Var (S (O)))))
15;16;false;_;Neg (Neg (Neg (Var (O))))
21;22;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;20;true;_;Neg (Neg (Neg (Neg (Var (O)))))
23;26;_;false;Neg (Neg (Neg (Neg (Neg (Var (S (O)))))))
19;24;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
29;33;true;true;Neg (Neg (Neg (Neg (Conj (Var (O), Var (S (O)))))))
25;31;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
31;34;_;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (S (O))))))
27;32;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
27;32;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
23;30;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
35;29;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
35;29;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
35;29;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
31;27;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
37;30;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
33;28;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
33;28;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
32;28;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
33;28;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
32;28;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
33;28;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
29;26;true;_;Neg (Neg (Disj (Var (O), Var (O))))
29;27;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;29;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
29;33;true;true;Neg (Neg (Conj (Var (S (O)), Neg (Neg (Var (O))))))
41;40;_;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
37;38;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
37;38;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
33;36;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;23;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;29;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
29;33;true;true;Neg (Neg (Conj (Var (O), Neg (Neg (Var (S (O)))))))
25;31;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
37;38;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
33;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
33;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
29;34;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
35;40;true;false;Neg (Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))))
41;47;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))))
37;45;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
27;29;true;false;Neg (Neg (Conj (Neg (Var (S (O))), Var (O))))
27;29;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
29;33;false;false;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (S (O))))))
25;31;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
39;42;false;true;Neg (Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
33;36;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
29;34;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
27;26;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;24;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;28;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
31;34;_;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (S (O))))))
27;32;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
33;39;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
39;42;_;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
35;40;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
35;40;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
31;38;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
43;37;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
43;37;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
39;35;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
23;24;false;false;Neg (Disj (Var (O), Var (S (O))))
19;22;false;_;Neg (Disj (Var (O), Var (O)))
25;28;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
27;32;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
23;30;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
37;41;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
35;43;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O))))))
35;40;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
31;38;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
31;38;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;36;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
33;42;false;true;Neg (Disj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
43;37;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
39;35;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
39;35;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
39;35;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
39;35;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
35;33;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
43;39;false;false;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
39;37;false;_;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (O))))
25;28;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
31;34;_;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (S (O)))))
27;32;true;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (O))))
25;28;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
27;32;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
23;30;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
37;44;true;false;Neg (Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O)))))
27;36;false;_;Neg (Disj (Disj (Var (O), Var (O)), Var (O)))
35;23;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
31;21;true;false;Neg (Conj (Var (S (O)), Var (O)))
31;21;false;true;Neg (Conj (Var (S (O)), Var (O)))
31;21;false;false;Neg (Conj (Var (S (O)), Var (O)))
41;27;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
41;27;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
37;25;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
37;25;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
37;25;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
43;29;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
43;29;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
50;35;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
50;35;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
54;36;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
50;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
50;34;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
50;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
50;34;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
50;34;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
46;32;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
46;32;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
46;32;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
31;21;true;false;Neg (Conj (Var (O), Var (S (O))))
31;21;false;true;Neg (Conj (Var (O), Var (S (O))))
31;21;false;false;Neg (Conj (Var (O), Var (S (O))))
27;19;false;_;Neg (Conj (Var (O), Var (O)))
37;25;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
37;25;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
37;25;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
33;23;true;_;Neg (Conj (Var (O), Neg (Var (O))))
33;23;false;_;Neg (Conj (Var (O), Neg (Var (O))))
39;27;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
46;33;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
50;34;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
50;34;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
50;34;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
46;32;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
46;32;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
46;32;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
46;32;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
46;32;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
46;32;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;30;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
39;27;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
39;27;_;false;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
35;25;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
35;25;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
35;25;false;false;Neg (Conj (Neg (Var (S (O))), Var (O)))
40;29;true;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
40;29;false;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
35;25;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
35;25;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
35;25;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;23;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
31;23;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
40;29;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
40;29;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
40;29;false;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
36;27;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
48;36;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
44;34;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
44;34;false;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
43;33;false;_;Neg (Conj (Disj (Var (O), Var (O)), Var (O)))
43;32;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
43;32;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
39;30;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
44;34;true;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
33;22;_;true;Disj (Var (S (O)), Var (S (O)))
29;20;true;true;Disj (Var (S (O)), Var (O))
29;20;true;false;Disj (Var (S (O)), Var (O))
28;20;false;true;Disj (Var (S (O)), Var (O))
38;26;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
39;26;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
34;24;true;true;Disj (Var (S (O)), Neg (Var (O)))
35;24;false;true;Disj (Var (S (O)), Neg (Var (O)))
35;24;false;false;Disj (Var (S (O)), Neg (Var (O)))
45;30;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
41;28;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
41;28;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
40;28;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
53;37;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
49;35;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
50;35;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
50;35;false;false;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
52;36;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
52;36;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
51;36;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
47;34;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
47;34;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
47;34;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
52;35;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
48;33;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
47;33;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
48;33;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
47;33;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
44;31;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
44;31;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
43;31;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
54;37;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
53;37;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
49;35;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
49;35;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
