unifs_ecceLP;unifs_originalFP;var0;var1;formula
13;6;_;true;Var (S (O))
9;4;true;_;Var (O)
15;9;_;false;Neg (Var (S (O)))
11;7;false;_;Neg (Var (O))
17;12;_;true;Neg (Neg (Var (S (O))))
13;10;true;_;Neg (Neg (Var (O)))
19;15;_;false;Neg (Neg (Neg (Var (S (O)))))
15;13;false;_;Neg (Neg (Neg (Var (O))))
21;18;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;16;true;_;Neg (Neg (Neg (Neg (Var (O)))))
19;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
27;23;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
23;21;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
32;20;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
32;20;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
32;20;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;18;true;_;Neg (Neg (Disj (Var (O), Var (O))))
29;22;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;20;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;23;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
37;30;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
33;28;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;20;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;18;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;23;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
25;24;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
37;30;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
33;28;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
33;28;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
29;26;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
27;23;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
29;26;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
27;19;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;17;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;20;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
27;23;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
35;27;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
31;25;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
23;17;false;false;Neg (Disj (Var (O), Var (S (O))))
19;15;false;_;Neg (Disj (Var (O), Var (O)))
25;20;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
27;23;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
23;21;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
37;30;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
35;27;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
31;25;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
31;25;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;23;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
38;25;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;25;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
34;23;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
25;20;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
25;20;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
27;23;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
23;21;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
34;19;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;17;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;17;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;17;false;false;Neg (Conj (Var (S (O)), Var (O)))
40;22;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
40;22;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
36;20;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;20;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;20;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
45;25;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;17;true;false;Neg (Conj (Var (O), Var (S (O))))
30;17;false;true;Neg (Conj (Var (O), Var (S (O))))
30;17;false;false;Neg (Conj (Var (O), Var (S (O))))
26;15;false;_;Neg (Conj (Var (O), Var (O)))
36;20;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
36;20;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
36;20;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
32;18;true;_;Neg (Conj (Var (O), Neg (Var (O))))
32;18;false;_;Neg (Conj (Var (O), Neg (Var (O))))
45;25;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
41;23;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
38;22;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
34;20;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
34;20;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
34;20;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
34;20;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
34;20;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
30;18;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
30;18;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
35;21;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
42;25;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
32;16;_;true;Disj (Var (S (O)), Var (S (O)))
28;14;true;true;Disj (Var (S (O)), Var (O))
28;14;true;false;Disj (Var (S (O)), Var (O))
28;14;false;true;Disj (Var (S (O)), Var (O))
38;19;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
38;19;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
34;17;true;true;Disj (Var (S (O)), Neg (Var (O)))
34;17;false;true;Disj (Var (S (O)), Neg (Var (O)))
34;17;false;false;Disj (Var (S (O)), Neg (Var (O)))
47;24;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
43;22;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
43;22;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
43;22;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
51;26;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
47;24;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
47;24;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
47;24;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
43;22;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
43;22;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
43;22;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
28;14;true;true;Disj (Var (O), Var (S (O)))
28;14;true;false;Disj (Var (O), Var (S (O)))
28;14;false;true;Disj (Var (O), Var (S (O)))
24;12;true;_;Disj (Var (O), Var (O))
34;17;true;true;Disj (Var (O), Neg (Var (S (O))))
34;17;true;false;Disj (Var (O), Neg (Var (S (O))))
34;17;false;false;Disj (Var (O), Neg (Var (S (O))))
30;15;true;_;Disj (Var (O), Neg (Var (O)))
30;15;false;_;Disj (Var (O), Neg (Var (O)))
43;22;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
43;22;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
39;20;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
47;24;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
47;24;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
47;24;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
43;22;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
43;22;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
43;22;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
43;22;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
39;20;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
36;19;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
36;19;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
32;17;true;true;Disj (Neg (Var (S (O))), Var (O))
32;17;true;false;Disj (Neg (Var (S (O))), Var (O))
32;17;false;false;Disj (Neg (Var (S (O))), Var (O))
32;17;true;true;Disj (Neg (Var (O)), Var (S (O)))
32;17;false;true;Disj (Neg (Var (O)), Var (S (O)))
32;17;false;false;Disj (Neg (Var (O)), Var (S (O)))
28;15;true;_;Disj (Neg (Var (O)), Var (O))
28;15;false;_;Disj (Neg (Var (O)), Var (O))
37;20;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
37;20;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
37;20;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
33;18;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
45;25;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
41;23;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
44;24;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
40;22;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
40;22;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
40;22;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
36;20;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
45;25;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
41;23;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
53;30;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
53;30;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;28;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
25;16;_;true;Conj (Var (S (O)), Var (S (O)))
21;14;true;true;Conj (Var (S (O)), Var (O))
23;17;false;true;Conj (Var (S (O)), Neg (Var (O)))
29;22;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;20;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
27;23;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
37;30;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
33;28;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
31;25;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
42;27;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
38;25;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
44;26;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
40;24;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;24;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;24;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
40;24;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;22;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
40;25;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
37;26;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;24;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
35;27;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
37;30;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
49;36;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
45;34;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
45;34;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;32;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;24;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
29;22;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
37;30;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
33;28;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
45;34;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
41;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;30;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
49;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;38;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
35;27;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
33;28;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
47;37;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
41;32;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
37;30;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
21;14;true;true;Conj (Var (O), Var (S (O)))
17;12;true;_;Conj (Var (O), Var (O))
23;17;true;false;Conj (Var (O), Neg (Var (S (O))))
25;20;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
21;18;true;_;Conj (Var (O), Neg (Neg (Var (O))))
27;23;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
25;24;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
37;30;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
33;28;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
33;28;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
29;26;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;27;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
33;28;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
33;28;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
42;27;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
