unifs_etalon;unifs_consPDLN;var0;var1;formula
6;5;_;true;Var (S (O))
4;3;true;_;Var (O)
8;6;_;false;Neg (Var (S (O)))
6;4;false;_;Neg (Var (O))
10;7;_;true;Neg (Neg (Var (S (O))))
8;5;true;_;Neg (Neg (Var (O)))
10;6;false;_;Neg (Neg (Neg (Var (O))))
14;9;true;_;Neg (Neg (Disj (Var (O), Var (O))))
16;11;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
16;11;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;9;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;12;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;10;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;10;false;false;Neg (Disj (Var (O), Var (S (O))))
12;8;false;_;Neg (Disj (Var (O), Var (O)))
18;12;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
16;12;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
14;10;true;false;Neg (Conj (Var (S (O)), Var (O)))
14;10;false;true;Neg (Conj (Var (S (O)), Var (O)))
14;10;false;false;Neg (Conj (Var (S (O)), Var (O)))
16;11;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
24;18;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
22;16;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
22;16;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
22;16;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
20;14;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;14;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;14;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;10;true;false;Neg (Conj (Var (O), Var (S (O))))
14;10;false;true;Neg (Conj (Var (O), Var (S (O))))
14;10;false;false;Neg (Conj (Var (O), Var (S (O))))
12;8;false;_;Neg (Conj (Var (O), Var (O)))
16;11;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
16;11;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
14;9;true;_;Neg (Conj (Var (O), Neg (Var (O))))
