unifs_etalon;unifs_ecceFN;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
8;15;_;false;Neg (Var (S (O)))
6;11;false;_;Neg (Var (O))
10;17;_;true;Neg (Neg (Var (S (O))))
8;13;true;_;Neg (Neg (Var (O)))
14;22;true;_;Neg (Neg (Conj (Var (O), Var (O))))
14;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;23;false;false;Neg (Disj (Var (O), Var (S (O))))
12;19;false;_;Neg (Disj (Var (O), Var (O)))
16;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
14;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
14;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
14;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
22;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
22;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
20;37;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;37;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;26;true;false;Neg (Conj (Var (O), Var (S (O))))
14;26;false;true;Neg (Conj (Var (O), Var (S (O))))
14;26;false;false;Neg (Conj (Var (O), Var (S (O))))
12;22;false;_;Neg (Conj (Var (O), Var (O)))
16;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
22;41;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;41;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
20;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;37;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;37;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
18;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
20;35;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
14;35;_;true;Disj (Var (S (O)), Var (S (O)))
12;31;true;true;Disj (Var (S (O)), Var (O))
12;31;true;false;Disj (Var (S (O)), Var (O))
12;30;false;true;Disj (Var (S (O)), Var (O))
16;42;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
16;43;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
14;38;true;true;Disj (Var (S (O)), Neg (Var (O)))
14;39;false;true;Disj (Var (S (O)), Neg (Var (O)))
14;39;false;false;Disj (Var (S (O)), Neg (Var (O)))
20;52;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;48;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
12;31;true;true;Disj (Var (O), Var (S (O)))
12;30;true;false;Disj (Var (O), Var (S (O)))
12;31;false;true;Disj (Var (O), Var (S (O)))
10;27;true;_;Disj (Var (O), Var (O))
14;38;true;true;Disj (Var (O), Neg (Var (S (O))))
14;39;true;false;Disj (Var (O), Neg (Var (S (O))))
14;39;false;false;Disj (Var (O), Neg (Var (S (O))))
12;34;true;_;Disj (Var (O), Neg (Var (O)))
12;35;false;_;Disj (Var (O), Neg (Var (O)))
20;52;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;48;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
16;44;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;47;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
18;43;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
24;56;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
20;47;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;43;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
26;60;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
26;60;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
24;56;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
18;43;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;42;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;42;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
16;39;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
20;47;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;48;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
18;43;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
26;60;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
26;58;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
26;59;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;54;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
24;54;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;52;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
28;61;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
14;26;_;true;Conj (Var (S (O)), Var (S (O)))
12;22;true;true;Conj (Var (S (O)), Var (O))
14;24;false;true;Conj (Var (S (O)), Neg (Var (O)))
20;35;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
20;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;43;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;44;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
26;56;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
24;52;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
22;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;35;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;37;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
30;52;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;53;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
20;35;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;31;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
28;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
32;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
30;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
28;52;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
26;48;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
26;48;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;44;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
30;53;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
12;22;true;true;Conj (Var (O), Var (S (O)))
10;18;true;_;Conj (Var (O), Var (O))
14;24;true;false;Conj (Var (O), Neg (Var (S (O))))
16;26;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;22;true;_;Conj (Var (O), Neg (Neg (Var (O))))
22;39;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
20;35;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;35;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;44;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;40;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
18;40;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
24;57;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
18;40;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
18;39;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
16;36;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
26;55;true;false;Conj (Var (O), Disj (Conj (Var (S (O)), Var (S (O))), Var (O)))
26;56;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (S (O))))
24;52;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (O)))
24;52;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
24;51;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
22;48;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
28;61;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
20;35;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;31;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
28;48;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
32;53;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;40;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;53;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;53;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
30;53;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
18;31;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;27;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;33;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
24;49;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
32;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
30;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
24;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;42;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
32;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
30;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
30;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;45;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
34;54;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
30;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
28;49;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
26;48;true;true;Conj (Var (O), Conj (Conj (Var (S (O)), Var (O)), Var (S (O))))
24;44;true;true;Conj (Var (O), Conj (Conj (Var (S (O)), Var (O)), Var (O)))
26;48;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
24;44;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
30;53;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O))))
24;44;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;40;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
26;46;true;false;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
32;57;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O)))))
30;53;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
30;53;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
28;49;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
34;58;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
14;27;false;true;Conj (Neg (Var (O)), Var (S (O)))
20;39;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
18;35;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
24;44;true;true;Conj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
20;39;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
