unifs_etalon;unifs_ecceFP;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
8;15;_;false;Neg (Var (S (O)))
6;11;false;_;Neg (Var (O))
10;17;_;true;Neg (Neg (Var (S (O))))
8;13;true;_;Neg (Neg (Var (O)))
14;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
14;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;23;false;false;Neg (Disj (Var (O), Var (S (O))))
12;19;false;_;Neg (Disj (Var (O), Var (O)))
16;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
14;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
14;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
14;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
14;26;true;false;Neg (Conj (Var (O), Var (S (O))))
14;26;false;true;Neg (Conj (Var (O), Var (S (O))))
14;26;false;false;Neg (Conj (Var (O), Var (S (O))))
12;22;false;_;Neg (Conj (Var (O), Var (O)))
16;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
18;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
20;34;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
14;28;_;true;Disj (Var (S (O)), Var (S (O)))
12;24;true;true;Disj (Var (S (O)), Var (O))
12;24;true;false;Disj (Var (S (O)), Var (O))
12;24;false;true;Disj (Var (S (O)), Var (O))
16;30;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
16;30;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
14;26;true;true;Disj (Var (S (O)), Neg (Var (O)))
14;26;false;true;Disj (Var (S (O)), Neg (Var (O)))
14;26;false;false;Disj (Var (S (O)), Neg (Var (O)))
20;39;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;39;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;35;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;35;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;32;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;40;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;36;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
26;44;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;36;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
20;39;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;32;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;32;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;35;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
26;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;40;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;40;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
12;24;true;true;Disj (Var (O), Var (S (O)))
12;24;true;false;Disj (Var (O), Var (S (O)))
12;24;false;true;Disj (Var (O), Var (S (O)))
10;20;true;_;Disj (Var (O), Var (O))
14;26;true;true;Disj (Var (O), Neg (Var (S (O))))
14;26;true;false;Disj (Var (O), Neg (Var (S (O))))
14;26;false;false;Disj (Var (O), Neg (Var (S (O))))
12;22;true;_;Disj (Var (O), Neg (Var (O)))
12;22;false;_;Disj (Var (O), Neg (Var (O)))
18;30;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
20;39;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;39;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;35;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;35;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;35;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;35;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;35;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
16;31;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
22;39;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
20;36;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;39;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;36;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;32;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;35;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
28;48;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;40;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;43;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
18;32;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
18;35;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
16;28;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;34;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
22;39;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
26;44;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;40;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
24;40;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;36;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
28;44;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
24;40;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;36;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
20;36;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;32;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
18;32;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;32;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
16;28;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
20;34;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
18;30;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
24;40;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;40;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;36;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
14;25;_;true;Conj (Var (S (O)), Var (S (O)))
12;21;true;true;Conj (Var (S (O)), Var (O))
14;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
20;34;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
22;40;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;36;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;36;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
26;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
20;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;36;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;32;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
26;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;40;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
22;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
30;49;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;49;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
20;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
26;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;40;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
28;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
32;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
30;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
26;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
26;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;37;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
12;21;true;true;Conj (Var (O), Var (S (O)))
10;17;true;_;Conj (Var (O), Var (O))
14;23;true;false;Conj (Var (O), Neg (Var (S (O))))
16;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
22;38;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
20;34;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;34;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;32;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
18;32;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
26;44;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;40;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;40;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
18;32;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
18;32;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
16;28;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
20;34;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
20;34;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
18;30;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
22;39;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
26;44;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;40;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;43;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;40;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;36;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
28;44;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
24;40;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
22;36;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
20;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;29;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
26;44;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;40;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
28;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
32;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;37;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
30;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
18;29;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;25;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;31;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
26;44;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
24;40;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
