unifs_etalon;unifs_ecceLN;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
8;15;_;false;Neg (Var (S (O)))
6;11;false;_;Neg (Var (O))
10;17;_;true;Neg (Neg (Var (S (O))))
8;13;true;_;Neg (Neg (Var (O)))
10;15;false;_;Neg (Neg (Neg (Var (O))))
14;29;true;_;Neg (Neg (Disj (Var (O), Var (O))))
16;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
16;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;23;false;false;Neg (Disj (Var (O), Var (S (O))))
12;19;false;_;Neg (Disj (Var (O), Var (O)))
18;35;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
16;35;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
14;31;true;false;Neg (Conj (Var (S (O)), Var (O)))
14;31;false;true;Neg (Conj (Var (S (O)), Var (O)))
14;31;false;false;Neg (Conj (Var (S (O)), Var (O)))
16;37;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
24;54;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
22;50;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
22;50;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
22;50;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
20;46;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;46;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;46;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;31;true;false;Neg (Conj (Var (O), Var (S (O))))
14;31;false;true;Neg (Conj (Var (O), Var (S (O))))
14;31;false;false;Neg (Conj (Var (O), Var (S (O))))
12;27;false;_;Neg (Conj (Var (O), Var (O)))
16;37;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
16;37;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
14;33;true;_;Neg (Conj (Var (O), Neg (Var (O))))
18;46;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
22;50;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;50;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;50;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
20;46;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;46;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;46;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;46;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;46;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;46;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
18;42;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
20;43;false;false;Neg (Conj (Conj (Var (S (O)), Var (O)), Var (O)))
22;47;false;false;Neg (Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
20;43;false;false;Neg (Conj (Conj (Var (O), Var (S (O))), Var (O)))
26;56;false;false;Neg (Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O))))
20;43;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
20;43;false;true;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
20;43;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
18;39;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
26;56;false;true;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
26;56;false;false;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
26;56;false;false;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
24;52;false;_;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
14;33;_;true;Disj (Var (S (O)), Var (S (O)))
12;29;true;true;Disj (Var (S (O)), Var (O))
12;29;true;false;Disj (Var (S (O)), Var (O))
12;28;false;true;Disj (Var (S (O)), Var (O))
16;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
16;39;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
14;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
14;35;false;true;Disj (Var (S (O)), Neg (Var (O)))
14;35;false;false;Disj (Var (S (O)), Neg (Var (O)))
16;41;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;49;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
20;50;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
20;51;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;52;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;51;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;52;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;51;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;47;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;47;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;52;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
20;47;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
20;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
20;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;44;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;44;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;53;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
26;62;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;59;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;59;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;58;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
12;29;true;true;Disj (Var (O), Var (S (O)))
12;28;true;false;Disj (Var (O), Var (S (O)))
12;29;false;true;Disj (Var (O), Var (S (O)))
10;25;true;_;Disj (Var (O), Var (O))
14;34;true;true;Disj (Var (O), Neg (Var (S (O))))
14;35;true;false;Disj (Var (O), Neg (Var (S (O))))
14;35;false;false;Disj (Var (O), Neg (Var (S (O))))
12;30;true;_;Disj (Var (O), Neg (Var (O)))
12;31;false;_;Disj (Var (O), Neg (Var (O)))
16;41;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
14;37;true;_;Disj (Var (O), Neg (Neg (Var (O))))
20;49;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;50;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
18;45;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
18;46;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
18;47;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;47;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;48;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;47;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;48;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;47;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
16;43;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
20;48;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;48;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;44;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;44;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
18;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
16;40;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;49;true;true;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;50;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
18;45;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
22;55;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
14;37;false;true;Disj (Neg (Var (O)), Var (S (O)))
12;33;false;_;Disj (Neg (Var (O)), Var (O))
20;48;true;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
18;44;true;true;Disj (Disj (Var (O), Var (S (O))), Var (O))
18;44;true;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
18;43;true;false;Disj (Disj (Var (O), Var (O)), Var (S (O)))
16;40;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
20;49;true;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
24;60;true;true;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
22;56;true;_;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (O)))
26;61;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
26;60;true;false;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;57;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;57;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;53;true;_;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
20;45;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
20;45;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
18;41;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
20;45;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;41;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
18;41;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
20;45;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
18;41;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;41;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
16;37;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
20;45;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;46;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;46;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
18;41;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
18;42;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
24;57;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;57;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;58;false;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;57;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
24;58;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
22;53;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
26;58;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
26;57;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
26;58;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
24;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;50;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
26;59;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
30;67;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;63;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
14;25;_;true;Conj (Var (S (O)), Var (S (O)))
12;21;true;true;Conj (Var (S (O)), Var (O))
14;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
18;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
16;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
22;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
22;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
20;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
26;51;false;true;Conj (Var (S (O)), Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
22;45;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;41;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;40;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
22;47;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
20;41;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;41;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;37;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
20;42;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
24;52;true;true;Conj (Var (S (O)), Disj (Disj (Var (O), Var (O)), Var (O)))
28;57;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (S (O))), Var (S (O))))
26;53;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (S (O))), Var (O)))
26;53;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
26;53;false;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
24;49;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
22;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
