unifs_etalon;unifs_ecceLP;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
8;15;_;false;Neg (Var (S (O)))
6;11;false;_;Neg (Var (O))
10;17;_;true;Neg (Neg (Var (S (O))))
8;13;true;_;Neg (Neg (Var (O)))
10;15;false;_;Neg (Neg (Neg (Var (O))))
14;28;true;_;Neg (Neg (Disj (Var (O), Var (O))))
16;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
16;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;23;false;false;Neg (Disj (Var (O), Var (S (O))))
12;19;false;_;Neg (Disj (Var (O), Var (O)))
18;34;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
16;34;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
14;30;true;false;Neg (Conj (Var (S (O)), Var (O)))
14;30;false;true;Neg (Conj (Var (S (O)), Var (O)))
14;30;false;false;Neg (Conj (Var (S (O)), Var (O)))
16;36;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
24;53;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
22;49;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
22;49;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
22;49;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
20;45;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;45;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;45;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;30;true;false;Neg (Conj (Var (O), Var (S (O))))
14;30;false;true;Neg (Conj (Var (O), Var (S (O))))
14;30;false;false;Neg (Conj (Var (O), Var (S (O))))
12;26;false;_;Neg (Conj (Var (O), Var (O)))
16;36;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
16;36;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
14;32;true;_;Neg (Conj (Var (O), Neg (Var (O))))
18;41;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
22;49;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;49;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;49;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
20;45;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;45;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;45;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;45;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;45;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;45;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
18;41;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
20;42;false;false;Neg (Conj (Conj (Var (S (O)), Var (O)), Var (O)))
22;46;false;false;Neg (Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
20;42;false;false;Neg (Conj (Conj (Var (O), Var (S (O))), Var (O)))
20;42;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
20;42;false;true;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
20;42;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
18;38;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
26;55;false;true;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
26;55;false;false;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
26;55;false;false;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
24;51;false;_;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
14;32;_;true;Disj (Var (S (O)), Var (S (O)))
12;28;true;true;Disj (Var (S (O)), Var (O))
12;28;true;false;Disj (Var (S (O)), Var (O))
12;28;false;true;Disj (Var (S (O)), Var (O))
16;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
16;38;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
14;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
14;34;false;true;Disj (Var (S (O)), Neg (Var (O)))
14;34;false;false;Disj (Var (S (O)), Neg (Var (O)))
16;40;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;49;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
20;49;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
22;51;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;47;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;47;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;47;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;47;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;43;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;43;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;43;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;51;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;47;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
20;47;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
20;47;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
20;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;43;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;43;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;53;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
26;62;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;58;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;58;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;58;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
12;28;true;true;Disj (Var (O), Var (S (O)))
12;28;true;false;Disj (Var (O), Var (S (O)))
12;28;false;true;Disj (Var (O), Var (S (O)))
10;24;true;_;Disj (Var (O), Var (O))
14;34;true;true;Disj (Var (O), Neg (Var (S (O))))
14;34;true;false;Disj (Var (O), Neg (Var (S (O))))
14;34;false;false;Disj (Var (O), Neg (Var (S (O))))
12;30;true;_;Disj (Var (O), Neg (Var (O)))
12;30;false;_;Disj (Var (O), Neg (Var (O)))
16;40;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
14;36;true;_;Disj (Var (O), Neg (Neg (Var (O))))
20;49;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;49;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
18;45;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
18;45;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
20;47;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;47;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;47;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;43;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;43;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;43;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;43;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;43;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;43;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
16;39;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
20;47;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;47;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;43;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;43;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
18;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
16;39;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;49;true;true;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;49;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
18;45;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
24;58;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;54;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
14;32;false;true;Disj (Neg (Var (O)), Var (S (O)))
12;28;false;_;Disj (Neg (Var (O)), Var (O))
20;44;true;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
18;40;true;true;Disj (Disj (Var (O), Var (S (O))), Var (O))
18;40;true;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
18;40;true;false;Disj (Disj (Var (O), Var (O)), Var (S (O)))
16;36;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
20;45;true;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
24;53;true;true;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
22;49;true;_;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (O)))
26;57;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
26;57;true;false;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;53;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;53;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;49;true;_;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
20;44;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
20;44;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
18;40;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
24;53;true;true;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
26;57;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (O)))
26;57;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
24;53;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
20;44;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;40;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
18;40;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
22;49;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (S (O))))
20;45;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
26;57;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
24;53;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
28;61;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
26;57;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
26;57;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
24;53;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
18;40;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;40;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
16;36;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
20;45;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;45;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;45;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
18;41;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
18;41;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
26;57;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
26;57;false;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
24;53;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;53;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;53;false;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;53;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
24;53;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
22;49;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
26;57;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
26;57;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
26;57;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;53;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;53;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
24;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;49;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
26;58;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
30;66;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;62;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
14;25;_;true;Conj (Var (S (O)), Var (S (O)))
12;21;true;true;Conj (Var (S (O)), Var (O))
14;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
18;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
16;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
22;42;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
22;42;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
20;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
