unifs_etalon;unifs_originalFN;var0;var1;formula
6;6;_;true;Var (S (O))
4;4;true;_;Var (O)
8;10;_;false;Neg (Var (S (O)))
6;8;false;_;Neg (Var (O))
10;14;_;true;Neg (Neg (Var (S (O))))
8;12;true;_;Neg (Neg (Var (O)))
10;16;false;_;Neg (Neg (Neg (Var (O))))
14;26;true;_;Neg (Neg (Disj (Var (O), Var (O))))
16;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
16;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;23;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;26;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;24;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;24;false;false;Neg (Disj (Var (O), Var (S (O))))
12;22;false;_;Neg (Disj (Var (O), Var (O)))
18;33;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
16;23;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
14;21;true;false;Neg (Conj (Var (S (O)), Var (O)))
14;21;false;true;Neg (Conj (Var (S (O)), Var (O)))
14;21;false;false;Neg (Conj (Var (S (O)), Var (O)))
16;25;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
24;36;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
22;34;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
22;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
22;34;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
20;32;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;32;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;32;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;21;true;false;Neg (Conj (Var (O), Var (S (O))))
14;21;false;true;Neg (Conj (Var (O), Var (S (O))))
14;21;false;false;Neg (Conj (Var (O), Var (S (O))))
12;19;false;_;Neg (Conj (Var (O), Var (O)))
16;25;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
16;25;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
14;23;true;_;Neg (Conj (Var (O), Neg (Var (O))))
18;33;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
22;34;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;34;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;34;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
20;32;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;32;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;32;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;32;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;32;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;32;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
18;30;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
24;41;false;_;Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
20;32;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
20;32;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
18;30;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
14;22;_;true;Disj (Var (S (O)), Var (S (O)))
12;20;true;true;Disj (Var (S (O)), Var (O))
12;20;true;false;Disj (Var (S (O)), Var (O))
12;20;false;true;Disj (Var (S (O)), Var (O))
16;26;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
16;26;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
14;24;true;true;Disj (Var (S (O)), Neg (Var (O)))
14;24;false;true;Disj (Var (S (O)), Neg (Var (O)))
14;24;false;false;Disj (Var (S (O)), Neg (Var (O)))
16;28;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;35;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
20;35;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
20;36;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;36;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;36;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;34;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;34;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;34;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;35;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;33;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
20;33;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;37;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
26;44;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;33;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
20;33;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;31;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;31;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;31;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;37;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
26;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;42;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;42;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;42;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;42;true;false;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
12;20;true;true;Disj (Var (O), Var (S (O)))
12;20;true;false;Disj (Var (O), Var (S (O)))
12;20;false;true;Disj (Var (O), Var (S (O)))
10;18;true;_;Disj (Var (O), Var (O))
14;24;true;true;Disj (Var (O), Neg (Var (S (O))))
14;24;true;false;Disj (Var (O), Neg (Var (S (O))))
14;24;false;false;Disj (Var (O), Neg (Var (S (O))))
12;22;true;_;Disj (Var (O), Neg (Var (O)))
12;22;false;_;Disj (Var (O), Neg (Var (O)))
16;28;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
14;26;true;_;Disj (Var (O), Neg (Neg (Var (O))))
18;36;true;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
22;37;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
20;35;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;35;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;35;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;35;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
18;33;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
18;33;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
20;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;36;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;34;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;34;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;34;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;34;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;34;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;34;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
16;32;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
18;36;true;_;Disj (Var (O), Disj (Var (O), Neg (Var (O))))
20;33;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;33;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;33;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;31;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;31;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
20;35;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
20;35;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
26;47;false;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
28;46;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;46;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;44;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;44;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;42;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;42;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
18;31;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
18;31;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
16;29;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;35;true;true;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;35;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
18;33;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
24;45;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
26;44;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;42;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
24;42;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;40;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;46;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
28;51;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
20;35;true;false;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
20;35;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
28;46;false;true;Disj (Var (O), Conj (Conj (Var (S (O)), Var (S (O))), Var (S (O))))
24;42;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;42;true;false;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;40;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
14;24;false;true;Disj (Neg (Var (O)), Var (S (O)))
12;22;false;_;Disj (Neg (Var (O)), Var (O))
20;33;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;31;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
20;35;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
18;31;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;31;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;31;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
16;29;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
20;35;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;35;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
18;33;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
18;33;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
26;44;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;42;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;42;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;42;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
24;42;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
