unifs_etalon;unifs_originalLP;var0;var1;formula
6;9;_;true;Var (S (O))
4;6;true;_;Var (O)
8;14;_;false;Neg (Var (S (O)))
6;11;false;_;Neg (Var (O))
10;19;_;true;Neg (Neg (Var (S (O))))
8;16;true;_;Neg (Neg (Var (O)))
10;21;false;_;Neg (Neg (Neg (Var (O))))
14;28;true;_;Neg (Neg (Disj (Var (O), Var (O))))
16;31;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
16;31;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;28;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;29;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;26;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;26;false;false;Neg (Disj (Var (O), Var (S (O))))
12;23;false;_;Neg (Disj (Var (O), Var (O)))
18;35;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
16;29;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
14;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
14;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
14;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
16;31;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
24;44;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
22;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
22;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
22;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
20;38;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;38;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;38;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;50;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
14;26;true;false;Neg (Conj (Var (O), Var (S (O))))
14;26;false;true;Neg (Conj (Var (O), Var (S (O))))
14;26;false;false;Neg (Conj (Var (O), Var (S (O))))
12;23;false;_;Neg (Conj (Var (O), Var (O)))
16;31;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
16;31;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
14;28;true;_;Neg (Conj (Var (O), Neg (Var (O))))
18;35;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
22;41;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
