unifs_originalFN;unifs_ecceFN;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
10;15;_;false;Neg (Var (S (O)))
8;11;false;_;Neg (Var (O))
14;17;_;true;Neg (Neg (Var (S (O))))
12;13;true;_;Neg (Neg (Var (O)))
18;19;_;false;Neg (Neg (Neg (Var (S (O)))))
16;15;false;_;Neg (Neg (Neg (Var (O))))
22;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
20;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
24;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
31;26;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
32;27;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
32;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
30;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
29;30;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
29;30;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
29;30;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
27;26;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
28;35;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
27;30;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;26;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
29;28;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
38;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
38;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
36;35;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;26;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
23;22;true;_;Neg (Neg (Conj (Var (O), Var (O))))
29;28;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
31;26;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
38;39;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
36;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
36;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
34;31;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
45;40;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
29;31;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
31;29;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
36;39;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
34;35;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
26;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
24;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
28;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
32;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
39;34;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
40;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
40;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
38;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
37;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
37;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
35;34;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;23;false;false;Neg (Disj (Var (O), Var (S (O))))
22;19;false;_;Neg (Disj (Var (O), Var (O)))
28;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
32;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
30;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
41;38;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
40;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
38;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
38;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
36;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
37;38;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
35;34;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
35;34;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
35;34;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
35;34;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
33;30;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
39;36;false;true;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
28;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
32;27;true;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (O))))
28;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
32;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
30;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
23;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
21;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
21;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
21;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
27;32;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
27;32;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
25;28;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
25;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
25;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
29;30;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
36;37;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
37;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
37;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
35;34;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
35;34;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
34;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
32;35;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;37;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;37;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
21;26;true;false;Neg (Conj (Var (O), Var (S (O))))
21;26;false;true;Neg (Conj (Var (O), Var (S (O))))
21;26;false;false;Neg (Conj (Var (O), Var (S (O))))
19;22;false;_;Neg (Conj (Var (O), Var (O)))
25;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
25;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
25;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
23;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
23;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
29;30;true;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
29;30;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
29;30;false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
27;26;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
38;41;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
34;33;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
37;38;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
37;38;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
35;34;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
35;34;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
33;30;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
34;41;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
34;39;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
34;41;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
32;37;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;37;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
36;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
32;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
32;37;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
30;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
36;39;false;true;Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
36;40;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
25;28;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
25;28;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
29;30;true;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
25;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
25;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
25;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
23;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
23;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
29;30;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
27;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
32;35;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;35;_;true;Disj (Var (S (O)), Var (S (O)))
20;31;true;true;Disj (Var (S (O)), Var (O))
20;31;true;false;Disj (Var (S (O)), Var (O))
20;30;false;true;Disj (Var (S (O)), Var (O))
26;42;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
26;43;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
24;38;true;true;Disj (Var (S (O)), Neg (Var (O)))
24;39;false;true;Disj (Var (S (O)), Neg (Var (O)))
24;39;false;false;Disj (Var (S (O)), Neg (Var (O)))
33;52;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
31;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
31;48;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
20;31;true;true;Disj (Var (O), Var (S (O)))
20;30;true;false;Disj (Var (O), Var (S (O)))
20;31;false;true;Disj (Var (O), Var (S (O)))
18;27;true;_;Disj (Var (O), Var (O))
24;38;true;true;Disj (Var (O), Neg (Var (S (O))))
24;39;true;false;Disj (Var (O), Neg (Var (S (O))))
24;39;false;false;Disj (Var (O), Neg (Var (S (O))))
22;34;true;_;Disj (Var (O), Neg (Var (O)))
22;35;false;_;Disj (Var (O), Neg (Var (O)))
33;52;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
31;48;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
29;44;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
26;45;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
24;41;true;true;Disj (Neg (Var (S (O))), Var (O))
24;41;true;false;Disj (Neg (Var (S (O))), Var (O))
24;40;false;false;Disj (Neg (Var (S (O))), Var (O))
24;41;true;true;Disj (Neg (Var (O)), Var (S (O)))
22;37;true;_;Disj (Neg (Var (O)), Var (O))
22;36;false;_;Disj (Neg (Var (O)), Var (O))
31;43;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
31;42;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
29;39;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
35;47;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;43;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
19;26;_;true;Conj (Var (S (O)), Var (S (O)))
17;22;true;true;Conj (Var (S (O)), Var (O))
21;24;false;true;Conj (Var (S (O)), Neg (Var (O)))
27;30;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;26;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
29;28;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
38;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (O)))))
38;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
36;35;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
35;32;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
41;38;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Neg (Var (S (O))))))
34;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
34;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
32;35;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
38;41;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (S (O))))))
33;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
33;43;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
33;44;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
31;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
32;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
30;35;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
34;37;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
38;39;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
45;52;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
43;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
43;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
52;53;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
30;35;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
28;31;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
