unifs;var0;var1;formula
6;_;true;Var (S (O))
4;true;_;Var (O)
9;_;false;Neg (Var (S (O)))
7;false;_;Neg (Var (O))
12;_;true;Neg (Neg (Var (S (O))))
10;true;_;Neg (Neg (Var (O)))
15;_;false;Neg (Neg (Neg (Var (S (O)))))
13;false;_;Neg (Neg (Neg (Var (O))))
18;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
16;true;_;Neg (Neg (Neg (Neg (Var (O)))))
21;_;false;Neg (Neg (Neg (Neg (Neg (Var (S (O)))))))
19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
26;true;true;Neg (Neg (Neg (Neg (Conj (Var (S (O)), Var (O))))))
26;true;true;Neg (Neg (Neg (Neg (Conj (Var (O), Var (S (O)))))))
24;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
25;_;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (S (O))))))
23;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
23;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
21;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
26;false;true;Neg (Neg (Neg (Disj (Var (O), Neg (Var (S (O)))))))
23;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
23;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
23;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
23;true;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
23;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
23;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
21;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
24;false;_;Neg (Neg (Neg (Conj (Var (O), Neg (Var (O))))))
22;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
20;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
23;false;true;Neg (Neg (Disj (Var (S (O)), Neg (Var (O)))))
28;true;true;Neg (Neg (Disj (Var (S (O)), Conj (Var (O), Var (O)))))
20;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
20;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
20;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
18;true;_;Neg (Neg (Disj (Var (O), Var (O))))
23;true;false;Neg (Neg (Disj (Var (O), Neg (Var (S (O))))))
21;true;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
21;false;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
28;true;true;Neg (Neg (Disj (Var (O), Conj (Var (S (O)), Var (O)))))
28;true;true;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (S (O))))))
26;true;_;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
23;false;true;Neg (Neg (Disj (Neg (Var (O)), Var (S (O)))))
22;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
20;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
23;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
26;true;true;Neg (Neg (Conj (Var (S (O)), Neg (Neg (Var (O))))))
28;true;true;Neg (Neg (Conj (Var (S (O)), Disj (Var (O), Var (O)))))
32;_;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
30;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
30;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
28;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
36;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))))
20;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
18;true;_;Neg (Neg (Conj (Var (O), Var (O))))
23;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
26;true;true;Neg (Neg (Conj (Var (O), Neg (Neg (Var (S (O)))))))
24;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
31;true;false;Neg (Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))))
28;true;true;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
28;true;false;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
28;true;true;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (S (O))))))
26;true;_;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
30;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
28;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))))
28;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
26;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
31;true;false;Neg (Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))))
36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))))
36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))))
34;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
34;true;_;Neg (Neg (Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))))
23;true;false;Neg (Neg (Conj (Neg (Var (S (O))), Var (O))))
23;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
26;false;false;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (S (O))))))
24;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
33;false;true;Neg (Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
28;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
26;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
34;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))))
19;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
17;false;false;Neg (Disj (Var (S (O)), Var (O)))
20;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
25;_;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (S (O))))))
23;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
28;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
29;_;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
27;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
27;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
25;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
