unifs_originalFP;unifs_ecceFN;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
9;15;_;false;Neg (Var (S (O)))
7;11;false;_;Neg (Var (O))
12;17;_;true;Neg (Neg (Var (S (O))))
10;13;true;_;Neg (Neg (Var (O)))
15;19;_;false;Neg (Neg (Neg (Var (S (O)))))
13;15;false;_;Neg (Neg (Neg (Var (O))))
18;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
16;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
19;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
24;26;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
23;27;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
23;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
21;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
23;30;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
21;26;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
20;35;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
22;30;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
20;26;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
23;28;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
30;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
30;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
28;35;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
20;26;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
18;22;true;_;Neg (Neg (Conj (Var (O), Var (O))))
23;28;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
24;26;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
30;39;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
28;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
28;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
26;31;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
34;40;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
23;31;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
24;29;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
28;39;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
26;35;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
19;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
17;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
20;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
23;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
28;34;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
27;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
27;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
25;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
25;34;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
17;23;false;false;Neg (Disj (Var (O), Var (S (O))))
15;19;false;_;Neg (Disj (Var (O), Var (O)))
20;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
23;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
21;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
30;38;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
27;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
25;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
25;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
23;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
25;34;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
25;34;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
25;34;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
25;34;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
23;30;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
20;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
20;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
23;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
21;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
19;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
17;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
17;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
17;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
22;32;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
22;32;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
20;28;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
20;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
20;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
25;34;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
25;34;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
25;35;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
17;26;true;false;Neg (Conj (Var (O), Var (S (O))))
17;26;false;true;Neg (Conj (Var (O), Var (S (O))))
17;26;false;false;Neg (Conj (Var (O), Var (S (O))))
15;22;false;_;Neg (Conj (Var (O), Var (O)))
20;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
18;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
18;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
23;30;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
21;26;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
26;33;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
27;38;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
25;34;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
25;34;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
23;30;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
27;39;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
25;37;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
25;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
28;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
25;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
23;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
28;40;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
22;32;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
20;28;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
20;28;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
20;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
20;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
20;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
18;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
18;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
23;30;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
21;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
26;33;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
25;35;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
16;35;_;true;Disj (Var (S (O)), Var (S (O)))
14;31;true;true;Disj (Var (S (O)), Var (O))
14;31;true;false;Disj (Var (S (O)), Var (O))
14;30;false;true;Disj (Var (S (O)), Var (O))
19;42;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
19;43;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
17;38;true;true;Disj (Var (S (O)), Neg (Var (O)))
17;39;false;true;Disj (Var (S (O)), Neg (Var (O)))
17;39;false;false;Disj (Var (S (O)), Neg (Var (O)))
24;52;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
22;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;48;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
14;31;true;true;Disj (Var (O), Var (S (O)))
14;30;true;false;Disj (Var (O), Var (S (O)))
14;31;false;true;Disj (Var (O), Var (S (O)))
12;27;true;_;Disj (Var (O), Var (O))
17;38;true;true;Disj (Var (O), Neg (Var (S (O))))
17;39;true;false;Disj (Var (O), Neg (Var (S (O))))
17;39;false;false;Disj (Var (O), Neg (Var (S (O))))
15;34;true;_;Disj (Var (O), Neg (Var (O)))
15;35;false;_;Disj (Var (O), Neg (Var (O)))
24;52;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
22;48;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
20;44;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
19;45;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
17;41;true;true;Disj (Neg (Var (S (O))), Var (O))
17;41;true;false;Disj (Neg (Var (S (O))), Var (O))
17;40;false;false;Disj (Neg (Var (S (O))), Var (O))
17;41;true;true;Disj (Neg (Var (O)), Var (S (O)))
15;37;true;_;Disj (Neg (Var (O)), Var (O))
15;36;false;_;Disj (Neg (Var (O)), Var (O))
24;47;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
22;43;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
22;43;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
22;42;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
20;39;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
25;48;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
23;43;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
30;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
30;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
28;52;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
16;26;_;true;Conj (Var (S (O)), Var (S (O)))
14;22;true;true;Conj (Var (S (O)), Var (O))
17;24;false;true;Conj (Var (S (O)), Neg (Var (O)))
22;30;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
20;26;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
23;28;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
30;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (O)))))
30;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
28;35;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
25;32;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
27;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
27;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
25;35;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
24;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;43;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;44;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
22;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
26;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
24;35;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
27;37;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
30;39;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
36;52;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
34;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
32;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
40;53;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
24;35;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
22;31;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
30;39;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
28;35;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
34;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
32;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
40;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
32;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
30;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
40;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
40;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
38;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
38;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
27;40;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
28;38;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
37;53;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
32;48;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
32;48;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
30;44;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
