unifs_originalFP;unifs_originalLN;var0;var1;formula
6;6;_;true;Var (S (O))
4;4;true;_;Var (O)
9;10;_;false;Neg (Var (S (O)))
7;8;false;_;Neg (Var (O))
12;14;_;true;Neg (Neg (Var (S (O))))
10;12;true;_;Neg (Neg (Var (O)))
15;18;_;false;Neg (Neg (Neg (Var (S (O)))))
13;16;false;_;Neg (Neg (Neg (Var (O))))
18;22;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
16;20;true;_;Neg (Neg (Neg (Neg (Var (O)))))
21;26;_;false;Neg (Neg (Neg (Neg (Neg (Var (S (O)))))))
19;24;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
24;31;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
23;32;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
23;32;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
21;30;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
23;29;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
23;29;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
23;29;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
23;29;true;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
23;29;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
23;29;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
21;27;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
24;31;false;_;Neg (Neg (Neg (Conj (Var (O), Neg (Var (O))))))
22;30;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
20;28;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;28;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;28;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
23;32;false;true;Neg (Neg (Disj (Var (S (O)), Neg (Var (O)))))
20;28;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
20;28;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
20;28;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
18;26;true;_;Neg (Neg (Disj (Var (O), Var (O))))
23;32;true;false;Neg (Neg (Disj (Var (O), Neg (Var (S (O))))))
21;30;true;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
21;30;false;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
28;39;true;true;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (S (O))))))
26;37;true;_;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
23;32;false;true;Neg (Neg (Disj (Neg (Var (O)), Var (S (O)))))
22;27;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
20;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
23;29;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
30;38;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
28;36;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
20;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
18;23;true;_;Neg (Neg (Conj (Var (O), Var (O))))
23;29;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
24;31;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
28;39;true;true;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (S (O))))))
26;37;true;_;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
30;38;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
28;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
28;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
26;34;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
23;29;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
26;33;false;false;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (S (O))))))
24;31;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
19;26;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
17;24;false;false;Neg (Disj (Var (S (O)), Var (O)))
20;28;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
23;32;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
28;39;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
27;40;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
25;38;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
27;37;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
27;37;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
27;37;true;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
27;37;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
25;35;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
28;39;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Neg (Var (O)))))
17;24;false;false;Neg (Disj (Var (O), Var (S (O))))
15;22;false;_;Neg (Disj (Var (O), Var (O)))
20;28;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
23;32;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
21;30;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
27;40;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
25;38;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
25;38;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
23;36;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
27;37;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
25;35;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
25;35;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
28;39;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
25;35;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
25;35;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
23;33;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
28;39;false;true;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
28;39;false;false;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
26;37;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
28;39;false;false;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
26;37;false;_;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (O))))
20;28;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
21;30;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
19;23;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
17;21;true;false;Neg (Conj (Var (S (O)), Var (O)))
17;21;false;true;Neg (Conj (Var (S (O)), Var (O)))
17;21;false;false;Neg (Conj (Var (S (O)), Var (O)))
22;27;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
22;27;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
20;25;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
20;25;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
20;25;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
23;29;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
23;29;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
23;29;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
28;39;false;false;Neg (Conj (Var (S (O)), Neg (Disj (Var (O), Var (O)))))
28;36;true;true;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
28;36;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
27;37;false;false;Neg (Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
27;37;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
25;35;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
25;35;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
25;35;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
27;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
27;34;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
25;32;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
25;32;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
25;32;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;38;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (S (O))))))
33;43;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
17;21;true;false;Neg (Conj (Var (O), Var (S (O))))
17;21;false;true;Neg (Conj (Var (O), Var (S (O))))
17;21;false;false;Neg (Conj (Var (O), Var (S (O))))
15;19;false;_;Neg (Conj (Var (O), Var (O)))
20;25;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;25;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;25;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
18;23;true;_;Neg (Conj (Var (O), Neg (Var (O))))
18;23;false;_;Neg (Conj (Var (O), Neg (Var (O))))
23;29;true;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
23;29;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
23;29;false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
21;27;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
24;31;false;_;Neg (Conj (Var (O), Neg (Neg (Neg (Var (O))))))
28;39;false;false;Neg (Conj (Var (O), Neg (Disj (Var (S (O)), Var (O)))))
28;39;false;false;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (S (O))))))
26;37;false;_;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (O)))))
30;38;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
28;36;true;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
28;36;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
28;36;true;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
28;36;false;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
26;34;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
26;34;false;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
27;37;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
27;37;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
27;37;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
25;35;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
25;35;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
28;39;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Neg (Var (O)))))
28;39;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Neg (Var (O)))))
25;35;false;true;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
25;35;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
23;33;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
28;39;false;true;Neg (Conj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
28;39;false;true;Neg (Conj (Var (O), Disj (Neg (Var (O)), Var (S (O)))))
27;34;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
27;34;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
25;32;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
25;32;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
25;32;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
