unifs;var0;var1;formula
6;_;true;Var (S (O))
4;true;_;Var (O)
10;_;false;Neg (Var (S (O)))
8;false;_;Neg (Var (O))
14;_;true;Neg (Neg (Var (S (O))))
12;true;_;Neg (Neg (Var (O)))
18;_;false;Neg (Neg (Neg (Var (S (O)))))
16;false;_;Neg (Neg (Neg (Var (O))))
22;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
20;true;_;Neg (Neg (Neg (Neg (Var (O)))))
30;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
29;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
29;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
29;true;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
29;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
29;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
27;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
30;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
28;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
26;true;_;Neg (Neg (Disj (Var (O), Var (O))))
30;true;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
30;false;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
27;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
29;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
36;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
23;true;_;Neg (Neg (Conj (Var (O), Var (O))))
29;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
34;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
29;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
26;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
24;false;false;Neg (Disj (Var (S (O)), Var (O)))
28;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
37;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
37;true;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
37;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
35;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;false;false;Neg (Disj (Var (O), Var (S (O))))
22;false;_;Neg (Disj (Var (O), Var (O)))
28;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
30;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
38;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
36;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
37;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
35;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
35;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
35;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
35;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
33;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
37;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
28;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
23;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
21;true;false;Neg (Conj (Var (S (O)), Var (O)))
21;false;true;Neg (Conj (Var (S (O)), Var (O)))
21;false;false;Neg (Conj (Var (S (O)), Var (O)))
27;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
27;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
25;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
25;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
25;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
29;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
29;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
29;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
36;true;true;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
36;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
36;false;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
37;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
37;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
35;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
35;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
35;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
36;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
34;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;false;true;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
34;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
34;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
32;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
36;true;true;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (O)))))
36;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (O)))))
36;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (O)))))
36;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (O)))))
21;true;false;Neg (Conj (Var (O), Var (S (O))))
21;false;true;Neg (Conj (Var (O), Var (S (O))))
21;false;false;Neg (Conj (Var (O), Var (S (O))))
19;false;_;Neg (Conj (Var (O), Var (O)))
25;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
25;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
25;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
23;true;_;Neg (Conj (Var (O), Neg (Var (O))))
23;false;_;Neg (Conj (Var (O), Neg (Var (O))))
29;true;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
