unifs_originalLP;unifs_ecceLN;var0;var1;formula
9;13;_;true;Var (S (O))
6;9;true;_;Var (O)
14;15;_;false;Neg (Var (S (O)))
11;11;false;_;Neg (Var (O))
19;17;_;true;Neg (Neg (Var (S (O))))
16;13;true;_;Neg (Neg (Var (O)))
24;19;_;false;Neg (Neg (Neg (Var (S (O)))))
21;15;false;_;Neg (Neg (Neg (Var (O))))
29;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
26;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
31;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
38;25;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
36;27;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
36;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
33;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
36;35;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
36;35;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
36;35;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
33;31;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
34;37;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
31;33;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;33;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;32;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;33;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
31;32;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
31;33;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;29;true;_;Neg (Neg (Disj (Var (O), Var (O))))
34;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
31;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
36;27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
46;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
46;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
43;33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
31;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
28;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
36;27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
38;25;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
46;37;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
43;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
43;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
40;29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
36;27;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
40;29;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
29;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
26;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
31;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
36;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
43;33;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
41;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
38;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
41;43;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;43;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
38;39;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
26;23;false;false;Neg (Disj (Var (O), Var (S (O))))
23;19;false;_;Neg (Disj (Var (O), Var (O)))
31;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
36;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
