unifs_originalLP;unifs_originalFN;var0;var1;formula
9;6;_;true;Var (S (O))
6;4;true;_;Var (O)
14;10;_;false;Neg (Var (S (O)))
11;8;false;_;Neg (Var (O))
19;14;_;true;Neg (Neg (Var (S (O))))
16;12;true;_;Neg (Neg (Var (O)))
24;18;_;false;Neg (Neg (Neg (Var (S (O)))))
21;16;false;_;Neg (Neg (Neg (Var (O))))
29;22;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
26;20;true;_;Neg (Neg (Neg (Neg (Var (O)))))
31;24;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
38;31;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
36;32;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
36;32;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
33;30;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
39;31;_;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
36;29;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
36;29;false;true;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
36;29;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
36;29;true;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
36;29;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
36;29;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
33;27;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
34;30;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
31;28;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;28;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;28;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
36;32;true;true;Neg (Neg (Disj (Var (S (O)), Neg (Var (O)))))
31;28;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
31;28;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
31;28;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;26;true;_;Neg (Neg (Disj (Var (O), Var (O))))
36;32;true;true;Neg (Neg (Disj (Var (O), Neg (Var (S (O))))))
36;32;true;false;Neg (Neg (Disj (Var (O), Neg (Var (S (O))))))
33;30;true;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
33;30;false;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
40;37;true;_;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
34;27;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
31;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
36;29;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
46;38;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
46;38;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
43;36;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
31;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
28;23;true;_;Neg (Neg (Conj (Var (O), Var (O))))
36;29;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
38;31;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
43;39;true;false;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
43;39;true;false;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (S (O))))))
40;37;true;_;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
46;38;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
43;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
43;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
40;34;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
36;29;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
40;34;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
29;26;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
26;24;false;false;Neg (Disj (Var (S (O)), Var (O)))
31;28;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
