unifs_originalLP;unifs_originalFP;var0;var1;formula
9;6;_;true;Var (S (O))
6;4;true;_;Var (O)
14;9;_;false;Neg (Var (S (O)))
11;7;false;_;Neg (Var (O))
19;12;_;true;Neg (Neg (Var (S (O))))
16;10;true;_;Neg (Neg (Var (O)))
24;15;_;false;Neg (Neg (Neg (Var (S (O)))))
21;13;false;_;Neg (Neg (Neg (Var (O))))
29;18;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
26;16;true;_;Neg (Neg (Neg (Neg (Var (O)))))
33;21;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
36;23;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
36;23;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
33;21;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
34;22;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
31;20;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;20;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;20;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;20;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
31;20;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
31;20;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;18;true;_;Neg (Neg (Disj (Var (O), Var (O))))
40;26;true;_;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
34;22;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
31;20;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
36;23;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
43;28;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
31;20;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
28;18;true;_;Neg (Neg (Conj (Var (O), Var (O))))
36;23;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
40;26;true;_;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
43;28;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
43;28;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
40;26;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
29;19;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
26;17;false;false;Neg (Disj (Var (S (O)), Var (O)))
31;20;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
38;25;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
38;25;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
26;17;false;false;Neg (Disj (Var (O), Var (S (O))))
23;15;false;_;Neg (Disj (Var (O), Var (O)))
31;20;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
33;21;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
38;25;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
35;23;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
38;25;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;25;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;25;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
38;25;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
35;23;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
40;26;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
31;20;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
29;19;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
26;17;true;false;Neg (Conj (Var (S (O)), Var (O)))
26;17;false;true;Neg (Conj (Var (S (O)), Var (O)))
26;17;false;false;Neg (Conj (Var (S (O)), Var (O)))
34;22;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
34;22;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
31;20;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;20;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;20;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;23;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
