unifs_original;unifs_etalon;var0;var1;formula
9;6;_;true;Var (S (O))
6;4;true;_;Var (O)
14;8;_;false;Neg (Var (S (O)))
11;6;false;_;Neg (Var (O))
19;10;_;true;Neg (Neg (Var (S (O))))
16;8;true;_;Neg (Neg (Var (O)))
28;14;true;_;Neg (Neg (Conj (Var (O), Var (O))))
26;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
26;14;false;false;Neg (Disj (Var (O), Var (S (O))))
23;12;false;_;Neg (Disj (Var (O), Var (O)))
29;16;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
26;14;true;false;Neg (Conj (Var (S (O)), Var (O)))
26;14;false;true;Neg (Conj (Var (S (O)), Var (O)))
26;14;false;false;Neg (Conj (Var (S (O)), Var (O)))
41;22;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;22;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
38;20;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;20;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;14;true;false;Neg (Conj (Var (O), Var (S (O))))
26;14;false;true;Neg (Conj (Var (O), Var (S (O))))
26;14;false;false;Neg (Conj (Var (O), Var (S (O))))
23;12;false;_;Neg (Conj (Var (O), Var (O)))
31;16;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
41;22;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;22;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;20;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;20;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;20;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
38;20;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
35;18;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
47;24;false;_;Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
38;20;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
35;18;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
24;14;_;true;Disj (Var (S (O)), Var (S (O)))
21;12;true;true;Disj (Var (S (O)), Var (O))
21;12;true;false;Disj (Var (S (O)), Var (O))
21;12;false;true;Disj (Var (S (O)), Var (O))
29;16;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
29;16;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
26;14;true;true;Disj (Var (S (O)), Neg (Var (O)))
26;14;false;true;Disj (Var (S (O)), Neg (Var (O)))
26;14;false;false;Disj (Var (S (O)), Neg (Var (O)))
38;20;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
39;22;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
36;20;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;20;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;20;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;20;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;20;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;18;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;18;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;18;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
45;24;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
39;22;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;20;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
36;20;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
36;20;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
36;20;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;18;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;18;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;18;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
45;24;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
