unifs_original;unifs_perfect;var0;var1;formula
9;6;_;true;Var (S (O))
6;4;true;_;Var (O)
14;8;_;false;Neg (Var (S (O)))
11;6;false;_;Neg (Var (O))
19;10;_;true;Neg (Neg (Var (S (O))))
16;8;true;_;Neg (Neg (Var (O)))
21;10;false;_;Neg (Neg (Neg (Var (O))))
31;16;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
28;14;true;_;Neg (Neg (Conj (Var (O), Var (O))))
29;16;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
26;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
26;14;false;false;Neg (Disj (Var (O), Var (S (O))))
23;12;false;_;Neg (Disj (Var (O), Var (O)))
24;14;_;true;Conj (Var (S (O)), Var (S (O)))
21;12;true;true;Conj (Var (S (O)), Var (O))
26;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
31;16;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
39;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;22;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
51;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
48;26;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
36;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
51;28;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
48;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
48;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;24;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
21;12;true;true;Conj (Var (O), Var (S (O)))
18;10;true;_;Conj (Var (O), Var (O))
26;14;true;false;Conj (Var (O), Neg (Var (S (O))))
31;16;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
28;14;true;_;Conj (Var (O), Neg (Neg (Var (O))))
36;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
51;28;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
48;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
48;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;24;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;18;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
30;16;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
38;20;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
48;26;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;22;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
57;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
54;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
45;24;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;22;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
33;18;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
30;16;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
38;20;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
45;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
45;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
42;22;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
