unifs;var0;var1;formula
6;_;true;Var (S (O))
4;true;_;Var (O)
8;_;false;Neg (Var (S (O)))
6;false;_;Neg (Var (O))
10;_;true;Neg (Neg (Var (S (O))))
8;true;_;Neg (Neg (Var (O)))
10;false;_;Neg (Neg (Neg (Var (O))))
10;true;_;Neg (Neg (Disj (_.2054, Var (O))))
12;_;true;Neg (Neg (Disj (Var (S (O)), _.1136)))
10;true;_;Neg (Neg (Disj (Var (O), _.1136)))
16;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;false;false;Neg (Disj (Var (S (O)), Var (O)))
16;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), _.17486)))
14;false;false;Neg (Disj (Var (O), Var (S (O))))
12;false;_;Neg (Disj (Var (O), Var (O)))
14;false;_;Neg (Disj (Var (O), Conj (_.7946, Var (O))))
16;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), _.7492)))
14;false;_;Neg (Disj (Var (O), Conj (Var (O), _.7492)))
16;false;_;Neg (Disj (Var (O), Conj (Conj (Var (O), _.8153), _.7492)))
14;false;_;Neg (Disj (Conj (Var (O), _.445), Var (O)))
10;_;false;Neg (Conj (_.126, Var (S (O))))
8;false;_;Neg (Conj (_.126, Var (O)))
12;_;true;Neg (Conj (_.126, Neg (Var (S (O)))))
10;true;_;Neg (Conj (_.126, Neg (Var (O))))
14;false;_;Neg (Conj (_.126, Disj (Var (O), Var (O))))
12;_;false;Neg (Conj (_.126, Conj (_.432, Var (S (O)))))
10;false;_;Neg (Conj (_.126, Conj (_.432, Var (O))))
12;false;_;Neg (Conj (_.126, Conj (_.432, Conj (_.1170, Var (O)))))
14;_;false;Neg (Conj (_.126, Conj (_.432, Conj (Var (S (O)), _.700))))
12;false;_;Neg (Conj (_.126, Conj (_.432, Conj (Var (O), _.700))))
14;false;_;Neg (Conj (_.126, Conj (_.432, Conj (Conj (Var (O), _.1407), _.700))))
12;_;false;Neg (Conj (_.126, Conj (Var (S (O)), _.275)))
10;false;_;Neg (Conj (_.126, Conj (Var (O), _.275)))
12;true;_;Neg (Conj (_.126, Conj (Neg (Var (O)), _.275)))
14;_;false;Neg (Conj (_.126, Conj (Conj (_.686, Var (S (O))), _.275)))
12;false;_;Neg (Conj (_.126, Conj (Conj (_.686, Var (O)), _.275)))
14;false;_;Neg (Conj (_.126, Conj (Conj (_.686, Conj (Var (O), _.1359)), _.275)))
14;_;false;Neg (Conj (_.126, Conj (Conj (Var (S (O)), _.451), _.275)))
12;false;_;Neg (Conj (_.126, Conj (Conj (Var (O), _.451), _.275)))
14;false;_;Neg (Conj (_.126, Conj (Conj (Conj (_.1236, Var (O)), _.451), _.275)))
16;_;false;Neg (Conj (_.126, Conj (Conj (Conj (Var (S (O)), _.737), _.451), _.275)))
14;false;_;Neg (Conj (_.126, Conj (Conj (Conj (Var (O), _.737), _.451), _.275)))
16;false;_;Neg (Conj (_.126, Conj (Conj (Conj (Conj (Var (O), _.1458), _.737), _.451), _.275)))
10;_;false;Neg (Conj (Var (S (O)), _.79))
8;false;_;Neg (Conj (Var (O), _.79))
12;_;true;Neg (Conj (Neg (Var (S (O))), _.79))
10;true;_;Neg (Conj (Neg (Var (O)), _.79))
12;true;_;Neg (Conj (Neg (Disj (Var (O), _.2168)), _.79))
16;true;_;Neg (Conj (Neg (Conj (Var (O), Var (O))), _.79))
16;false;false;Neg (Conj (Disj (Var (O), Var (S (O))), _.79))
14;false;_;Neg (Conj (Disj (Var (O), Var (O)), _.79))
16;false;_;Neg (Conj (Disj (Var (O), Conj (Var (O), _.14834)), _.79))
12;_;false;Neg (Conj (Conj (_.258, Var (S (O))), _.79))
10;false;_;Neg (Conj (Conj (_.258, Var (O)), _.79))
12;true;_;Neg (Conj (Conj (_.258, Neg (Var (O))), _.79))
14;_;false;Neg (Conj (Conj (_.258, Conj (_.680, Var (S (O)))), _.79))
12;false;_;Neg (Conj (Conj (_.258, Conj (_.680, Var (O))), _.79))
14;false;_;Neg (Conj (Conj (_.258, Conj (_.680, Conj (Var (O), _.1343))), _.79))
14;_;false;Neg (Conj (Conj (_.258, Conj (Var (S (O)), _.448)), _.79))
12;false;_;Neg (Conj (Conj (_.258, Conj (Var (O), _.448)), _.79))
14;false;_;Neg (Conj (Conj (_.258, Conj (Conj (_.1218, Var (O)), _.448)), _.79))
16;_;false;Neg (Conj (Conj (_.258, Conj (Conj (Var (S (O)), _.728), _.448)), _.79))
14;false;_;Neg (Conj (Conj (_.258, Conj (Conj (Var (O), _.728), _.448)), _.79))
16;false;_;Neg (Conj (Conj (_.258, Conj (Conj (Conj (Var (O), _.1443), _.728), _.448)), _.79))
12;_;false;Neg (Conj (Conj (Var (S (O)), _.170), _.79))
10;false;_;Neg (Conj (Conj (Var (O), _.170), _.79))
14;_;true;Neg (Conj (Conj (Neg (Var (S (O))), _.170), _.79))
12;true;_;Neg (Conj (Conj (Neg (Var (O)), _.170), _.79))
16;false;_;Neg (Conj (Conj (Disj (Var (O), Var (O)), _.170), _.79))
14;_;false;Neg (Conj (Conj (Conj (_.441, Var (S (O))), _.170), _.79))
12;false;_;Neg (Conj (Conj (Conj (_.441, Var (O)), _.170), _.79))
14;false;_;Neg (Conj (Conj (Conj (_.441, Conj (_.1179, Var (O))), _.170), _.79))
16;_;false;Neg (Conj (Conj (Conj (_.441, Conj (Var (S (O)), _.710)), _.170), _.79))
14;false;_;Neg (Conj (Conj (Conj (_.441, Conj (Var (O), _.710)), _.170), _.79))
16;false;_;Neg (Conj (Conj (Conj (_.441, Conj (Conj (Var (O), _.1419), _.710)), _.170), _.79))
14;_;false;Neg (Conj (Conj (Conj (Var (S (O)), _.293), _.170), _.79))
12;false;_;Neg (Conj (Conj (Conj (Var (O), _.293), _.170), _.79))
14;true;_;Neg (Conj (Conj (Conj (Neg (Var (O)), _.293), _.170), _.79))
16;_;false;Neg (Conj (Conj (Conj (Conj (_.692, Var (S (O))), _.293), _.170), _.79))
14;false;_;Neg (Conj (Conj (Conj (Conj (_.692, Var (O)), _.293), _.170), _.79))
16;false;_;Neg (Conj (Conj (Conj (Conj (_.692, Conj (Var (O), _.1371)), _.293), _.170), _.79))
16;_;false;Neg (Conj (Conj (Conj (Conj (Var (S (O)), _.454), _.293), _.170), _.79))
14;false;_;Neg (Conj (Conj (Conj (Conj (Var (O), _.454), _.293), _.170), _.79))
16;false;_;Neg (Conj (Conj (Conj (Conj (Conj (_.1247, Var (O)), _.454), _.293), _.170), _.79))
18;_;false;Neg (Conj (Conj (Conj (Conj (Conj (Var (S (O)), _.746), _.454), _.293), _.170), _.79))
16;false;_;Neg (Conj (Conj (Conj (Conj (Conj (Var (O), _.746), _.454), _.293), _.170), _.79))
18;false;_;Neg (Conj (Conj (Conj (Conj (Conj (Conj (Var (O), _.1472), _.746), _.454), _.293), _.170), _.79))
8;_;true;Disj (_.23, Var (S (O)))
6;true;_;Disj (_.23, Var (O))
