unifs_perfect;unifs_ecceFN;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
8;15;_;false;Neg (Var (S (O)))
6;11;false;_;Neg (Var (O))
10;17;_;true;Neg (Neg (Var (S (O))))
8;13;true;_;Neg (Neg (Var (O)))
12;19;_;false;Neg (Neg (Neg (Var (S (O)))))
10;15;false;_;Neg (Neg (Neg (Var (O))))
18;30;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
16;26;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
16;26;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;22;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;23;false;false;Neg (Disj (Var (O), Var (S (O))))
12;19;false;_;Neg (Disj (Var (O), Var (O)))
14;26;_;true;Conj (Var (S (O)), Var (S (O)))
12;22;true;true;Conj (Var (S (O)), Var (O))
14;24;false;true;Conj (Var (S (O)), Neg (Var (O)))
18;30;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
16;26;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
20;32;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
22;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;35;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;37;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
30;52;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;35;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;31;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
28;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
32;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
26;48;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;44;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
12;22;true;true;Conj (Var (O), Var (S (O)))
10;18;true;_;Conj (Var (O), Var (O))
14;24;true;false;Conj (Var (O), Neg (Var (S (O))))
16;26;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;22;true;_;Conj (Var (O), Neg (Neg (Var (O))))
20;31;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
22;36;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
20;35;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;31;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
28;48;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;40;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;53;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
18;31;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;27;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;33;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;31;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
26;44;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
30;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
24;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;42;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
32;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
30;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
30;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;45;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
28;49;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
24;44;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;40;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
30;53;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
28;49;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
14;27;false;true;Conj (Neg (Var (O)), Var (S (O)))
20;39;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;35;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
18;35;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
16;31;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
20;37;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
26;48;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;40;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
30;53;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;49;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
