unifs_perfect;unifs_ecceFP;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
8;15;_;false;Neg (Var (S (O)))
6;11;false;_;Neg (Var (O))
10;17;_;true;Neg (Neg (Var (S (O))))
8;13;true;_;Neg (Neg (Var (O)))
12;19;_;false;Neg (Neg (Neg (Var (S (O)))))
10;15;false;_;Neg (Neg (Neg (Var (O))))
18;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
16;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
16;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;23;false;false;Neg (Disj (Var (O), Var (S (O))))
12;19;false;_;Neg (Disj (Var (O), Var (O)))
14;25;_;true;Conj (Var (S (O)), Var (S (O)))
12;21;true;true;Conj (Var (S (O)), Var (O))
14;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
18;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
16;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
20;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
22;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
30;49;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
28;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
32;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;37;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
12;21;true;true;Conj (Var (O), Var (S (O)))
10;17;true;_;Conj (Var (O), Var (O))
14;23;true;false;Conj (Var (O), Neg (Var (S (O))))
16;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
20;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
22;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
20;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;29;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
28;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;37;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
18;29;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;25;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;31;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;29;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
30;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
24;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;33;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;39;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
32;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
30;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
30;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;41;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
28;41;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
24;37;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;33;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
30;45;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
28;41;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
14;23;false;true;Conj (Neg (Var (O)), Var (S (O)))
20;33;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;29;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
18;29;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
16;25;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
20;31;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
26;41;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;33;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
30;45;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;41;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
