unifs_perfect;unifs_etalon;var0;var1;formula
6;6;_;true;Var (S (O))
4;4;true;_;Var (O)
8;8;_;false;Neg (Var (S (O)))
6;6;false;_;Neg (Var (O))
10;10;_;true;Neg (Neg (Var (S (O))))
8;8;true;_;Neg (Neg (Var (O)))
14;14;true;_;Neg (Neg (Conj (Var (O), Var (O))))
14;14;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;14;false;false;Neg (Disj (Var (O), Var (S (O))))
12;12;false;_;Neg (Disj (Var (O), Var (O)))
14;14;_;true;Conj (Var (S (O)), Var (S (O)))
12;12;true;true;Conj (Var (S (O)), Var (O))
14;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
22;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;22;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
28;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;26;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
28;28;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;24;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;24;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
12;12;true;true;Conj (Var (O), Var (S (O)))
10;10;true;_;Conj (Var (O), Var (O))
14;14;true;false;Conj (Var (O), Neg (Var (S (O))))
16;16;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;14;true;_;Conj (Var (O), Neg (Neg (Var (O))))
20;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
28;28;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;24;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
18;18;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;16;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;20;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
26;26;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
24;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;22;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
30;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
24;24;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;22;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
20;20;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;18;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
18;18;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
16;16;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
20;20;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
26;26;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;22;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
