unifs_perfect;unifs_originalFN;var0;var1;formula
6;6;_;true;Var (S (O))
4;4;true;_;Var (O)
8;10;_;false;Neg (Var (S (O)))
6;8;false;_;Neg (Var (O))
10;14;_;true;Neg (Neg (Var (S (O))))
8;12;true;_;Neg (Neg (Var (O)))
12;18;_;false;Neg (Neg (Neg (Var (S (O)))))
10;16;false;_;Neg (Neg (Neg (Var (O))))
18;27;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
16;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
16;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;23;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;26;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;24;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;24;false;false;Neg (Disj (Var (O), Var (S (O))))
12;22;false;_;Neg (Disj (Var (O), Var (O)))
14;19;_;true;Conj (Var (S (O)), Var (S (O)))
12;17;true;true;Conj (Var (S (O)), Var (O))
14;21;false;true;Conj (Var (S (O)), Neg (Var (O)))
18;27;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
16;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
20;35;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
22;32;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;30;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;34;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
30;45;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;43;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;43;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;30;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;28;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
28;43;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;39;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
32;52;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;50;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;39;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
12;17;true;true;Conj (Var (O), Var (S (O)))
10;15;true;_;Conj (Var (O), Var (O))
14;21;true;false;Conj (Var (O), Neg (Var (S (O))))
16;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;23;true;_;Conj (Var (O), Neg (Neg (Var (O))))
20;34;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
22;37;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
20;30;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;28;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
28;43;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;39;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;52;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;50;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
18;28;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;26;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;32;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;34;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;52;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
30;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
24;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;37;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;43;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
32;52;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
30;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
30;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;48;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
28;48;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
24;39;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;37;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
30;50;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
28;48;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
14;21;false;true;Conj (Neg (Var (O)), Var (S (O)))
20;30;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;28;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
18;28;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
16;26;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
20;32;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
26;41;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;39;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;39;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;37;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
30;50;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;48;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
