unifs_perfect;unifs_originalLP;var0;var1;formula
6;9;_;true;Var (S (O))
4;6;true;_;Var (O)
8;14;_;false;Neg (Var (S (O)))
6;11;false;_;Neg (Var (O))
10;19;_;true;Neg (Neg (Var (S (O))))
8;16;true;_;Neg (Neg (Var (O)))
10;21;false;_;Neg (Neg (Neg (Var (O))))
16;31;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
14;28;true;_;Neg (Neg (Conj (Var (O), Var (O))))
16;29;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
14;26;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;26;false;false;Neg (Disj (Var (O), Var (S (O))))
12;23;false;_;Neg (Disj (Var (O), Var (O)))
14;24;_;true;Conj (Var (S (O)), Var (S (O)))
12;21;true;true;Conj (Var (S (O)), Var (O))
14;26;false;true;Conj (Var (S (O)), Neg (Var (O)))
16;31;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
22;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;36;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;41;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
28;51;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;36;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
28;51;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
12;21;true;true;Conj (Var (O), Var (S (O)))
10;18;true;_;Conj (Var (O), Var (O))
14;26;true;false;Conj (Var (O), Neg (Var (S (O))))
16;31;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;28;true;_;Conj (Var (O), Neg (Neg (Var (O))))
20;36;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
28;51;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;48;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;48;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
18;33;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;30;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;38;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
26;48;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
24;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;42;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
30;57;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;54;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
24;45;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;42;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
18;33;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
16;30;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
20;38;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
24;45;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;45;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;42;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
