unifs_consPDLN;unifs_originalLN;var0;var1;formula
5;6;_;true;Var (S (O))
3;4;true;_;Var (O)
6;10;_;false;Neg (Var (S (O)))
4;8;false;_;Neg (Var (O))
7;14;_;true;Neg (Neg (Var (S (O))))
5;12;true;_;Neg (Neg (Var (O)))
8;18;_;false;Neg (Neg (Neg (Var (S (O)))))
6;16;false;_;Neg (Neg (Neg (Var (O))))
9;22;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
7;20;true;_;Neg (Neg (Neg (Neg (Var (O)))))
10;30;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
12;29;false;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
12;29;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
10;27;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
11;28;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;28;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;28;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
11;28;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;28;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;28;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
9;26;true;_;Neg (Neg (Disj (Var (O), Var (O))))
10;30;false;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
13;27;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
11;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
12;29;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
15;36;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
11;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
9;23;true;_;Neg (Neg (Conj (Var (O), Var (O))))
12;29;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
15;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
13;34;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
12;29;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
12;26;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
10;24;false;false;Neg (Disj (Var (S (O)), Var (O)))
