unifs_ecceFP;unifs_consPDFN;var0;var1;formula
13;5;_;true;Var (S (O))
9;3;true;_;Var (O)
15;6;_;false;Neg (Var (S (O)))
11;4;false;_;Neg (Var (O))
17;7;_;true;Neg (Neg (Var (S (O))))
13;5;true;_;Neg (Neg (Var (O)))
19;8;_;false;Neg (Neg (Neg (Var (S (O)))))
15;6;false;_;Neg (Neg (Neg (Var (O))))
21;9;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;7;true;_;Neg (Neg (Neg (Neg (Var (O)))))
19;8;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
25;11;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
27;12;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
27;12;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
23;10;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
26;10;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
28;11;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;11;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;11;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;11;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;11;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;11;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
24;9;true;_;Neg (Neg (Disj (Var (O), Var (O))))
29;13;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;11;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;12;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
37;17;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
37;17;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
33;15;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;11;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;9;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;12;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
25;11;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
