unifs_ecceLN;unifs_ecceFN;var0;var1;formula
13;13;_;true;Var (S (O))
9;9;true;_;Var (O)
15;15;_;false;Neg (Var (S (O)))
11;11;false;_;Neg (Var (O))
17;17;_;true;Neg (Neg (Var (S (O))))
13;13;true;_;Neg (Neg (Var (O)))
19;19;_;false;Neg (Neg (Neg (Var (S (O)))))
15;15;false;_;Neg (Neg (Neg (Var (O))))
21;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
19;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
25;26;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
27;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
23;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
33;35;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
29;30;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;26;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;28;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
37;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
33;35;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;26;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;22;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;28;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
25;26;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
37;39;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
33;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
33;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
29;31;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
27;31;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
33;39;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
29;35;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
27;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
27;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
33;34;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
35;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
23;23;false;false;Neg (Disj (Var (O), Var (S (O))))
19;19;false;_;Neg (Disj (Var (O), Var (O)))
25;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
27;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
23;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
37;38;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
35;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
39;34;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
39;34;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
35;30;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
25;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
25;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
27;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
23;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
35;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
31;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
31;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
31;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
41;32;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
41;32;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
37;28;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
37;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
37;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
50;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
50;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
46;35;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
46;37;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
46;37;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
31;26;true;false;Neg (Conj (Var (O), Var (S (O))))
31;26;false;true;Neg (Conj (Var (O), Var (S (O))))
31;26;false;false;Neg (Conj (Var (O), Var (S (O))))
27;22;false;_;Neg (Conj (Var (O), Var (O)))
37;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
37;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
37;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
33;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
33;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
46;37;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
46;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
46;37;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
39;32;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
35;28;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
35;28;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
35;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
35;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
35;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
31;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
36;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
43;30;false;_;Neg (Conj (Disj (Var (O), Var (O)), Var (O)))
43;35;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
33;35;_;true;Disj (Var (S (O)), Var (S (O)))
29;31;true;true;Disj (Var (S (O)), Var (O))
29;31;true;false;Disj (Var (S (O)), Var (O))
28;30;false;true;Disj (Var (S (O)), Var (O))
38;42;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
39;43;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
34;38;true;true;Disj (Var (S (O)), Neg (Var (O)))
35;39;false;true;Disj (Var (S (O)), Neg (Var (O)))
35;39;false;false;Disj (Var (S (O)), Neg (Var (O)))
48;52;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
44;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
44;48;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
29;31;true;true;Disj (Var (O), Var (S (O)))
28;30;true;false;Disj (Var (O), Var (S (O)))
29;31;false;true;Disj (Var (O), Var (S (O)))
25;27;true;_;Disj (Var (O), Var (O))
34;38;true;true;Disj (Var (O), Neg (Var (S (O))))
35;39;true;false;Disj (Var (O), Neg (Var (S (O))))
35;39;false;false;Disj (Var (O), Neg (Var (S (O))))
30;34;true;_;Disj (Var (O), Neg (Var (O)))
31;35;false;_;Disj (Var (O), Neg (Var (O)))
48;52;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
44;48;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
40;44;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
33;37;true;_;Disj (Neg (Var (O)), Var (O))
33;36;false;_;Disj (Neg (Var (O)), Var (O))
49;52;false;true;Disj (Neg (Conj (Var (O), Var (O))), Var (S (O)))
45;47;false;_;Disj (Neg (Conj (Var (O), Var (O))), Var (O))
45;50;false;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
50;55;false;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
46;51;false;_;Disj (Disj (Var (O), Var (O)), Neg (Var (O)))
49;51;_;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (S (O)))
45;47;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
44;46;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
45;47;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
41;43;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
50;51;false;false;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (S (O))))
46;47;false;false;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (O)))
45;47;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
45;46;false;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
41;43;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
41;42;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
50;51;false;false;Disj (Conj (Var (O), Var (S (O))), Neg (Var (S (O))))
46;47;false;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
46;47;false;false;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
41;43;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
40;42;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
41;42;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
37;39;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
45;47;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
46;48;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
46;47;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
41;43;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
42;43;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
47;46;true;_;Disj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
58;60;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
57;58;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
58;59;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
54;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
53;54;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
54;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
53;54;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
50;52;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
25;26;_;true;Conj (Var (S (O)), Var (S (O)))
21;22;true;true;Conj (Var (S (O)), Var (O))
23;24;false;true;Conj (Var (S (O)), Neg (Var (O)))
29;30;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;26;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
27;28;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
37;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
33;35;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
31;32;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
43;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
39;35;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
41;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;43;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;44;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
37;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
53;56;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
53;55;false;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
49;52;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
37;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;35;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
35;37;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
37;39;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
49;52;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
45;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
45;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;35;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
29;31;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
37;39;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
33;35;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
45;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
49;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
35;40;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
33;38;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
47;53;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
41;48;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
41;48;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
37;44;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
21;22;true;true;Conj (Var (O), Var (S (O)))
17;18;true;_;Conj (Var (O), Var (O))
23;24;true;false;Conj (Var (O), Neg (Var (S (O))))
25;26;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
21;22;true;_;Conj (Var (O), Neg (Neg (Var (O))))
27;28;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
25;26;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
37;39;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
33;35;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
33;35;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
29;31;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;36;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
33;34;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
33;34;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
43;39;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
39;35;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
39;35;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
43;37;true;true;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
43;37;true;false;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
39;33;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
41;44;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
37;40;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
37;40;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
37;40;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
36;39;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
33;36;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
53;55;true;false;Conj (Var (O), Disj (Conj (Var (S (O)), Var (S (O))), Var (O)))
49;51;true;false;Conj (Var (O), Disj (Conj (Var (S (O)), Var (O)), Var (O)))
53;56;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (S (O))))
49;52;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (O)))
49;51;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (O)))
49;52;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
48;51;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
45;48;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
54;57;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
49;52;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Neg (Var (O))))
58;61;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
33;35;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
29;31;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
37;39;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
33;35;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
45;48;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
37;40;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
49;53;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
29;31;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
25;27;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
31;33;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
33;35;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
29;31;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
37;40;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O))))))
43;45;true;false;Conj (Var (O), Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O))))))
45;49;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
41;44;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
37;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
49;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
45;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
37;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
33;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
39;42;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
37;40;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O))))))
49;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
45;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
45;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
41;45;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
39;45;true;false;Conj (Var (O), Conj (Var (O), Conj (Neg (Var (S (O))), Var (O))))
45;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
41;49;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
31;36;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Var (O)))
37;42;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Neg (Var (S (O)))))
39;45;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
41;48;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
37;44;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
37;44;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
33;40;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
39;46;true;false;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
37;44;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O)))))
49;57;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O)))))
45;53;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
45;53;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
41;49;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
23;27;true;false;Conj (Neg (Var (S (O))), Var (O))
29;33;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
25;29;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
27;31;true;false;Conj (Neg (Var (S (O))), Neg (Neg (Var (O))))
31;36;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
23;27;false;true;Conj (Neg (Var (O)), Var (S (O)))
25;29;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
21;25;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
27;31;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
25;29;false;_;Conj (Neg (Var (O)), Neg (Neg (Neg (Var (O)))))
33;37;false;false;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (S (O)))))
29;33;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
51;56;false;true;Conj (Neg (Var (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
35;40;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;38;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
47;53;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
45;51;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O)))))
33;41;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
35;43;false;false;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (S (O)))))
31;39;false;_;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (O))))
45;54;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
33;39;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
29;35;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
33;39;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
29;35;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
41;48;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
37;44;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
29;35;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
25;31;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
31;37;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;39;true;true;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (S (O)))))
29;35;true;_;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
41;48;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
37;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
37;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
33;40;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
39;46;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
45;53;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
41;49;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
