unifs_ecceLP;unifs_ecceFN;var0;var1;formula
13;13;_;true;Var (S (O))
9;9;true;_;Var (O)
15;15;_;false;Neg (Var (S (O)))
11;11;false;_;Neg (Var (O))
17;17;_;true;Neg (Neg (Var (S (O))))
13;13;true;_;Neg (Neg (Var (O)))
19;19;_;false;Neg (Neg (Neg (Var (S (O)))))
15;15;false;_;Neg (Neg (Neg (Var (O))))
21;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
19;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
27;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
23;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
32;35;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
29;30;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;26;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;28;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
37;39;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
33;35;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;26;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;22;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;28;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
25;26;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
37;39;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
33;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
33;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
29;31;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
27;31;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
29;35;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
27;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
27;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
35;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
23;23;false;false;Neg (Disj (Var (O), Var (S (O))))
19;19;false;_;Neg (Disj (Var (O), Var (O)))
25;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
27;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
23;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
37;38;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
35;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
38;34;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;34;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
34;30;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
25;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
25;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
27;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
23;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
34;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
40;32;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
40;32;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
36;28;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
49;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
49;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;35;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;37;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;37;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;26;true;false;Neg (Conj (Var (O), Var (S (O))))
30;26;false;true;Neg (Conj (Var (O), Var (S (O))))
30;26;false;false;Neg (Conj (Var (O), Var (S (O))))
26;22;false;_;Neg (Conj (Var (O), Var (O)))
36;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
36;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
36;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
32;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
32;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
45;37;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;37;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
41;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
38;32;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
34;28;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
34;28;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
34;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
34;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
34;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
30;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
30;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
35;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
38;30;false;_;Neg (Conj (Disj (Var (O), Var (O)), Var (O)))
42;35;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
32;35;_;true;Disj (Var (S (O)), Var (S (O)))
28;31;true;true;Disj (Var (S (O)), Var (O))
28;31;true;false;Disj (Var (S (O)), Var (O))
28;30;false;true;Disj (Var (S (O)), Var (O))
38;42;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
38;43;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
34;38;true;true;Disj (Var (S (O)), Neg (Var (O)))
34;39;false;true;Disj (Var (S (O)), Neg (Var (O)))
34;39;false;false;Disj (Var (S (O)), Neg (Var (O)))
47;52;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
43;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
43;48;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
28;31;true;true;Disj (Var (O), Var (S (O)))
28;30;true;false;Disj (Var (O), Var (S (O)))
28;31;false;true;Disj (Var (O), Var (S (O)))
24;27;true;_;Disj (Var (O), Var (O))
34;38;true;true;Disj (Var (O), Neg (Var (S (O))))
34;39;true;false;Disj (Var (O), Neg (Var (S (O))))
34;39;false;false;Disj (Var (O), Neg (Var (S (O))))
30;34;true;_;Disj (Var (O), Neg (Var (O)))
30;35;false;_;Disj (Var (O), Neg (Var (O)))
47;52;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
43;48;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
39;44;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
36;45;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
32;41;true;true;Disj (Neg (Var (S (O))), Var (O))
32;41;true;false;Disj (Neg (Var (S (O))), Var (O))
32;40;false;false;Disj (Neg (Var (S (O))), Var (O))
32;41;true;true;Disj (Neg (Var (O)), Var (S (O)))
28;37;true;_;Disj (Neg (Var (O)), Var (O))
28;36;false;_;Disj (Neg (Var (O)), Var (O))
40;50;false;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
45;55;false;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
41;51;false;_;Disj (Disj (Var (O), Var (O)), Neg (Var (O)))
48;51;_;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (S (O)))
44;47;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
44;46;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
44;47;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
40;43;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
45;47;true;true;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (O)))
53;56;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
44;47;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
44;46;false;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
40;43;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
40;42;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
49;51;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (S (O))))
45;47;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
45;47;false;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
57;60;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
53;56;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
40;43;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
40;42;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
40;42;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
36;39;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
45;47;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
45;48;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
45;47;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
41;43;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
41;43;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
57;60;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
57;58;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
57;59;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
53;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
53;54;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
53;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
53;54;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;52;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
25;26;_;true;Conj (Var (S (O)), Var (S (O)))
21;22;true;true;Conj (Var (S (O)), Var (O))
23;24;false;true;Conj (Var (S (O)), Neg (Var (O)))
29;30;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;26;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
27;28;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
37;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
33;35;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
31;32;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
42;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
38;35;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
40;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;43;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;44;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
52;56;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
52;55;false;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
48;52;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
37;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;35;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
35;37;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
37;39;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
49;52;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
45;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
45;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;35;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
29;31;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
37;39;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
33;35;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
45;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
41;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
49;53;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
35;40;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
33;38;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
47;53;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
41;48;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
37;44;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
21;22;true;true;Conj (Var (O), Var (S (O)))
17;18;true;_;Conj (Var (O), Var (O))
23;24;true;false;Conj (Var (O), Neg (Var (S (O))))
25;26;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
21;22;true;_;Conj (Var (O), Neg (Neg (Var (O))))
27;28;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
25;26;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
37;39;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
33;35;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
33;35;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
29;31;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;36;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
33;34;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
33;34;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
42;39;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;35;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;35;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
42;37;true;true;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
42;37;true;false;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
38;33;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
40;44;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;40;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
36;40;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
36;40;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
36;39;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
32;36;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
48;51;true;false;Conj (Var (O), Disj (Conj (Var (S (O)), Var (O)), Var (O)))
52;56;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (S (O))))
48;52;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (O)))
48;51;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (O)))
48;52;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
48;51;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
44;48;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
53;57;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
49;52;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Neg (Var (O))))
57;61;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
33;35;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
29;31;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
37;39;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
33;35;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
45;48;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
37;40;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
49;53;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
29;31;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
25;27;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
31;33;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
33;35;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
29;31;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
43;45;true;false;Conj (Var (O), Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O))))))
44;49;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
41;44;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
37;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
49;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
45;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
37;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
33;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
39;42;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
37;40;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O))))))
49;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
45;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
45;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
41;45;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
39;45;true;false;Conj (Var (O), Conj (Var (O), Conj (Neg (Var (S (O))), Var (O))))
45;53;true;true;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
41;49;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
31;36;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Var (O)))
37;42;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Neg (Var (S (O)))))
39;45;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
41;48;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
37;44;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
37;44;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
33;40;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
39;46;true;false;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
49;57;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O)))))
45;53;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
45;53;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
41;49;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
23;27;true;false;Conj (Neg (Var (S (O))), Var (O))
29;33;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
25;29;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
27;31;true;false;Conj (Neg (Var (S (O))), Neg (Neg (Var (O))))
31;36;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
23;27;false;true;Conj (Neg (Var (O)), Var (S (O)))
25;29;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
21;25;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
27;31;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
25;29;false;_;Conj (Neg (Var (O)), Neg (Neg (Neg (Var (O)))))
33;37;false;false;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (S (O)))))
29;33;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
50;56;false;true;Conj (Neg (Var (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
35;40;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;38;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
47;53;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
33;41;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
35;43;false;false;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (S (O)))))
31;39;false;_;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (O))))
45;54;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
33;39;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
29;35;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
33;39;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
29;35;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
41;48;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
37;44;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
29;35;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
25;31;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
31;37;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;39;true;true;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (S (O)))))
29;35;true;_;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
41;48;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
37;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
37;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
33;40;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
39;46;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
45;53;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
41;49;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
