unifs_ecceLP;unifs_ecceLN;var0;var1;formula
13;13;_;true;Var (S (O))
9;9;true;_;Var (O)
15;15;_;false;Neg (Var (S (O)))
11;11;false;_;Neg (Var (O))
17;17;_;true;Neg (Neg (Var (S (O))))
13;13;true;_;Neg (Neg (Var (O)))
19;19;_;false;Neg (Neg (Neg (Var (S (O)))))
15;15;false;_;Neg (Neg (Neg (Var (O))))
21;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
19;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
27;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
23;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
32;33;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
32;33;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
32;32;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;29;true;_;Neg (Neg (Disj (Var (O), Var (O))))
29;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
37;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
33;33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
25;25;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
37;37;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
33;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
33;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
29;29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
27;27;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
29;29;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
27;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
27;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
35;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
23;23;false;false;Neg (Disj (Var (O), Var (S (O))))
19;19;false;_;Neg (Disj (Var (O), Var (O)))
25;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
27;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
23;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
37;37;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
35;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
31;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
38;39;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;39;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
34;35;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
50;51;false;true;Neg (Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
50;51;false;false;Neg (Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
46;47;false;_;Neg (Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
25;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
25;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
27;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
23;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
34;35;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;31;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;31;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;31;false;false;Neg (Conj (Var (S (O)), Var (O)))
40;41;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
40;41;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
36;37;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;37;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;37;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
49;50;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
49;50;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
49;50;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;46;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;46;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;46;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;31;true;false;Neg (Conj (Var (O), Var (S (O))))
30;31;false;true;Neg (Conj (Var (O), Var (S (O))))
30;31;false;false;Neg (Conj (Var (O), Var (S (O))))
26;27;false;_;Neg (Conj (Var (O), Var (O)))
36;37;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
36;37;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
36;37;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
32;33;true;_;Neg (Conj (Var (O), Neg (Var (O))))
32;33;false;_;Neg (Conj (Var (O), Neg (Var (O))))
45;46;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;46;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;46;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
41;42;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
38;39;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
38;39;_;false;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
34;35;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
34;35;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
34;35;false;false;Neg (Conj (Neg (Var (S (O))), Var (O)))
34;35;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
34;35;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
34;35;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
30;31;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
30;31;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
35;36;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
42;46;false;true;Neg (Conj (Disj (Var (O), Var (S (O))), Var (O)))
42;46;true;false;Neg (Conj (Disj (Var (O), Var (O)), Var (S (O))))
42;47;false;true;Neg (Conj (Disj (Var (O), Var (O)), Var (S (O))))
42;47;false;false;Neg (Conj (Disj (Var (O), Var (O)), Var (S (O))))
38;43;false;_;Neg (Conj (Disj (Var (O), Var (O)), Var (O)))
43;47;true;_;Neg (Conj (Disj (Var (O), Var (O)), Neg (Var (O))))
50;51;_;false;Neg (Conj (Conj (Var (S (O)), Var (S (O))), Var (S (O))))
46;47;true;false;Neg (Conj (Conj (Var (S (O)), Var (S (O))), Var (O)))
46;47;false;true;Neg (Conj (Conj (Var (S (O)), Var (S (O))), Var (O)))
46;47;false;false;Neg (Conj (Conj (Var (S (O)), Var (S (O))), Var (O)))
46;47;true;false;Neg (Conj (Conj (Var (S (O)), Var (O)), Var (S (O))))
42;43;true;false;Neg (Conj (Conj (Var (S (O)), Var (O)), Var (O)))
42;43;false;true;Neg (Conj (Conj (Var (S (O)), Var (O)), Var (O)))
42;43;false;false;Neg (Conj (Conj (Var (S (O)), Var (O)), Var (O)))
46;47;false;true;Neg (Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
42;43;true;false;Neg (Conj (Conj (Var (O), Var (S (O))), Var (O)))
42;43;false;true;Neg (Conj (Conj (Var (O), Var (S (O))), Var (O)))
42;43;false;false;Neg (Conj (Conj (Var (O), Var (S (O))), Var (O)))
42;43;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;43;false;true;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;43;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
38;39;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
47;48;true;true;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
47;48;false;true;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
47;48;false;false;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
43;44;true;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
43;44;false;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
55;56;true;false;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
55;56;false;true;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
55;56;false;false;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
51;52;false;_;Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
47;48;true;true;Neg (Conj (Conj (Var (O), Neg (Var (O))), Var (S (O))))
47;48;true;false;Neg (Conj (Conj (Var (O), Neg (Var (O))), Var (S (O))))
43;44;true;_;Neg (Conj (Conj (Var (O), Neg (Var (O))), Var (O)))
43;44;false;_;Neg (Conj (Conj (Var (O), Neg (Var (O))), Var (O)))
47;48;true;true;Neg (Conj (Conj (Neg (Var (O)), Var (O)), Var (S (O))))
47;48;true;false;Neg (Conj (Conj (Neg (Var (O)), Var (O)), Var (S (O))))
47;48;false;true;Neg (Conj (Conj (Neg (Var (O)), Var (O)), Var (S (O))))
43;44;true;_;Neg (Conj (Conj (Neg (Var (O)), Var (O)), Var (O)))
43;44;false;_;Neg (Conj (Conj (Neg (Var (O)), Var (O)), Var (O)))
32;33;_;true;Disj (Var (S (O)), Var (S (O)))
28;29;true;true;Disj (Var (S (O)), Var (O))
28;29;true;false;Disj (Var (S (O)), Var (O))
28;28;false;true;Disj (Var (S (O)), Var (O))
38;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
38;39;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
34;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
34;35;false;true;Disj (Var (S (O)), Neg (Var (O)))
34;35;false;false;Disj (Var (S (O)), Neg (Var (O)))
43;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
43;47;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
43;47;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
51;52;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
47;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
47;47;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
47;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
47;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
43;44;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
43;44;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
43;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
28;29;true;true;Disj (Var (O), Var (S (O)))
28;28;true;false;Disj (Var (O), Var (S (O)))
28;29;false;true;Disj (Var (O), Var (S (O)))
24;25;true;_;Disj (Var (O), Var (O))
34;34;true;true;Disj (Var (O), Neg (Var (S (O))))
34;35;true;false;Disj (Var (O), Neg (Var (S (O))))
34;35;false;false;Disj (Var (O), Neg (Var (S (O))))
30;30;true;_;Disj (Var (O), Neg (Var (O)))
30;31;false;_;Disj (Var (O), Neg (Var (O)))
43;48;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
39;43;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
47;48;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
47;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
47;48;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
43;44;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
43;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
43;44;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
43;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
39;40;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
32;37;false;true;Disj (Neg (Var (O)), Var (S (O)))
32;37;false;false;Disj (Neg (Var (O)), Var (S (O)))
28;33;true;_;Disj (Neg (Var (O)), Var (O))
28;33;false;_;Disj (Neg (Var (O)), Var (O))
48;52;_;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (S (O)))
44;48;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
44;49;true;false;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
44;47;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
44;48;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (S (O)))
44;47;true;false;Disj (Disj (Var (S (O)), Var (O)), Var (S (O)))
40;44;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
40;44;true;false;Disj (Disj (Var (S (O)), Var (O)), Var (O))
40;44;false;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
44;48;true;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
44;48;false;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
40;44;true;true;Disj (Disj (Var (O), Var (S (O))), Var (O))
40;45;true;false;Disj (Disj (Var (O), Var (S (O))), Var (O))
40;43;false;true;Disj (Disj (Var (O), Var (S (O))), Var (O))
40;44;true;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
40;43;true;false;Disj (Disj (Var (O), Var (O)), Var (S (O)))
40;45;false;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
36;40;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
45;48;true;true;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
45;49;true;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
45;50;false;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
41;44;true;_;Disj (Disj (Var (O), Var (O)), Neg (Var (O)))
41;46;false;_;Disj (Disj (Var (O), Var (O)), Neg (Var (O)))
53;57;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
53;56;true;false;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;53;true;_;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
45;49;true;false;Disj (Disj (Var (O), Neg (Var (O))), Var (S (O)))
41;46;true;_;Disj (Disj (Var (O), Neg (Var (O))), Var (O))
41;44;false;_;Disj (Disj (Var (O), Neg (Var (O))), Var (O))
45;49;true;true;Disj (Disj (Neg (Var (O)), Var (O)), Var (S (O)))
45;48;true;false;Disj (Disj (Neg (Var (O)), Var (O)), Var (S (O)))
45;50;false;true;Disj (Disj (Neg (Var (O)), Var (O)), Var (S (O)))
41;45;true;_;Disj (Disj (Neg (Var (O)), Var (O)), Var (O))
41;45;false;_;Disj (Disj (Neg (Var (O)), Var (O)), Var (O))
48;49;_;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (S (O)))
44;45;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
44;45;true;false;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
44;44;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
49;49;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Neg (Var (O)))
44;45;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
44;45;false;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
40;41;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
40;41;true;false;Disj (Conj (Var (S (O)), Var (O)), Var (O))
44;45;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
44;45;false;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
40;41;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
40;41;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
45;46;false;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
40;41;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
40;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
40;41;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
36;37;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
45;45;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
45;46;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
45;46;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
41;41;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
41;42;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
53;57;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
53;58;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
53;57;false;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
49;53;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
57;58;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
57;57;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
57;58;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
53;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
53;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
53;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
53;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;50;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
45;46;true;true;Disj (Conj (Var (O), Neg (Var (O))), Var (S (O)))
45;46;false;true;Disj (Conj (Var (O), Neg (Var (O))), Var (S (O)))
41;42;true;_;Disj (Conj (Var (O), Neg (Var (O))), Var (O))
45;46;true;false;Disj (Conj (Neg (Var (O)), Var (S (O))), Var (O))
45;46;true;true;Disj (Conj (Neg (Var (O)), Var (O)), Var (S (O)))
45;46;false;true;Disj (Conj (Neg (Var (O)), Var (O)), Var (S (O)))
41;42;true;_;Disj (Conj (Neg (Var (O)), Var (O)), Var (O))
25;25;_;true;Conj (Var (S (O)), Var (S (O)))
21;21;true;true;Conj (Var (S (O)), Var (O))
23;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
29;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
27;27;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
37;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
33;33;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
31;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
42;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
38;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
44;45;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
40;41;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;40;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;41;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
40;41;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;37;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
52;53;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (S (O))), Var (O)))
52;53;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
52;53;false;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
48;49;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
37;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
35;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
37;37;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
49;49;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
29;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
37;37;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
33;33;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
49;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
35;35;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
33;33;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
47;47;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
37;37;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
21;21;true;true;Conj (Var (O), Var (S (O)))
17;17;true;_;Conj (Var (O), Var (O))
23;23;true;false;Conj (Var (O), Neg (Var (S (O))))
25;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
21;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
27;27;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
25;25;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
37;37;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
33;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
33;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
29;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
33;33;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
33;33;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
42;43;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;39;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;39;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
42;43;true;true;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
42;43;true;false;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
38;39;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
50;54;true;false;Conj (Var (O), Neg (Conj (Disj (Var (O), Var (O)), Var (S (O)))))
50;51;true;false;Conj (Var (O), Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
40;41;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;37;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
36;37;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
42;42;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
36;37;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
36;36;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
32;33;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
38;38;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
48;52;true;true;Conj (Var (O), Disj (Disj (Var (O), Var (S (O))), Var (O)))
48;52;true;true;Conj (Var (O), Disj (Disj (Var (O), Var (O)), Var (S (O))))
48;51;true;false;Conj (Var (O), Disj (Disj (Var (O), Var (O)), Var (S (O))))
44;48;true;_;Conj (Var (O), Disj (Disj (Var (O), Var (O)), Var (O)))
52;53;true;true;Conj (Var (O), Disj (Conj (Var (S (O)), Var (S (O))), Var (O)))
52;53;true;true;Conj (Var (O), Disj (Conj (Var (S (O)), Var (O)), Var (S (O))))
48;49;true;true;Conj (Var (O), Disj (Conj (Var (S (O)), Var (O)), Var (O)))
48;49;true;false;Conj (Var (O), Disj (Conj (Var (S (O)), Var (O)), Var (O)))
52;53;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (S (O))))
48;49;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (O)))
48;49;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (O)))
48;49;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
48;48;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
44;45;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
53;53;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
53;54;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
49;49;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Neg (Var (O))))
61;62;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
61;61;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
