unifs_ecceLP;unifs_originalLN;var0;var1;formula
13;6;_;true;Var (S (O))
9;4;true;_;Var (O)
15;10;_;false;Neg (Var (S (O)))
11;8;false;_;Neg (Var (O))
17;14;_;true;Neg (Neg (Var (S (O))))
13;12;true;_;Neg (Neg (Var (O)))
19;18;_;false;Neg (Neg (Neg (Var (S (O)))))
15;16;false;_;Neg (Neg (Neg (Var (O))))
21;22;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
17;20;true;_;Neg (Neg (Neg (Neg (Var (O)))))
23;30;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
32;28;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
32;28;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
32;28;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;26;true;_;Neg (Neg (Disj (Var (O), Var (O))))
29;27;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
27;29;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
33;36;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
21;23;true;_;Neg (Neg (Conj (Var (O), Var (O))))
27;29;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
33;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
29;34;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
27;29;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
27;26;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;24;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;28;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
23;24;false;false;Neg (Disj (Var (O), Var (S (O))))
19;22;false;_;Neg (Disj (Var (O), Var (O)))
25;28;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
23;30;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
31;38;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;36;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
38;35;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;35;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
34;33;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
25;28;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
34;23;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
30;21;true;false;Neg (Conj (Var (S (O)), Var (O)))
30;21;false;true;Neg (Conj (Var (S (O)), Var (O)))
30;21;false;false;Neg (Conj (Var (S (O)), Var (O)))
40;27;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
40;27;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
36;25;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;25;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;25;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
49;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
49;34;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
49;34;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;32;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;32;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;32;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;21;true;false;Neg (Conj (Var (O), Var (S (O))))
30;21;false;true;Neg (Conj (Var (O), Var (S (O))))
30;21;false;false;Neg (Conj (Var (O), Var (S (O))))
26;19;false;_;Neg (Conj (Var (O), Var (O)))
36;25;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
36;25;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
36;25;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
32;23;true;_;Neg (Conj (Var (O), Neg (Var (O))))
32;23;false;_;Neg (Conj (Var (O), Neg (Var (O))))
45;32;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;32;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;32;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
41;30;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
34;25;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
34;25;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
34;25;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
30;23;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
30;23;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
35;27;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
42;32;false;true;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;32;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
38;30;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
32;22;_;true;Disj (Var (S (O)), Var (S (O)))
28;20;true;true;Disj (Var (S (O)), Var (O))
28;20;true;false;Disj (Var (S (O)), Var (O))
28;20;false;true;Disj (Var (S (O)), Var (O))
38;26;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
38;26;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
34;24;true;true;Disj (Var (S (O)), Neg (Var (O)))
34;24;false;true;Disj (Var (S (O)), Neg (Var (O)))
34;24;false;false;Disj (Var (S (O)), Neg (Var (O)))
47;36;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
47;36;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
47;36;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
43;34;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
43;34;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
43;34;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
51;35;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
47;33;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
47;33;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
47;33;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
47;33;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
43;31;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
43;31;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
43;31;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
28;20;true;true;Disj (Var (O), Var (S (O)))
28;20;true;false;Disj (Var (O), Var (S (O)))
28;20;false;true;Disj (Var (O), Var (S (O)))
24;18;true;_;Disj (Var (O), Var (O))
34;24;true;true;Disj (Var (O), Neg (Var (S (O))))
34;24;true;false;Disj (Var (O), Neg (Var (S (O))))
34;24;false;false;Disj (Var (O), Neg (Var (S (O))))
30;22;true;_;Disj (Var (O), Neg (Var (O)))
30;22;false;_;Disj (Var (O), Neg (Var (O)))
43;34;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
43;34;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
43;34;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
39;32;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
47;33;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
47;33;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
47;33;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
43;31;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
43;31;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
43;31;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
43;31;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
39;29;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
32;24;true;false;Disj (Neg (Var (S (O))), Var (O))
32;24;false;false;Disj (Neg (Var (S (O))), Var (O))
32;24;true;true;Disj (Neg (Var (O)), Var (S (O)))
32;24;false;true;Disj (Neg (Var (O)), Var (S (O)))
32;24;false;false;Disj (Neg (Var (O)), Var (S (O)))
28;22;true;_;Disj (Neg (Var (O)), Var (O))
28;22;false;_;Disj (Neg (Var (O)), Var (O))
37;28;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
37;28;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
37;28;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
33;26;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
45;35;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
45;35;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
45;35;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
41;33;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
41;33;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
40;31;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
40;31;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
40;31;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
36;29;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
45;35;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
41;33;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
25;19;_;true;Conj (Var (S (O)), Var (S (O)))
21;17;true;true;Conj (Var (S (O)), Var (O))
23;21;false;true;Conj (Var (S (O)), Neg (Var (O)))
29;27;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
27;29;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
33;36;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
31;35;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
42;34;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
38;32;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
44;35;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
40;33;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;33;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;33;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
40;33;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;31;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
40;35;false;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
37;32;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;30;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
35;34;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
45;43;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;30;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
29;28;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
33;36;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
45;43;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;39;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
35;34;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
33;36;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
21;17;true;true;Conj (Var (O), Var (S (O)))
17;15;true;_;Conj (Var (O), Var (O))
23;21;true;false;Conj (Var (O), Neg (Var (S (O))))
25;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
21;23;true;_;Conj (Var (O), Neg (Neg (Var (O))))
27;29;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
33;36;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
29;34;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;37;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
42;34;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;32;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;32;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
40;33;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;31;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
36;31;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
42;35;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
36;31;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
36;31;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
32;29;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
38;33;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
40;35;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
36;33;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
33;30;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
29;28;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
33;36;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
45;43;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
37;39;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
29;28;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
25;26;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
31;32;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
33;36;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
29;34;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
44;42;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
44;42;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
40;40;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
41;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
37;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
