unifs_etalon;unifs_originalFP;var0;var1;formula
6;6;_;true;Var (S (O))
4;4;true;_;Var (O)
8;9;_;false;Neg (Var (S (O)))
6;7;false;_;Neg (Var (O))
10;12;_;true;Neg (Neg (Var (S (O))))
8;10;true;_;Neg (Neg (Var (O)))
14;18;true;_;Neg (Neg (Conj (Var (O), Var (O))))
14;17;false;false;Neg (Disj (Var (S (O)), Var (O)))
14;17;false;false;Neg (Disj (Var (O), Var (S (O))))
12;15;false;_;Neg (Disj (Var (O), Var (O)))
16;19;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
14;17;true;false;Neg (Conj (Var (S (O)), Var (O)))
14;17;false;true;Neg (Conj (Var (S (O)), Var (O)))
14;17;false;false;Neg (Conj (Var (S (O)), Var (O)))
14;17;true;false;Neg (Conj (Var (O), Var (S (O))))
14;17;false;true;Neg (Conj (Var (O), Var (S (O))))
14;17;false;false;Neg (Conj (Var (O), Var (S (O))))
12;15;false;_;Neg (Conj (Var (O), Var (O)))
16;20;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;25;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;25;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
18;23;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
20;25;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
14;16;_;true;Disj (Var (S (O)), Var (S (O)))
12;14;true;true;Disj (Var (S (O)), Var (O))
12;14;true;false;Disj (Var (S (O)), Var (O))
12;14;false;true;Disj (Var (S (O)), Var (O))
16;19;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
16;19;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
14;17;true;true;Disj (Var (S (O)), Neg (Var (O)))
14;17;false;true;Disj (Var (S (O)), Neg (Var (O)))
14;17;false;false;Disj (Var (S (O)), Neg (Var (O)))
20;24;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;24;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;22;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;22;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;22;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;26;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;24;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
26;32;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;24;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
20;24;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;22;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;22;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;22;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
26;32;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;32;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;30;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;30;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
12;14;true;true;Disj (Var (O), Var (S (O)))
12;14;true;false;Disj (Var (O), Var (S (O)))
12;14;false;true;Disj (Var (O), Var (S (O)))
10;12;true;_;Disj (Var (O), Var (O))
14;17;true;true;Disj (Var (O), Neg (Var (S (O))))
14;17;true;false;Disj (Var (O), Neg (Var (S (O))))
14;17;false;false;Disj (Var (O), Neg (Var (S (O))))
12;15;true;_;Disj (Var (O), Neg (Var (O)))
12;15;false;_;Disj (Var (O), Neg (Var (O)))
18;23;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
20;24;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;24;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;24;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;22;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;22;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;22;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;22;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;22;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
16;20;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
22;28;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
20;24;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;24;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;24;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;22;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;22;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
28;34;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;32;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;32;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;30;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;30;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
18;22;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
18;22;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
16;20;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;25;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
22;28;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
26;32;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;30;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
24;30;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;28;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
28;36;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
24;30;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;28;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
20;24;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;22;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
18;22;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;22;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
16;20;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
20;25;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
18;23;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
24;30;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;30;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;28;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
14;16;_;true;Conj (Var (S (O)), Var (S (O)))
12;14;true;true;Conj (Var (S (O)), Var (O))
14;17;false;true;Conj (Var (S (O)), Neg (Var (O)))
20;25;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
22;26;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;24;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;24;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
26;32;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
20;24;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;24;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;22;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
26;32;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
26;32;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;30;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
22;26;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;24;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;27;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
26;32;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
30;36;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;34;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;34;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;32;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;40;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
20;24;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;22;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
26;32;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;32;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;30;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
28;34;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;30;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
32;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;38;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
30;38;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
26;32;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
26;32;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;30;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
30;38;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
12;14;true;true;Conj (Var (O), Var (S (O)))
10;12;true;_;Conj (Var (O), Var (O))
14;17;true;false;Conj (Var (O), Neg (Var (S (O))))
16;20;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;18;true;_;Conj (Var (O), Neg (Neg (Var (O))))
22;27;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
20;25;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;25;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;24;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;22;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
18;22;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
26;32;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;32;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;30;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;30;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
18;22;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
18;22;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
16;20;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
20;25;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
20;25;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
