unifs_originalFP;unifs_consPDFN;var0;var1;formula
6;5;_;true;Var (S (O))
4;3;true;_;Var (O)
9;6;_;false;Neg (Var (S (O)))
7;4;false;_;Neg (Var (O))
12;7;_;true;Neg (Neg (Var (S (O))))
10;5;true;_;Neg (Neg (Var (O)))
15;8;_;false;Neg (Neg (Neg (Var (S (O)))))
13;6;false;_;Neg (Neg (Neg (Var (O))))
18;9;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
16;7;true;_;Neg (Neg (Neg (Neg (Var (O)))))
19;8;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
24;11;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
23;12;false;false;Neg (Neg (Neg (Disj (Var (S (O)), Var (O)))))
23;12;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
21;10;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
21;10;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
20;11;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;11;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;11;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;11;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
20;11;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
20;11;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
18;9;true;_;Neg (Neg (Disj (Var (O), Var (O))))
22;13;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
20;11;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
23;12;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
30;17;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
30;17;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
28;15;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
20;11;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
18;9;true;_;Neg (Neg (Conj (Var (O), Var (O))))
23;12;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
24;11;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
